repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssuesEvent,ForkEvent,CommitCommentEvent,ReleaseEvent,WatchEvent,total
open-quantum-safe/liboqs,2023-04,12,1,0,1,1,1,0,0,1,0,0,0,17
open-quantum-safe/liboqs,2023-05,3,0,0,0,0,1,0,0,0,0,0,0,4
open-quantum-safe/liboqs,2023-06,4,7,7,0,0,1,0,0,0,0,0,0,19
open-quantum-safe/liboqs,2023-07,14,0,0,2,2,1,0,0,0,0,0,0,19
open-quantum-safe/liboqs,2023-08,11,10,9,3,3,4,3,0,0,0,0,0,43
open-quantum-safe/liboqs,2023-09,18,13,11,0,4,2,2,0,0,2,0,0,52
open-quantum-safe/liboqs,2023-10,17,11,9,2,5,5,4,0,0,0,0,0,53
open-quantum-safe/liboqs,2023-11,10,14,11,3,3,3,2,0,0,0,0,0,46
open-quantum-safe/liboqs,2023-12,32,9,8,0,4,1,1,0,0,1,0,0,56
open-quantum-safe/liboqs,2024-01,21,27,25,7,4,2,2,0,0,0,0,0,88
open-quantum-safe/liboqs,2024-02,6,2,1,3,2,2,3,0,0,0,0,0,19
open-quantum-safe/liboqs,2024-03,0,3,0,1,0,0,0,0,0,0,0,0,4
open-quantum-safe/liboqs,2024-04,0,2,1,3,0,0,0,0,0,0,0,0,6
open-quantum-safe/liboqs,2024-05,1,4,1,0,0,0,0,0,0,0,0,0,6
open-quantum-safe/liboqs,2024-06,1,4,0,3,0,1,1,0,0,0,0,0,10
open-quantum-safe/liboqs,2024-07,0,3,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs,2024-08,0,2,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2024-09,0,0,0,1,1,0,0,1,0,0,0,0,3
open-quantum-safe/liboqs,2024-10,8,12,11,14,2,1,2,1,0,0,0,0,51
open-quantum-safe/liboqs,2024-11,2,0,0,2,2,1,0,1,0,0,0,0,8
open-quantum-safe/liboqs,2024-12,0,0,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2025-01,0,1,0,2,0,1,1,1,0,0,0,0,6
open-quantum-safe/liboqs,2025-02,0,1,0,0,0,0,0,0,0,0,0,0,1
