repo,month,IssueCommentEvent,PullRequestReviewEvent,PushEvent,PullRequestEvent,PullRequestReviewCommentEvent,IssuesEvent,CreateEvent,DeleteEvent,GollumEvent,ReleaseEvent,CommitCommentEvent,ForkEvent,WatchEvent,MemberEvent,total
open-quantum-safe/liboqs,2019-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2020-01,8,0,0,5,1,0,0,0,0,0,0,1,0,0,15
open-quantum-safe/liboqs,2020-02,2,0,0,2,0,1,0,0,0,0,0,1,0,0,6
open-quantum-safe/liboqs,2020-03,21,0,2,10,1,3,1,0,0,0,0,0,0,0,38
open-quantum-safe/liboqs,2020-04,32,0,3,11,1,6,0,0,0,0,0,0,1,0,54
open-quantum-safe/liboqs,2020-05,3,0,0,1,4,0,0,0,0,0,0,0,0,0,8
open-quantum-safe/liboqs,2020-06,7,0,2,5,2,0,3,2,0,0,0,0,0,0,21
open-quantum-safe/liboqs,2020-07,14,0,4,12,5,5,0,0,1,0,0,0,0,0,41
open-quantum-safe/liboqs,2020-09,5,3,4,1,1,0,1,0,1,0,0,0,0,0,16
open-quantum-safe/liboqs,2020-10,10,4,2,4,0,0,3,1,0,0,0,0,0,0,24
open-quantum-safe/liboqs,2020-11,21,1,0,1,0,1,2,0,0,0,0,0,0,0,26
open-quantum-safe/liboqs,2020-12,14,2,20,6,0,5,2,2,0,0,0,0,0,0,51
open-quantum-safe/liboqs,2021-01,10,1,1,2,0,3,1,1,1,0,0,0,0,0,20
open-quantum-safe/liboqs,2021-02,57,20,19,13,8,13,3,5,5,0,0,0,0,0,143
open-quantum-safe/liboqs,2021-03,19,8,1,3,5,0,1,1,0,0,0,0,0,0,38
open-quantum-safe/liboqs,2021-04,24,8,8,3,3,5,2,0,0,0,0,0,0,0,53
open-quantum-safe/liboqs,2021-05,28,9,41,8,4,2,7,3,2,0,0,0,0,0,104
open-quantum-safe/liboqs,2021-06,25,8,11,4,1,4,2,2,1,0,0,0,0,0,58
open-quantum-safe/liboqs,2021-07,14,7,9,5,4,3,1,3,1,0,0,0,0,0,47
open-quantum-safe/liboqs,2021-08,20,8,4,6,1,4,5,1,2,0,0,0,0,0,51
open-quantum-safe/liboqs,2021-09,17,1,8,7,0,2,5,2,1,0,1,0,0,0,44
open-quantum-safe/liboqs,2021-10,8,2,4,2,0,4,1,0,1,0,0,0,0,0,22
open-quantum-safe/liboqs,2021-11,23,24,8,8,11,7,5,2,0,0,0,0,0,0,88
open-quantum-safe/liboqs,2021-12,31,7,18,12,2,8,8,4,2,0,0,0,0,0,92
open-quantum-safe/liboqs,2022-01,18,6,10,8,1,3,7,1,0,0,0,0,0,0,54
open-quantum-safe/liboqs,2022-02,8,1,2,2,0,2,1,1,0,0,0,0,0,0,17
open-quantum-safe/liboqs,2022-03,7,2,2,3,3,1,2,0,0,0,0,0,0,0,20
open-quantum-safe/liboqs,2022-04,15,0,0,1,0,3,1,1,0,0,0,0,0,0,21
open-quantum-safe/liboqs,2022-05,11,0,1,1,0,2,0,1,0,0,0,0,0,0,16
open-quantum-safe/liboqs,2022-06,40,16,13,11,8,5,7,6,2,0,0,0,0,0,108
open-quantum-safe/liboqs,2022-07,25,7,4,4,0,2,1,2,0,0,0,0,0,0,45
open-quantum-safe/liboqs,2022-08,45,18,5,11,6,5,8,3,1,0,0,0,0,0,102
open-quantum-safe/liboqs,2022-09,14,2,6,7,1,2,2,2,0,0,0,0,0,0,36
open-quantum-safe/liboqs,2022-10,5,0,1,2,0,0,1,0,0,0,0,0,0,0,9
open-quantum-safe/liboqs,2022-11,5,4,3,2,0,0,0,2,0,0,2,0,0,0,18
open-quantum-safe/liboqs,2022-12,26,15,12,3,8,2,0,0,0,0,0,0,0,0,66
