repo,month,IssueCommentEvent,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,CreateEvent,IssuesEvent,DeleteEvent,ForkEvent,CommitCommentEvent,GollumEvent,WatchEvent,total
open-quantum-safe/liboqs,2021-01,4,0,0,0,1,0,0,0,1,0,0,0,6
open-quantum-safe/liboqs,2021-02,19,4,5,2,4,1,2,1,0,0,0,0,38
open-quantum-safe/liboqs,2021-03,3,0,4,0,2,0,0,0,0,0,0,0,9
open-quantum-safe/liboqs,2021-04,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2021-05,5,1,0,0,0,0,0,0,0,0,0,0,6
open-quantum-safe/liboqs,2021-06,7,0,1,0,1,0,1,0,0,0,0,0,10
open-quantum-safe/liboqs,2021-07,7,4,1,1,3,1,0,1,0,0,0,0,18
open-quantum-safe/liboqs,2021-08,3,0,2,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/liboqs,2021-09,6,3,0,0,2,1,0,1,0,0,0,0,13
open-quantum-safe/liboqs,2021-10,0,0,0,0,0,0,2,0,0,0,0,0,2
open-quantum-safe/liboqs,2021-11,3,0,4,2,0,0,0,0,0,0,0,0,9
open-quantum-safe/liboqs,2021-12,3,0,1,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/liboqs,2022-01,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2022-02,2,0,3,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/liboqs,2022-03,0,0,2,5,0,0,0,0,0,0,0,0,7
open-quantum-safe/liboqs,2022-06,9,1,9,10,6,1,2,0,0,0,0,0,38
open-quantum-safe/liboqs,2022-07,2,2,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/liboqs,2022-08,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2022-09,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2022-11,1,1,0,0,1,1,0,0,0,0,0,0,4
