repo,month,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,PullRequestEvent,DeleteEvent,ForkEvent,CreateEvent,GollumEvent,total
PQCA/TAC,2024-04,3,1,2,1,0,1,1,0,0,0,9
PQCA/TAC,2024-05,4,1,2,0,0,0,0,0,0,0,7
PQCA/TAC,2024-06,2,0,1,0,0,0,0,0,0,0,3
PQCA/TAC,2024-07,2,0,3,0,0,0,0,0,0,0,5
PQCA/TAC,2024-09,1,7,0,0,0,0,0,0,0,0,8
PQCA/TAC,2024-10,3,7,7,0,1,2,0,1,0,0,21
PQCA/TAC,2024-11,0,1,0,0,1,0,0,0,0,0,2
PQCA/TAC,2024-12,5,3,0,4,1,6,1,1,1,0,22
PQCA/TAC,2025-01,0,1,0,0,0,0,0,0,0,0,1
PQCA/TAC,2025-02,2,1,1,0,0,0,0,0,0,0,4
PQCA/TAC,2025-04,1,3,1,1,2,1,1,0,0,0,10
PQCA/TAC,2025-05,2,0,3,1,0,0,1,0,0,0,7
PQCA/TAC,2025-06,3,8,2,2,1,1,1,0,0,0,18
PQCA/TAC,2025-07,4,1,7,2,3,1,2,0,0,0,20
PQCA/TAC,2025-08,2,2,0,2,2,1,1,0,0,0,10
PQCA/TAC,2025-09,2,1,0,0,0,1,0,0,0,0,4
PQCA/TAC,2025-10,4,1,4,5,9,0,2,0,0,0,25
PQCA/TAC,2025-11,1,0,0,1,0,0,1,0,0,0,3
PQCA/TAC,2025-12,3,0,1,2,0,0,0,0,0,0,6
PQCA/TAC,2026-01,1,0,1,1,0,0,1,0,0,0,4
PQCA/TAC,2026-02,0,0,2,6,0,0,0,0,0,0,8
PQCA/TAC,2026-03,0,0,0,3,0,0,0,0,0,0,3
PQCA/TAC,2026-05,1,0,0,1,0,0,0,0,0,0,2
PQCA/governance,2025-03,0,0,0,0,1,0,0,0,0,0,1
PQCA/governance,2025-04,0,3,0,0,3,0,0,0,0,0,6
PQCA/governance,2025-05,1,0,0,0,0,0,0,0,0,0,1
PQCA/governance,2025-07,2,0,0,1,0,1,1,0,0,0,5
PQCA/governance,2025-08,0,0,0,1,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-04,2,1,0,0,0,0,0,0,0,0,3
open-quantum-safe/tsc,2024-05,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-06,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-11,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2025-01,1,0,1,0,0,0,0,0,0,0,2
open-quantum-safe/tsc,2025-02,1,0,3,0,0,0,0,0,0,0,4
open-quantum-safe/tsc,2026-02,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2026-03,0,0,0,0,1,0,0,0,0,0,1
PQCA/wiki,2025-06,0,0,0,0,0,0,0,0,0,1,1
open-quantum-safe/liboqs,2025-10,0,1,0,0,0,0,0,0,0,0,1
