repo,month,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PushEvent,PullRequestEvent,DeleteEvent,CreateEvent,IssuesEvent,WatchEvent,ForkEvent,total
pq-code-package/mlkem-c-aarch64,2024-03,5,7,5,45,42,51,49,1,0,1,206
pq-code-package/mlkem-c-aarch64,2024-04,5,1,5,0,1,0,0,1,0,0,13
pq-code-package/mlkem-c-aarch64,2024-05,5,12,5,9,1,0,1,0,0,0,33
pq-code-package/mlkem-c-aarch64,2024-06,51,28,41,10,7,3,0,1,1,0,142
pq-code-package/mlkem-c-aarch64,2024-07,5,1,3,0,0,0,0,1,0,0,10
pq-code-package/mlkem-c-aarch64,2024-08,1,0,0,0,1,0,0,1,0,0,3
pq-code-package/mlkem-c-aarch64,2024-09,6,2,3,0,0,0,0,0,0,0,11
pq-code-package/mlkem-c-aarch64,2024-10,11,6,8,0,2,0,0,0,0,0,27
open-quantum-safe/liboqs,2022-09,0,0,0,0,0,0,0,0,1,0,1
open-quantum-safe/liboqs,2023-09,0,2,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2023-10,0,2,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2023-12,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2024-01,0,1,0,0,1,0,0,0,0,1,3
open-quantum-safe/liboqs,2024-03,1,2,1,1,1,1,0,0,0,0,7
open-quantum-safe/liboqs,2024-04,14,3,13,2,0,0,0,0,0,0,32
open-quantum-safe/liboqs,2024-05,3,3,3,7,1,0,1,0,0,0,18
open-quantum-safe/liboqs,2024-06,2,11,0,20,4,4,3,0,0,0,44
open-quantum-safe/liboqs,2024-07,1,1,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2024-09,1,2,1,0,0,0,0,1,0,0,5
open-quantum-safe/liboqs,2024-10,5,2,3,0,0,0,0,0,0,0,10
open-quantum-safe/liboqs,2024-11,5,2,5,0,0,0,0,0,0,0,12
pq-code-package/mlkem-c-embedded,2024-04,2,0,0,0,0,0,0,0,0,0,2
pq-code-package/mlkem-c-embedded,2024-10,3,1,3,0,1,0,0,0,0,1,9
pq-code-package/tsc,2024-03,0,4,0,0,0,0,0,0,0,0,4
pq-code-package/tsc,2024-05,1,0,1,0,0,0,0,0,0,0,2
pq-code-package/tsc,2024-07,0,1,0,0,0,0,0,0,0,0,1
pq-code-package/tsc,2024-10,1,1,0,0,0,0,0,0,0,0,2
open-quantum-safe/openssl,2024-05,0,2,0,0,0,0,0,0,0,0,2
PQCA/TAC,2024-05,0,0,0,0,0,0,0,0,1,0,1
open-quantum-safe/liboqs-python,2024-05,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs-rust,2023-01,0,0,0,0,0,0,0,0,1,0,1
open-quantum-safe/oqs-provider,2024-06,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-04,0,0,0,0,0,0,0,0,1,0,1
pq-code-package/mlkem-native,2025-04,0,0,0,1,0,0,0,0,0,0,1
