repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestEvent,total
open-quantum-safe/oqs-provider,2024-02,5,5,0,0,10
open-quantum-safe/oqs-provider,2024-03,15,14,6,0,35
open-quantum-safe/oqs-provider,2024-04,0,0,1,0,1
open-quantum-safe/oqs-provider,2024-06,0,0,1,0,1
open-quantum-safe/oqs-provider,2024-07,1,1,0,1,3
open-quantum-safe/oqs-provider,2024-08,0,0,4,0,4
open-quantum-safe/oqs-provider,2024-10,3,3,5,1,12
open-quantum-safe/oqs-provider,2024-11,0,0,1,0,1
open-quantum-safe/oqs-provider,2024-12,0,0,1,0,1
open-quantum-safe/oqs-provider,2025-09,1,2,0,0,3
