repo,month,IssueCommentEvent,IssuesEvent,PullRequestEvent,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,CreateEvent,ForkEvent,WatchEvent,DeleteEvent,CommitCommentEvent,total
pq-code-package/tsc,2024-02,1,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/tsc,2024-03,31,10,1,0,1,0,0,1,0,0,0,44
pq-code-package/tsc,2024-04,20,6,6,3,0,0,0,0,0,0,0,35
pq-code-package/tsc,2024-05,13,6,9,4,2,1,1,0,0,1,0,37
pq-code-package/tsc,2024-06,3,1,11,7,5,1,1,0,0,1,0,30
pq-code-package/tsc,2024-07,7,4,11,6,1,1,0,0,0,0,0,30
pq-code-package/tsc,2024-08,2,2,4,1,0,0,0,0,0,0,0,9
pq-code-package/tsc,2024-09,2,1,2,2,0,0,0,0,0,0,0,7
pq-code-package/tsc,2024-10,5,0,6,4,2,1,0,0,0,0,0,18
pq-code-package/tsc,2024-11,10,4,5,3,1,0,0,0,0,0,0,23
pq-code-package/tsc,2024-12,2,0,1,1,0,0,0,0,0,0,0,4
pq-code-package/tsc,2025-01,6,0,4,1,2,1,0,0,0,0,0,14
pq-code-package/tsc,2025-02,13,5,5,5,2,0,0,0,0,1,0,31
pq-code-package/tsc,2025-03,2,1,4,2,2,2,0,0,0,0,0,13
pq-code-package/tsc,2025-04,2,1,3,1,0,0,0,0,0,0,0,7
pq-code-package/tsc,2025-05,6,3,5,3,2,0,0,0,0,0,0,19
pq-code-package/tsc,2025-06,0,0,2,0,1,0,1,0,0,0,0,4
open-quantum-safe/liboqs,2024-02,9,1,1,0,3,3,0,0,0,0,0,17
open-quantum-safe/liboqs,2024-03,0,0,0,0,1,3,0,0,0,0,0,4
open-quantum-safe/liboqs,2024-04,17,2,0,0,2,2,0,0,0,0,0,23
open-quantum-safe/liboqs,2024-05,14,1,1,0,0,0,0,0,0,0,0,16
open-quantum-safe/liboqs,2024-06,8,0,2,0,13,13,0,0,0,0,0,36
open-quantum-safe/liboqs,2024-07,3,2,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/liboqs,2024-08,3,0,1,0,0,0,0,0,0,0,0,4
open-quantum-safe/liboqs,2024-09,3,4,0,0,3,5,0,0,0,0,0,15
PQCA/TAC,2024-02,0,0,0,0,0,0,0,0,1,0,0,1
PQCA/TAC,2024-03,1,0,0,0,0,0,0,0,0,0,0,1
PQCA/TAC,2024-04,4,0,2,0,4,11,0,1,0,0,0,22
PQCA/TAC,2024-05,8,0,0,0,1,0,0,0,0,0,0,9
PQCA/TAC,2024-06,8,0,0,0,0,0,0,0,0,0,3,11
PQCA/TAC,2024-07,3,1,0,0,0,0,0,0,0,0,0,4
PQCA/TAC,2024-08,8,2,1,0,4,3,0,0,0,0,0,18
PQCA/TAC,2024-09,2,0,0,0,2,1,0,0,0,0,0,5
PQCA/TAC,2024-11,1,0,0,0,10,6,0,0,0,0,0,17
PQCA/TAC,2024-12,4,1,0,0,0,0,0,0,0,0,0,5
PQCA/TAC,2025-02,1,0,0,0,0,0,0,0,0,0,0,1
PQCA/TAC,2025-03,1,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/pq-code-package-hackathon,2024-03,23,26,2,19,0,0,0,1,1,0,0,72
pq-code-package/mlkem-c-generic,2024-03,0,0,0,0,0,0,0,1,1,0,0,2
pq-code-package/mlkem-c-generic,2024-04,2,0,0,0,2,0,0,0,0,0,0,4
pq-code-package/mlkem-c-generic,2024-08,4,1,0,0,0,0,0,0,0,0,0,5
pq-code-package/mlkem-c-generic,2024-09,8,16,4,10,0,0,1,0,0,0,0,39
pq-code-package/mlkem-c-generic,2024-11,1,12,3,1,0,0,1,0,0,1,0,19
open-quantum-safe/tsc,2024-04,6,1,3,0,0,0,0,1,0,0,0,11
open-quantum-safe/tsc,2024-05,2,3,0,0,2,3,0,0,0,0,0,10
open-quantum-safe/tsc,2024-06,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-08,1,1,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/tsc,2024-12,0,1,0,0,0,0,0,0,0,0,0,1
pq-code-package/documentation,2024-03,0,1,2,4,1,0,0,2,1,0,0,11
pq-code-package/documentation,2024-05,0,0,5,3,0,0,0,0,0,0,0,8
pq-code-package/documentation,2024-06,0,0,2,1,0,0,0,0,0,0,0,3
pq-code-package/documentation,2024-08,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2024-08,3,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-demos,2024-09,5,2,0,0,2,4,0,1,0,0,0,14
open-quantum-safe/oqs-demos,2024-10,4,0,0,0,0,0,0,0,0,0,0,4
pq-code-package/.github,2024-02,0,0,0,0,0,0,0,0,1,0,0,1
pq-code-package/.github,2024-03,0,0,0,0,0,0,0,1,0,0,0,1
