repo,month,IssueCommentEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,ForkEvent,PullRequestEvent,total
open-quantum-safe/liboqs,2024-02,0,0,0,1,0,1
open-quantum-safe/liboqs,2024-04,0,0,0,1,0,1
open-quantum-safe/liboqs,2024-07,0,0,0,1,0,1
open-quantum-safe/liboqs,2024-08,4,7,7,0,3,21
open-quantum-safe/liboqs,2024-10,3,0,0,0,0,3
open-quantum-safe/liboqs,2024-11,5,0,0,0,1,6
open-quantum-safe/liboqs,2025-02,5,1,1,0,1,8
open-quantum-safe/liboqs,2025-03,1,3,3,0,0,7
open-quantum-safe/liboqs,2026-01,0,2,2,0,0,4
open-quantum-safe/oqs-provider,2024-04,0,0,0,1,0,1
open-quantum-safe/oqs-provider,2024-08,1,9,9,2,1,22
open-quantum-safe/oqs-provider,2024-10,1,0,0,0,0,1
open-quantum-safe/oqs-provider,2025-03,2,0,0,0,0,2
open-quantum-safe/oqs-provider,2025-08,2,0,0,0,0,2
open-quantum-safe/www,2024-11,0,0,0,1,1,2
open-quantum-safe/oqs-demos,2024-05,0,0,0,1,0,1
