repo,month,PushEvent,IssueCommentEvent,PullRequestEvent,DeleteEvent,PullRequestReviewEvent,CreateEvent,IssuesEvent,PullRequestReviewCommentEvent,ReleaseEvent,ForkEvent,CommitCommentEvent,MemberEvent,total
open-quantum-safe/liboqs-rust,2020-10,22,4,9,3,3,6,1,1,1,0,0,0,50
open-quantum-safe/liboqs-rust,2020-11,7,1,4,3,1,4,2,1,1,0,0,0,24
open-quantum-safe/liboqs-rust,2020-12,2,0,2,1,0,1,0,0,0,0,0,0,6
open-quantum-safe/liboqs-rust,2021-01,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs-rust,2021-02,74,25,18,10,11,6,5,0,0,0,0,1,150
open-quantum-safe/liboqs-rust,2021-03,12,5,11,7,7,5,2,0,1,0,0,0,50
open-quantum-safe/liboqs-rust,2021-04,13,3,8,6,8,1,1,1,0,0,0,0,41
open-quantum-safe/liboqs-rust,2021-05,12,0,8,9,4,0,0,0,0,0,0,0,33
open-quantum-safe/liboqs-rust,2021-06,4,2,6,4,2,3,0,0,1,0,0,0,22
open-quantum-safe/liboqs-rust,2021-07,12,5,6,5,0,0,1,0,0,0,0,0,29
open-quantum-safe/liboqs-rust,2021-08,6,1,9,6,2,3,0,0,1,0,0,0,28
open-quantum-safe/liboqs-rust,2021-09,1,1,2,1,0,0,0,0,0,0,0,0,5
open-quantum-safe/liboqs-rust,2021-10,1,0,0,2,0,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs-rust,2021-11,4,1,4,3,1,0,0,0,0,0,0,0,13
open-quantum-safe/liboqs-rust,2021-12,4,1,5,4,2,2,2,0,1,0,0,0,21
open-quantum-safe/liboqs-rust,2022-01,2,0,3,2,0,0,0,0,0,0,0,0,7
open-quantum-safe/liboqs-rust,2022-02,2,0,3,1,0,0,0,0,0,0,0,0,6
open-quantum-safe/liboqs-rust,2022-03,6,0,5,5,1,0,1,0,0,0,0,0,18
open-quantum-safe/liboqs-rust,2022-04,3,1,2,3,0,0,0,0,0,0,0,0,9
open-quantum-safe/liboqs-rust,2022-05,2,3,2,2,0,0,2,0,0,0,0,0,11
open-quantum-safe/liboqs-rust,2022-07,2,3,2,1,0,0,0,0,0,0,0,0,8
open-quantum-safe/liboqs-rust,2022-08,13,5,9,5,3,6,0,0,2,0,0,0,43
open-quantum-safe/liboqs-rust,2022-09,4,0,4,4,0,0,0,0,0,0,0,0,12
open-quantum-safe/liboqs-rust,2022-10,1,0,0,0,1,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs-rust,2022-11,9,0,8,8,6,0,0,0,0,0,0,0,31
open-quantum-safe/liboqs-rust,2022-12,2,0,3,0,1,0,0,0,0,0,0,0,6
open-quantum-safe/liboqs-rust,2023-01,4,1,3,3,2,0,1,0,0,0,0,0,14
open-quantum-safe/liboqs-rust,2023-02,8,4,9,7,6,1,2,1,0,1,0,0,39
open-quantum-safe/liboqs-rust,2023-03,2,10,1,2,2,0,2,0,0,0,0,0,19
open-quantum-safe/liboqs-rust,2023-04,12,7,7,4,2,4,0,0,0,0,0,0,36
open-quantum-safe/liboqs-rust,2023-05,4,3,2,2,1,0,0,0,0,0,0,0,12
open-quantum-safe/liboqs-rust,2023-06,2,3,1,1,1,0,0,0,0,0,0,0,8
open-quantum-safe/liboqs-rust,2023-08,9,2,10,6,0,5,2,0,0,0,0,0,34
open-quantum-safe/liboqs-rust,2023-09,8,10,9,3,9,2,1,6,0,0,0,0,48
open-quantum-safe/liboqs-rust,2023-10,5,8,18,8,3,7,2,2,2,0,0,0,55
open-quantum-safe/liboqs-rust,2023-11,0,0,1,1,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2018-12,0,0,1,0,0,0,0,0,0,1,0,0,2
open-quantum-safe/liboqs,2019-02,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2019-05,0,3,0,0,0,0,1,0,0,0,0,0,4
open-quantum-safe/liboqs,2019-07,0,0,0,0,0,0,0,1,0,0,0,0,1
open-quantum-safe/liboqs,2019-08,0,2,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2020-02,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2020-03,0,4,1,0,0,0,0,0,0,1,0,0,6
open-quantum-safe/liboqs,2020-04,0,4,4,1,0,1,5,1,0,0,0,0,16
open-quantum-safe/liboqs,2020-06,0,0,0,0,0,0,0,4,0,0,0,0,4
open-quantum-safe/liboqs,2020-08,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2020-09,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2021-02,5,11,1,0,2,1,1,2,0,0,0,0,23
open-quantum-safe/liboqs,2021-03,0,2,1,0,0,1,1,0,0,0,0,0,5
open-quantum-safe/liboqs,2021-04,0,3,0,1,0,0,1,0,0,0,0,0,5
open-quantum-safe/liboqs,2021-05,0,15,2,0,2,0,3,5,0,0,0,0,27
open-quantum-safe/liboqs,2021-06,0,8,0,0,0,0,2,0,0,0,0,0,10
open-quantum-safe/liboqs,2021-07,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2022-03,0,0,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2022-07,0,6,0,0,0,0,1,0,0,0,0,0,7
open-quantum-safe/liboqs,2022-09,0,4,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/liboqs,2022-11,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2022-12,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2023-02,1,11,2,1,7,0,3,5,0,0,0,0,30
open-quantum-safe/liboqs,2023-03,0,3,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs,2023-04,0,12,1,0,2,1,2,1,0,0,0,0,19
open-quantum-safe/liboqs,2023-10,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2023-11,0,2,0,0,1,0,0,1,0,0,0,0,4
open-quantum-safe/openssl,2018-11,0,9,2,0,0,0,3,0,0,0,1,0,15
open-quantum-safe/openssl,2018-12,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssh,2020-12,0,1,1,0,0,0,0,0,0,1,0,0,3
open-quantum-safe/openssh,2021-05,0,1,1,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/openssh,2021-06,0,0,0,0,4,0,0,3,0,0,0,0,7
open-quantum-safe/tsc,2024-03,0,1,0,0,0,0,1,0,0,0,0,0,2
open-quantum-safe/tsc,2024-04,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-07,0,1,0,0,0,0,1,0,0,0,0,0,2
open-quantum-safe/tsc,2024-09,0,0,0,0,1,0,0,1,0,0,0,0,2
open-quantum-safe/tsc,2024-10,0,1,0,0,1,0,0,3,0,0,0,0,5
open-quantum-safe/oqs-provider,2024-07,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2024-08,0,4,0,0,0,0,0,0,0,0,0,0,4
