repo,month,PushEvent,PullRequestReviewCommentEvent,IssueCommentEvent,CreateEvent,PullRequestReviewEvent,PullRequestEvent,DeleteEvent,IssuesEvent,WatchEvent,ForkEvent,GollumEvent,ReleaseEvent,total
open-quantum-safe/liboqs,2023-10,0,0,0,0,0,0,0,0,1,0,0,0,1
open-quantum-safe/liboqs,2025-03,0,0,0,0,0,0,0,0,0,1,0,0,1
open-quantum-safe/liboqs,2025-08,0,6,0,0,1,0,0,1,0,0,0,0,8
open-quantum-safe/liboqs,2025-09,12,4,10,1,2,1,0,2,0,0,0,0,32
open-quantum-safe/liboqs,2025-10,10,1,1,3,1,1,0,0,0,0,1,0,18
open-quantum-safe/liboqs,2025-11,15,6,1,3,2,1,4,0,0,0,0,1,33
open-quantum-safe/liboqs,2025-12,3,0,2,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/liboqs,2026-01,13,3,4,2,2,2,3,1,0,0,0,0,30
open-quantum-safe/liboqs,2026-02,4,2,0,1,3,0,0,0,0,0,0,0,10
open-quantum-safe/liboqs,2026-03,2,2,0,1,0,0,0,0,0,0,0,0,5
open-quantum-safe/liboqs,2026-04,16,0,0,1,2,0,0,0,0,0,0,0,19
open-quantum-safe/liboqs,2026-05,10,1,0,2,0,0,2,0,0,0,0,0,15
open-quantum-safe/tsc,2026-01,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2026-02,0,0,0,0,0,2,0,0,0,1,0,0,3
open-quantum-safe/tsc,2026-03,0,0,0,0,0,2,0,0,0,0,0,0,2
open-quantum-safe/tsc,2026-04,0,0,0,0,0,1,0,0,0,0,0,0,1
open-quantum-safe/ci-containers,2025-10,2,0,0,1,0,0,1,0,0,0,0,0,4
open-quantum-safe/ci-containers,2026-01,1,0,0,0,0,0,0,1,0,0,0,0,2
open-quantum-safe/www,2025-11,2,0,1,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/www,2026-01,1,0,0,0,0,1,0,0,0,0,0,0,2
open-quantum-safe/liboqs-rust,2025-02,0,0,0,0,0,0,0,0,1,0,0,0,1
open-quantum-safe/openssh,2026-01,0,0,0,0,1,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2025-09,0,0,1,0,0,0,0,0,0,0,0,0,1
pq-code-package/mlkem-c-embedded,2025-04,0,0,0,0,0,0,0,0,1,0,0,0,1
