repo,month,PullRequestEvent,PushEvent,CreateEvent,PullRequestReviewEvent,DeleteEvent,PullRequestReviewCommentEvent,IssueCommentEvent,total
openwallet-foundation-labs/wallet-framework-dotnet,2024-01,5,3,2,3,0,1,0,14
openwallet-foundation-labs/wallet-framework-dotnet,2024-02,36,32,11,5,1,3,0,88
openwallet-foundation-labs/wallet-framework-dotnet,2024-03,12,28,4,3,0,1,0,48
openwallet-foundation-labs/wallet-framework-dotnet,2024-04,14,5,3,0,0,0,0,22
openwallet-foundation-labs/wallet-framework-dotnet,2024-05,26,31,4,3,20,0,0,84
openwallet-foundation-labs/wallet-framework-dotnet,2024-06,2,7,1,5,0,0,0,15
openwallet-foundation-labs/wallet-framework-dotnet,2024-07,16,13,4,5,0,0,0,38
openwallet-foundation-labs/wallet-framework-dotnet,2024-08,38,19,11,3,0,1,1,73
openwallet-foundation-labs/wallet-framework-dotnet,2024-09,14,3,3,2,0,0,0,22
openwallet-foundation-labs/wallet-framework-dotnet,2024-10,11,18,2,1,0,0,1,33
openwallet-foundation-labs/wallet-framework-dotnet,2024-11,18,13,3,4,0,0,1,39
openwallet-foundation-labs/wallet-framework-dotnet,2024-12,10,6,1,0,0,0,0,17
openwallet-foundation-labs/wallet-framework-dotnet,2025-01,22,10,2,2,0,0,0,36
openwallet-foundation-labs/wallet-framework-dotnet,2025-02,12,0,2,3,0,2,0,19
openwallet-foundation-labs/wallet-framework-dotnet,2025-03,5,9,2,1,0,0,0,17
openwallet-foundation-labs/wallet-framework-dotnet,2025-04,22,15,2,7,0,2,0,48
openwallet-foundation-labs/wallet-framework-dotnet,2025-05,10,8,6,0,0,0,0,24
openwallet-foundation-labs/wallet-framework-dotnet,2025-06,9,10,5,0,0,0,0,24
openwallet-foundation-labs/wallet-framework-dotnet,2025-07,10,7,2,4,0,1,0,24
openwallet-foundation-labs/wallet-framework-dotnet,2025-08,8,5,2,4,0,4,0,23
openwallet-foundation-labs/wallet-framework-dotnet,2025-09,23,15,1,6,0,5,0,50
openwallet-foundation-labs/wallet-framework-dotnet,2025-10,7,5,0,2,0,0,0,14
openwallet-foundation-labs/wallet-framework-dotnet,2025-11,2,5,1,5,0,1,0,14
openwallet-foundation-labs/wallet-framework-dotnet,2025-12,0,0,0,1,0,0,0,1
openwallet-foundation-labs/wallet-framework-dotnet,2026-02,0,1,1,0,0,0,0,2
openwallet-foundation-labs/governance,2024-09,1,0,0,0,0,0,0,1
