repo,month,IssuesEvent,IssueCommentEvent,PushEvent,PullRequestEvent,PullRequestReviewEvent,CreateEvent,DeleteEvent,PullRequestReviewCommentEvent,ForkEvent,GollumEvent,WatchEvent,total
openwallet-foundation-labs/learner-credential-wallet,2024-11,6,6,1,2,0,1,0,0,0,0,1,17
openwallet-foundation-labs/learner-credential-wallet,2024-12,8,9,6,3,0,1,1,0,0,0,0,28
openwallet-foundation-labs/learner-credential-wallet,2025-01,23,23,11,10,3,6,3,0,0,0,0,79
openwallet-foundation-labs/learner-credential-wallet,2025-02,10,12,7,2,9,2,2,2,0,0,0,46
openwallet-foundation-labs/learner-credential-wallet,2025-03,8,17,12,11,2,4,3,0,0,0,0,57
openwallet-foundation-labs/learner-credential-wallet,2025-04,7,16,8,2,2,1,0,0,0,0,0,36
openwallet-foundation-labs/learner-credential-wallet,2025-05,12,7,13,11,3,8,3,0,0,0,0,57
openwallet-foundation-labs/learner-credential-wallet,2025-06,11,7,3,5,2,4,1,0,0,0,0,33
openwallet-foundation-labs/learner-credential-wallet,2025-07,9,11,3,4,2,2,1,0,0,2,0,34
openwallet-foundation-labs/learner-credential-wallet,2025-08,9,18,9,6,5,4,1,0,0,0,0,52
openwallet-foundation-labs/learner-credential-wallet,2025-09,8,17,7,8,8,2,3,1,0,0,0,54
openwallet-foundation-labs/learner-credential-wallet,2025-10,28,11,6,4,7,1,2,0,0,0,0,59
openwallet-foundation-labs/learner-credential-wallet,2025-11,62,11,6,0,11,1,3,0,0,0,0,94
openwallet-foundation-labs/learner-credential-wallet,2025-12,7,2,1,0,2,0,1,0,0,0,0,13
openwallet-foundation-labs/learner-credential-wallet,2026-05,0,1,6,0,0,1,0,0,0,0,0,8
openwallet-foundation-labs/governance,2024-11,0,0,0,5,0,0,0,0,2,0,0,7
openwallet-foundation-labs/governance,2025-01,0,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/governance,2025-03,0,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/governance,2025-09,0,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/governance,2025-11,0,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/governance,2025-12,0,0,0,1,1,0,0,0,0,0,0,2
openwallet-foundation/project-proposals,2024-05,0,1,0,1,0,0,0,0,0,0,0,2
openwallet-foundation/project-proposals,2024-07,0,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/project-proposals,2024-08,0,3,0,0,2,0,0,2,0,0,0,7
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-07,0,0,0,1,0,0,0,0,1,0,0,2
