repo,month,PushEvent,PullRequestEvent,IssueCommentEvent,DeleteEvent,PullRequestReviewEvent,CreateEvent,IssuesEvent,PullRequestReviewCommentEvent,ForkEvent,WatchEvent,GollumEvent,ReleaseEvent,total
openwallet-foundation-labs/eudiplo,2025-07,15,10,1,3,1,5,1,0,1,1,0,0,38
openwallet-foundation-labs/eudiplo,2025-08,70,46,5,26,0,18,11,0,0,0,0,0,176
openwallet-foundation-labs/eudiplo,2025-09,34,28,7,25,6,6,2,0,0,0,0,0,108
openwallet-foundation-labs/eudiplo,2025-10,4,5,5,3,1,1,3,0,0,0,0,0,22
openwallet-foundation-labs/eudiplo,2025-11,37,10,3,21,2,5,9,1,0,0,0,0,88
openwallet-foundation-labs/eudiplo,2025-12,24,8,1,8,0,9,0,0,0,0,0,0,50
openwallet-foundation-labs/eudiplo,2026-01,59,29,3,30,0,14,4,0,0,0,0,0,139
openwallet-foundation-labs/eudiplo,2026-02,72,19,6,29,3,14,8,0,0,0,0,0,151
openwallet-foundation-labs/eudiplo,2026-03,55,10,1,16,8,9,2,0,0,0,0,0,101
openwallet-foundation-labs/eudiplo,2026-04,64,7,2,13,5,15,1,0,0,0,0,0,107
openwallet-foundation-labs/eudiplo,2026-05,7,0,0,1,1,4,0,0,0,0,0,0,13
openwallet-foundation-labs/sd-jwt-js,2024-02,10,29,83,4,19,3,14,13,1,1,0,0,177
openwallet-foundation-labs/sd-jwt-js,2024-03,38,44,27,6,18,3,11,0,0,0,0,0,147
openwallet-foundation-labs/sd-jwt-js,2024-04,4,8,3,0,3,0,3,1,0,0,0,0,22
openwallet-foundation-labs/sd-jwt-js,2024-05,5,13,12,0,11,2,9,9,0,0,0,0,61
openwallet-foundation-labs/sd-jwt-js,2024-06,0,0,2,0,0,0,0,0,0,0,0,0,2
openwallet-foundation-labs/sd-jwt-js,2024-07,3,3,1,0,1,0,1,0,0,0,0,0,9
openwallet-foundation-labs/sd-jwt-js,2024-08,1,4,5,0,4,0,3,4,0,0,0,0,21
