repo,month,PushEvent,DeleteEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,CreateEvent,PullRequestEvent,WatchEvent,IssuesEvent,total
openwallet-foundation-labs/learner-credential-wallet,2025-01,0,0,0,0,1,0,0,0,0,1
openwallet-foundation-labs/learner-credential-wallet,2025-02,5,16,13,10,2,5,3,0,1,55
openwallet-foundation-labs/learner-credential-wallet,2025-03,6,1,2,3,1,1,1,0,0,15
openwallet-foundation-labs/learner-credential-wallet,2025-05,0,2,0,0,0,1,0,0,0,3
openwallet-foundation-labs/learner-credential-wallet,2025-06,1,0,1,0,0,1,1,0,0,4
openwallet-foundation-labs/learner-credential-wallet,2025-07,1,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/learner-credential-wallet,2025-08,14,1,1,0,7,2,4,0,0,29
openwallet-foundation-labs/learner-credential-wallet,2025-09,7,14,9,3,4,3,3,0,1,44
openwallet-foundation-labs/learner-credential-wallet,2025-10,7,0,4,6,1,0,0,0,0,18
openwallet-foundation-labs/learner-credential-wallet,2025-11,2,0,3,8,6,1,0,0,0,20
openwallet-foundation-labs/learner-credential-wallet,2025-12,0,5,0,0,0,0,0,0,0,5
openwallet-foundation-labs/learner-credential-wallet,2026-05,3,1,0,0,0,0,0,0,0,4
hyperledger/aries-framework-go,2019-08,0,0,0,0,1,0,0,0,0,1
hyperledger/indy-crypto,2017-10,0,0,0,0,0,0,0,1,0,1
hyperledger/indy-node,2017-10,0,0,0,0,0,0,0,1,0,1
hyperledger/indy-plenum,2017-10,0,0,0,0,0,0,0,1,0,1
hyperledger/indy-sdk,2017-10,0,0,0,0,0,0,0,1,0,1
