repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,DeleteEvent,PullRequestEvent,CreateEvent,IssueCommentEvent,ForkEvent,IssuesEvent,total
openwallet-foundation/credo-ts,2025-07,0,2,0,0,0,0,0,1,0,3
openwallet-foundation/credo-ts,2025-08,0,14,14,0,4,0,5,0,0,37
openwallet-foundation/credo-ts,2025-09,0,9,12,0,1,0,1,0,0,23
openwallet-foundation/credo-ts,2025-10,9,5,2,5,4,3,0,0,0,28
openwallet-foundation/credo-ts,2025-11,12,5,7,3,2,2,4,0,0,35
openwallet-foundation/credo-ts,2025-12,0,5,0,1,3,1,0,0,0,10
openwallet-foundation/credo-ts,2026-01,0,0,0,1,0,0,0,0,0,1
openwallet-foundation/credo-ts,2026-02,7,1,2,1,2,2,1,0,0,16
openwallet-foundation/credo-ts,2026-03,7,0,1,2,0,2,0,0,0,12
openwallet-foundation/credo-ts,2026-04,11,2,0,5,1,5,0,0,0,24
openwallet-foundation-labs/oid4vc-ts,2025-07,6,3,0,0,0,0,0,0,0,9
openwallet-foundation-labs/oid4vc-ts,2025-08,9,10,10,2,7,2,2,0,0,42
openwallet-foundation-labs/oid4vc-ts,2025-10,16,2,2,7,2,4,0,0,1,34
openwallet-foundation-labs/oid4vc-ts,2025-11,0,1,0,1,0,0,0,0,0,2
openwallet-foundation-labs/oid4vc-ts,2025-12,0,3,0,2,0,0,0,0,0,5
openwallet-foundation-labs/oid4vc-ts,2026-01,1,1,0,3,0,0,0,0,0,5
openwallet-foundation-labs/oid4vc-ts,2026-02,3,1,0,0,0,0,0,0,0,4
openwallet-foundation-labs/oid4vc-ts,2026-03,2,1,0,3,0,0,0,0,0,6
openwallet-foundation-labs/oid4vc-ts,2026-04,0,0,0,1,0,0,1,0,0,2
openwallet-foundation-labs/identity-common-ts,2026-03,3,1,0,2,0,0,0,0,0,6
openwallet-foundation-labs/identity-common-ts,2026-04,7,0,2,2,0,2,0,0,0,13
openwallet-foundation-labs/dcql-ts,2025-07,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/dcql-ts,2025-08,1,1,1,0,1,0,1,0,0,5
openwallet-foundation-labs/dcql-ts,2025-09,0,0,0,0,1,0,0,0,0,1
openwallet-foundation-labs/dcql-ts,2025-11,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/mdoc-ts,2026-05,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/askar-wrapper-javascript,2025-12,0,1,0,0,0,0,0,0,0,1
