repo,month,PullRequestEvent,PushEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestReviewEvent,CreateEvent,DeleteEvent,ReleaseEvent,IssuesEvent,ForkEvent,WatchEvent,total
hyperledger/indy-sdk,2017-05,4,0,0,0,0,0,0,0,0,1,0,5
hyperledger/indy-sdk,2017-06,40,20,5,0,0,0,0,0,0,0,0,65
hyperledger/indy-sdk,2017-07,35,21,12,1,0,1,2,0,0,0,0,72
hyperledger/indy-sdk,2017-08,79,54,15,6,0,4,3,0,0,0,0,161
hyperledger/indy-sdk,2017-09,16,13,6,0,0,1,1,0,0,0,0,37
hyperledger/indy-sdk,2017-10,78,66,26,13,0,4,3,0,0,0,0,190
hyperledger/indy-sdk,2017-11,55,28,9,9,0,4,2,0,0,0,0,107
hyperledger/indy-sdk,2017-12,47,50,11,13,0,0,0,0,4,0,1,126
hyperledger/indy-sdk,2018-01,57,31,7,10,0,2,0,2,0,0,0,109
hyperledger/indy-sdk,2018-02,37,23,4,7,0,1,0,0,0,0,0,72
hyperledger/indy-sdk,2018-03,24,23,12,5,0,0,0,0,0,0,0,64
hyperledger/indy-sdk,2018-04,38,27,1,7,0,2,0,0,1,0,0,76
hyperledger/indy-sdk,2018-05,53,46,24,14,0,1,3,1,0,0,0,142
hyperledger/indy-sdk,2018-06,42,29,16,12,0,1,0,1,1,0,0,102
hyperledger/indy-sdk,2018-07,60,45,21,17,0,3,2,1,0,0,0,149
hyperledger/indy-sdk,2018-08,74,63,17,11,0,3,0,3,1,0,0,172
hyperledger/indy-sdk,2018-09,28,16,0,9,0,3,1,2,0,0,0,59
hyperledger/indy-sdk,2018-10,68,45,18,17,0,0,0,0,0,0,0,148
hyperledger/indy-sdk,2018-11,52,42,17,18,0,3,1,2,0,0,0,135
hyperledger/indy-sdk,2018-12,38,33,16,16,0,1,0,1,0,0,0,105
hyperledger/indy-sdk,2019-01,40,32,18,9,0,0,0,0,0,0,0,99
hyperledger/indy-sdk,2019-02,36,35,18,22,0,2,0,2,0,0,0,115
hyperledger/indy-sdk,2019-03,44,38,11,19,0,0,0,0,0,0,0,112
hyperledger/indy-sdk,2019-04,17,16,6,7,0,0,0,0,0,0,0,46
hyperledger/indy-sdk,2019-05,65,55,24,14,0,2,0,1,0,0,0,161
hyperledger/indy-sdk,2019-06,37,34,9,7,0,0,0,0,0,0,0,87
hyperledger/indy-sdk,2019-07,68,56,25,15,0,3,0,2,0,0,0,169
hyperledger/indy-sdk,2019-08,54,46,17,9,0,0,0,0,0,0,0,126
hyperledger/indy-sdk,2019-09,23,16,12,6,0,0,0,0,0,0,0,57
hyperledger/indy-sdk,2019-10,30,23,2,6,0,0,0,0,0,0,0,61
hyperledger/indy-sdk,2019-11,31,14,16,7,0,2,0,0,0,0,0,70
hyperledger/indy-sdk,2019-12,34,27,13,3,0,3,0,3,0,0,0,83
hyperledger/indy-sdk,2020-01,28,26,6,5,0,0,0,0,0,0,0,65
hyperledger/indy-sdk,2020-02,29,20,7,2,0,1,0,0,0,0,0,59
hyperledger/indy-sdk,2020-03,16,13,4,2,0,1,0,1,0,0,0,37
hyperledger/indy-sdk,2020-04,7,5,2,3,0,0,0,0,0,0,0,17
hyperledger/indy-sdk,2020-05,3,3,2,4,0,0,0,0,1,0,0,13
hyperledger/indy-sdk,2020-06,4,4,1,3,0,0,0,0,1,0,0,13
hyperledger/indy-sdk,2020-07,2,2,0,1,0,0,0,0,0,0,0,5
hyperledger/indy-sdk,2020-09,11,10,1,1,14,0,0,0,1,0,0,38
hyperledger/indy-sdk,2020-10,7,5,1,2,12,0,0,0,0,0,0,27
hyperledger/indy-sdk,2020-11,21,13,1,14,4,1,5,0,4,0,0,63
hyperledger/indy-sdk,2020-12,6,3,4,6,6,1,0,0,1,0,0,27
hyperledger/indy-sdk,2021-01,1,1,0,1,2,0,0,0,0,0,0,5
hyperledger/indy-sdk,2021-05,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2021-06,0,0,0,6,1,0,0,0,0,0,0,7
hyperledger/indy-sdk,2021-07,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/indy-sdk,2021-09,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2022-01,0,0,0,2,0,0,0,0,0,0,0,2
hyperledger/indy-sdk,2023-09,0,0,0,0,2,0,0,0,0,0,0,2
openwallet-foundation-labs/sd-jwt-rust,2023-12,22,31,6,1,7,8,3,4,0,1,1,84
openwallet-foundation-labs/sd-jwt-rust,2024-01,8,5,1,4,5,1,0,1,1,0,1,27
openwallet-foundation-labs/sd-jwt-rust,2024-02,6,5,2,1,5,1,0,1,0,0,0,21
openwallet-foundation-labs/sd-jwt-rust,2024-03,0,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation-labs/sd-jwt-rust,2024-06,1,1,1,0,2,0,0,0,1,0,0,6
openwallet-foundation-labs/sd-jwt-rust,2024-09,2,2,0,0,0,1,0,0,2,0,0,7
openwallet-foundation-labs/sd-jwt-rust,2024-10,1,1,1,2,2,0,1,0,1,0,1,10
openwallet-foundation-labs/sd-jwt-rust,2024-12,0,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/sd-jwt-rust,2025-03,0,0,0,1,1,0,0,0,0,0,0,2
openwallet-foundation-labs/sd-jwt-rust,2025-07,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-crypto,2017-11,7,0,1,1,0,0,0,0,0,1,0,10
hyperledger/indy-crypto,2017-12,3,0,0,1,0,0,0,0,0,0,0,4
hyperledger/indy-crypto,2018-02,5,0,0,1,0,0,0,0,0,0,0,6
hyperledger/indy-crypto,2018-04,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-crypto,2018-05,5,0,0,3,0,0,0,0,0,0,0,8
hyperledger/indy-crypto,2018-07,3,0,2,3,0,0,0,0,0,0,0,8
hyperledger/indy-crypto,2018-08,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-crypto,2018-10,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-crypto,2018-11,3,0,0,3,0,0,0,0,0,0,1,7
hyperledger/indy-crypto,2018-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-crypto,2019-07,2,3,0,0,0,0,0,0,0,0,0,5
hyperledger/indy-crypto,2019-08,1,2,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-hipe,2018-08,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-hipe,2019-01,0,0,3,0,0,0,0,0,0,0,0,3
hyperledger/indy-hipe,2019-02,0,0,2,3,0,0,0,0,0,0,0,5
hyperledger/indy-hipe,2019-03,0,0,1,4,0,0,0,0,0,0,0,5
hyperledger/indy-hipe,2019-04,2,0,6,7,0,0,0,0,0,1,0,16
hyperledger/aries-rfcs,2019-05,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/aries-rfcs,2019-06,1,0,0,2,0,0,0,0,0,0,0,3
hyperledger/aries-rfcs,2019-10,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-rfcs,2020-01,0,0,1,11,0,0,0,0,0,0,0,12
hyperledger/indy-node,2017-12,1,0,1,0,0,0,0,0,0,1,1,4
hyperledger/indy-node,2018-03,0,0,0,2,0,0,0,0,0,0,0,2
hyperledger/indy-node,2018-04,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-node,2019-04,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-node,2019-05,1,0,2,0,0,0,0,0,0,0,0,3
hyperledger/indy-node,2019-07,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/indy-node,2021-08,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/indy-node,2023-11,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/indy-node,2023-12,0,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/project-proposals,2023-10,1,0,1,0,1,0,0,0,0,1,0,4
openwallet-foundation/project-proposals,2023-11,0,0,3,0,2,0,0,0,0,0,0,5
hyperledger/aries-cloudagent-python,2019-10,3,0,0,2,0,0,0,0,0,1,0,6
hyperledger/aries-cloudagent-python,2019-11,1,0,0,1,0,0,0,0,0,0,0,2
hyperledger/ursa,2018-11,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/ursa,2018-12,0,0,4,0,0,0,0,0,0,0,0,4
hyperledger/ursa,2019-10,1,0,0,2,0,0,0,0,0,0,0,3
hyperledger/anoncreds-clsignatures-rs,2023-10,1,0,0,1,0,0,0,0,1,0,0,3
hyperledger/anoncreds-clsignatures-rs,2023-11,1,0,0,1,0,0,0,0,0,1,0,3
hyperledger/aries-framework-go,2022-07,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/aries-framework-go,2022-09,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-framework-go,2022-10,1,0,1,1,1,0,0,0,0,0,0,4
hyperledger/indy-plenum,2017-12,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/indy-plenum,2018-01,1,0,0,1,0,0,0,0,0,0,0,2
