repo,month,IssueCommentEvent,IssuesEvent,total
openwallet-foundation-labs/learner-credential-wallet,2024-11,1,3,4
openwallet-foundation-labs/learner-credential-wallet,2024-12,14,7,21
openwallet-foundation-labs/learner-credential-wallet,2025-01,17,8,25
openwallet-foundation-labs/learner-credential-wallet,2025-02,4,1,5
openwallet-foundation-labs/learner-credential-wallet,2025-03,1,2,3
openwallet-foundation-labs/learner-credential-wallet,2025-04,1,1,2
openwallet-foundation-labs/learner-credential-wallet,2025-05,2,3,5
openwallet-foundation-labs/learner-credential-wallet,2025-06,0,1,1
openwallet-foundation-labs/learner-credential-wallet,2025-07,1,0,1
openwallet-foundation-labs/learner-credential-wallet,2025-08,5,0,5
openwallet-foundation-labs/learner-credential-wallet,2025-12,1,0,1
