repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,PullRequestEvent,CreateEvent,IssueCommentEvent,total
openwallet-foundation-labs/wallet-framework-dotnet,2023-12,1,0,0,0,0,0,1
openwallet-foundation-labs/wallet-framework-dotnet,2024-04,3,0,1,0,0,0,4
openwallet-foundation-labs/wallet-framework-dotnet,2024-08,8,0,0,0,0,0,8
openwallet-foundation-labs/wallet-framework-dotnet,2024-09,1,0,0,0,0,0,1
openwallet-foundation-labs/wallet-framework-dotnet,2024-10,5,2,1,1,0,0,9
openwallet-foundation-labs/wallet-framework-dotnet,2024-11,7,9,4,2,3,1,26
openwallet-foundation-labs/wallet-framework-dotnet,2024-12,2,0,0,0,0,1,3
openwallet-foundation-labs/wallet-framework-dotnet,2025-01,3,8,3,2,1,0,17
openwallet-foundation-labs/wallet-framework-dotnet,2025-02,1,0,0,0,0,0,1
openwallet-foundation-labs/wallet-framework-dotnet,2025-03,11,6,13,3,2,0,35
openwallet-foundation-labs/wallet-framework-dotnet,2025-04,5,6,5,1,2,1,20
openwallet-foundation-labs/wallet-framework-dotnet,2025-05,4,5,0,3,1,0,13
openwallet-foundation-labs/wallet-framework-dotnet,2025-06,5,1,1,0,0,0,7
hyperledger/aries-framework-dotnet,2023-07,0,0,0,2,0,0,2
hyperledger/indy-sdk,2024-02,0,0,0,1,0,0,1
