repo,month,IssueCommentEvent,PullRequestEvent,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,DeleteEvent,ForkEvent,CreateEvent,ReleaseEvent,WatchEvent,GollumEvent,total
openwallet-foundation-labs/sd-jwt-js,2024-01,1,2,1,1,1,5,0,0,0,0,0,0,11
openwallet-foundation-labs/sd-jwt-js,2024-02,114,68,43,46,25,19,9,0,4,2,0,1,331
openwallet-foundation-labs/sd-jwt-js,2024-03,46,42,20,16,5,4,4,0,0,0,0,0,137
openwallet-foundation-labs/sd-jwt-js,2024-04,13,19,24,15,1,5,13,0,0,0,0,0,90
openwallet-foundation-labs/sd-jwt-js,2024-05,8,1,2,11,5,0,0,0,0,0,0,0,27
openwallet-foundation-labs/sd-jwt-js,2024-06,1,0,0,0,0,1,0,0,0,0,0,0,2
openwallet-foundation-labs/sd-jwt-js,2024-07,0,1,1,3,0,1,0,0,0,0,0,0,6
openwallet-foundation-labs/sd-jwt-js,2024-08,5,1,1,4,3,0,0,0,1,1,0,0,16
openwallet-foundation-labs/sd-jwt-js,2024-10,4,1,0,0,0,0,0,0,0,0,0,0,5
openwallet-foundation/sd-jwt-js,2024-11,4,7,3,2,0,0,1,0,0,1,0,0,18
openwallet-foundation/sd-jwt-js,2024-12,2,1,0,3,0,0,0,0,0,0,0,0,6
openwallet-foundation/sd-jwt-js,2025-01,2,5,4,9,4,1,0,0,0,0,0,0,25
openwallet-foundation/sd-jwt-js,2025-02,0,0,1,1,0,0,1,0,0,0,0,0,3
openwallet-foundation/sd-jwt-js,2025-03,0,4,2,1,0,0,1,0,0,0,0,0,8
openwallet-foundation/sd-jwt-js,2025-05,0,0,0,1,1,0,0,0,0,0,0,0,2
openwallet-foundation/sd-jwt-js,2025-06,4,5,5,10,7,1,0,0,1,0,0,0,33
openwallet-foundation/sd-jwt-js,2025-08,4,2,1,2,0,1,0,0,0,0,0,0,10
openwallet-foundation/sd-jwt-js,2025-09,0,1,0,0,0,0,1,0,0,0,0,0,2
openwallet-foundation/sd-jwt-js,2025-10,1,2,3,4,0,1,0,0,1,0,0,0,12
openwallet-foundation/sd-jwt-js,2025-11,1,0,0,1,1,0,0,0,0,0,0,0,3
openwallet-foundation/sd-jwt-js,2025-12,0,0,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/sd-jwt-js,2026-01,0,0,1,2,0,0,0,0,0,0,0,0,3
openwallet-foundation-labs/sd-jwt-vc-dm,2025-01,0,0,1,0,0,0,0,1,0,0,1,0,3
openwallet-foundation-labs/sd-jwt-vc-dm,2025-02,6,7,17,1,0,14,1,0,0,0,0,0,46
openwallet-foundation-labs/sd-jwt-vc-dm,2025-03,9,7,3,4,2,4,0,0,0,0,0,0,29
openwallet-foundation-labs/sd-jwt-vc-dm,2025-04,2,1,0,0,0,3,0,0,0,0,0,0,6
openwallet-foundation-labs/sd-jwt-vc-dm,2025-05,0,0,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation-labs/sd-jwt-vc-dm,2025-06,0,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/mdl-js,2024-06,1,0,0,1,0,0,0,1,0,0,0,0,3
openwallet-foundation-labs/mdl-js,2024-11,0,1,29,0,0,0,1,0,1,1,0,0,33
openwallet-foundation/credo-ts,2024-02,0,0,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/credo-ts,2024-03,9,1,0,10,11,0,0,0,0,0,0,0,31
openwallet-foundation/credo-ts,2024-04,4,0,0,0,0,0,0,0,0,0,0,0,4
openwallet-foundation/project-proposals,2024-01,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/project-proposals,2024-06,0,1,0,2,2,0,0,0,0,0,0,0,5
openwallet-foundation/project-proposals,2024-10,1,1,0,3,4,0,0,0,0,0,0,0,9
openwallet-foundation/project-proposals,2024-12,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/project-proposals,2025-01,4,1,0,0,0,0,0,0,0,0,0,0,5
openwallet-foundation/project-proposals,2025-04,0,1,0,2,2,0,0,0,0,0,0,0,5
openwallet-foundation/project-proposals,2026-01,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/trs,2025-06,0,0,0,0,0,0,0,1,0,0,1,0,2
openwallet-foundation-labs/trs,2025-07,0,2,4,0,0,0,0,0,0,0,0,0,6
openwallet-foundation-labs/trs,2025-08,0,0,1,0,0,0,1,0,0,0,0,0,2
openwallet-foundation-labs/eudiplo,2025-07,3,2,0,0,0,0,0,0,0,0,0,0,5
openwallet-foundation-labs/eudiplo,2025-08,0,0,0,3,0,0,0,0,0,0,0,0,3
openwallet-foundation-labs/eudiplo,2025-09,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/tac,2024-02,1,0,0,0,0,3,0,0,0,0,0,0,4
openwallet-foundation/tac,2024-11,0,1,0,0,0,0,0,1,0,0,0,0,2
openwallet-foundation/tac,2024-12,0,0,0,1,1,0,0,0,0,0,0,0,2
openwallet-foundation-labs/governance,2025-01,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/governance,2025-02,0,0,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation-labs/governance,2025-08,2,2,0,0,0,0,0,0,0,0,0,0,4
openwallet-foundation/credo-ts-docs,2024-03,0,1,0,0,0,0,0,1,0,0,0,0,2
openwallet-foundation-labs/hDCX-js,2025-10,0,0,0,0,0,0,1,0,0,0,0,0,1
openwallet-foundation-labs/vc-api,2024-02,0,0,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/credential-format-comparison-sig,2024-03,0,0,0,0,0,0,0,1,0,0,0,0,1
trustoverip/tswg-trust-registry-protocol,2025-04,0,0,0,0,0,0,0,0,0,0,1,0,1
