repo,month,PushEvent,PullRequestEvent,IssueCommentEvent,IssuesEvent,PullRequestReviewEvent,CreateEvent,DeleteEvent,PullRequestReviewCommentEvent,ReleaseEvent,ForkEvent,total
openwallet-foundation-labs/tsp,2025-03,30,7,5,2,1,5,0,0,0,0,50
openwallet-foundation-labs/tsp,2025-04,65,13,11,10,9,7,4,1,1,0,121
openwallet-foundation-labs/tsp,2025-05,25,8,3,3,6,3,6,0,1,0,55
openwallet-foundation-labs/tsp,2025-06,33,3,0,5,1,1,1,0,1,0,45
openwallet-foundation-labs/tsp,2025-07,15,1,3,0,5,1,0,2,0,0,27
openwallet-foundation-labs/tsp,2025-09,15,8,6,4,2,3,4,0,0,0,42
openwallet-foundation-labs/tsp,2025-11,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/askar,2025-04,0,1,0,1,0,0,0,0,0,1,3
openwallet-foundation-labs/governance,2025-09,0,0,1,1,0,0,0,0,0,0,2
trustoverip/tswg-tsp-specification,2025-06,0,0,0,0,1,0,0,1,0,0,2
openwallet-foundation-labs/didwebvh-rs,2025-06,0,0,0,0,0,1,0,0,0,0,1
