repo,month,IssuesEvent,IssueCommentEvent,total
openwallet-foundation-labs/learner-credential-wallet,2025-02,0,1,1
openwallet-foundation-labs/learner-credential-wallet,2025-03,3,0,3
openwallet-foundation-labs/learner-credential-wallet,2025-04,0,1,1
openwallet-foundation-labs/learner-credential-wallet,2025-05,1,1,2
openwallet-foundation-labs/learner-credential-wallet,2025-06,0,2,2
openwallet-foundation-labs/learner-credential-wallet,2025-07,2,2,4
openwallet-foundation-labs/learner-credential-wallet,2025-10,7,1,8
openwallet-foundation-labs/learner-credential-wallet,2025-11,3,3,6
openwallet-foundation-labs/learner-credential-wallet,2025-12,5,0,5
openwallet-foundation-labs/learner-credential-wallet,2026-01,2,0,2
