repo,month,PushEvent,IssuesEvent,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,CreateEvent,PullRequestReviewCommentEvent,ForkEvent,DeleteEvent,CommitCommentEvent,MemberEvent,total
openwallet-foundation-labs/tsp,2025-03,0,27,5,0,0,0,0,0,0,0,0,32
openwallet-foundation-labs/tsp,2025-04,0,7,15,0,0,0,0,0,0,0,0,22
openwallet-foundation-labs/tsp,2025-05,0,0,5,0,0,0,0,0,0,0,0,5
openwallet-foundation-labs/tsp,2025-06,1,13,12,1,0,1,0,0,0,0,0,28
openwallet-foundation-labs/tsp,2025-07,0,3,2,0,0,0,0,0,0,0,0,5
openwallet-foundation-labs/tsp,2025-09,0,3,5,0,0,0,0,0,0,0,0,8
openwallet-foundation-labs/tsp,2025-10,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/tsp,2025-11,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/tsp,2025-12,10,1,2,0,1,2,0,0,0,1,0,17
openwallet-foundation-labs/tsp,2026-01,2,1,1,0,0,0,0,0,0,0,0,4
openwallet-foundation-labs/tsp,2026-02,2,1,5,0,1,0,1,0,0,0,0,10
openwallet-foundation-labs/tsp,2026-03,0,3,0,0,0,1,0,0,0,0,0,4
openwallet-foundation-labs/tsp,2026-04,7,0,1,3,0,0,0,0,0,0,0,11
trustoverip/tswg-tsp-specification,2024-02,0,0,0,0,0,2,0,0,0,0,0,2
trustoverip/tswg-tsp-specification,2024-03,4,13,0,1,0,2,0,0,0,0,1,21
trustoverip/tswg-tsp-specification,2024-05,0,0,1,0,0,0,0,0,0,0,0,1
trustoverip/tswg-tsp-specification,2025-02,0,2,5,0,0,0,0,0,0,0,0,7
trustoverip/tswg-tsp-specification,2025-04,17,7,4,14,2,1,0,0,0,0,0,45
trustoverip/tswg-tsp-specification,2025-05,11,3,2,6,3,0,1,0,0,0,0,26
trustoverip/tswg-tsp-specification,2025-06,10,6,3,1,2,0,2,0,0,0,0,24
trustoverip/tswg-tsp-specification,2025-07,0,1,1,0,0,0,0,0,0,0,0,2
trustoverip/tswg-tsp-specification,2025-08,0,2,1,0,0,0,0,0,0,0,0,3
trustoverip/tswg-tsp-specification,2025-09,0,0,1,0,0,0,0,0,0,0,0,1
trustoverip/TechArch,2022-06,11,7,3,0,0,0,0,0,0,0,0,21
trustoverip/TechArch,2022-07,5,1,2,0,0,0,0,0,0,0,0,8
trustoverip/TechArch,2022-08,7,0,0,0,0,0,0,0,0,0,0,7
trustoverip/TechArch,2022-09,37,5,1,0,0,0,0,0,0,0,0,43
trustoverip/TechArch,2022-10,0,0,1,0,0,0,0,0,0,0,0,1
trustoverip/TechArch,2022-11,1,2,6,2,1,0,0,1,0,0,0,13
trustoverip/TechArch,2024-09,8,5,2,5,3,1,3,0,0,0,0,27
trustoverip/kswg-said-urn-charter,2025-07,0,0,1,1,0,0,0,0,0,0,0,2
trustoverip/kswg-said-urn-charter,2025-09,0,0,0,1,0,1,0,0,0,0,0,2
trustoverip/kswg-said-urn-charter,2025-10,0,0,1,0,0,1,0,0,0,0,0,2
trustoverip/kswg-said-urn-charter,2026-01,6,1,2,6,0,3,0,0,0,0,0,18
trustoverip/kswg-said-urn-charter,2026-03,1,0,0,2,0,1,0,0,0,0,0,4
trustoverip/aimwg-tsp-enabled-ai-agent-protocols,2026-01,3,0,0,4,0,3,0,0,0,0,0,10
trustoverip/aimwg-tsp-enabled-ai-agent-protocols,2026-02,4,0,0,2,0,1,0,0,0,0,0,7
trustoverip/aimwg-tsp-enabled-ai-agent-protocols,2026-03,6,0,0,0,0,0,0,0,0,0,0,6
openwallet-foundation/tac,2023-03,1,0,0,1,2,0,0,0,0,0,0,4
openwallet-foundation/tac,2023-04,0,0,0,0,2,0,0,0,0,0,0,2
openwallet-foundation/tac,2023-05,0,0,0,0,2,0,0,0,0,0,0,2
openwallet-foundation/tac,2023-06,0,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/tac,2023-07,0,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/tac,2024-05,0,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/tac,2024-07,0,0,1,0,2,0,2,0,0,0,0,5
trustoverip/aimwg-tmcp-specification,2025-06,5,0,0,4,0,5,0,0,0,0,0,14
trustoverip/aimwg-tmcp-specification,2025-07,0,0,0,0,0,0,0,0,2,0,0,2
openwallet-foundation/project-proposals,2023-03,0,0,0,0,2,0,0,0,0,0,0,2
openwallet-foundation/project-proposals,2023-10,0,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/project-proposals,2024-05,0,0,1,1,4,0,3,1,0,0,0,10
LF-Decentralized-Trust/governance,2024-10,0,1,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-03,0,0,0,0,2,0,6,0,0,0,0,8
openwallet-foundation-labs/governance,2025-03,1,0,0,0,2,1,0,0,0,0,0,4
openwallet-foundation-labs/governance,2025-07,1,0,0,1,0,1,0,0,0,0,0,3
openwallet-foundation-labs/governance,2025-12,0,0,0,1,0,0,0,0,0,0,0,1
trustoverip/authentic-ai,2024-04,2,2,0,1,0,3,0,0,0,0,0,8
trustoverip/tswg-tech-architecture-spec,2024-09,0,0,6,0,0,0,0,0,0,0,0,6
LF-Decentralized-Trust-Mentorships/mentorship-program,2025-02,0,1,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-Mentorships/mentorship-program,2025-05,0,0,1,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-Mentorships/mentorship-program,2026-03,0,1,0,0,0,0,0,0,0,0,0,1
trustoverip/trust-spanning-protocol,2023-03,2,0,0,0,0,0,0,1,0,0,0,3
trustoverip/tswg-cesr-specification,2025-08,0,0,1,0,0,0,0,0,0,0,0,1
