repo,month,PushEvent,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,IssuesEvent,PullRequestReviewCommentEvent,CreateEvent,ForkEvent,DeleteEvent,WatchEvent,total
openwallet-foundation/acapy-vc-authn-oidc,2025-01,0,2,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy-vc-authn-oidc,2025-02,0,1,4,2,1,1,0,0,0,0,9
openwallet-foundation/acapy-vc-authn-oidc,2025-03,0,8,2,2,0,2,0,0,0,0,14
openwallet-foundation/acapy-vc-authn-oidc,2025-05,0,2,2,1,0,0,0,0,0,0,5
openwallet-foundation/acapy-vc-authn-oidc,2025-06,0,3,0,1,0,0,0,0,0,0,4
openwallet-foundation/acapy-vc-authn-oidc,2025-07,10,2,1,4,1,1,0,0,0,0,19
openwallet-foundation/acapy-vc-authn-oidc,2025-08,31,4,2,5,3,6,2,0,0,0,53
openwallet-foundation/acapy-vc-authn-oidc,2025-09,16,1,1,1,1,0,1,0,0,0,21
openwallet-foundation/acapy-vc-authn-oidc,2025-10,6,0,0,2,0,2,0,0,0,0,10
openwallet-foundation/acapy-vc-authn-oidc,2025-11,1,3,1,0,2,0,0,0,0,0,7
openwallet-foundation/acapy-vc-authn-oidc,2025-12,0,0,1,1,2,0,0,0,0,0,4
openwallet-foundation/acapy-vc-authn-oidc,2026-01,1,2,1,0,0,0,0,0,0,0,4
openwallet-foundation/acapy-vc-authn-oidc,2026-03,0,0,2,1,1,1,0,0,0,0,5
openwallet-foundation/acapy-vc-authn-oidc,2026-04,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/acapy-vc-authn-oidc,2026-05,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-endorser-service,2023-08,0,0,1,0,0,0,0,1,0,0,2
hyperledger/aries-endorser-service,2023-09,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-endorser-service,2023-10,0,2,1,3,2,2,0,0,0,0,10
hyperledger/aries-endorser-service,2023-12,1,0,1,0,0,0,1,0,0,0,3
hyperledger/aries-endorser-service,2024-01,1,0,0,1,0,1,0,0,0,0,3
hyperledger/aries-endorser-service,2024-02,4,2,7,2,3,0,3,0,0,0,21
hyperledger/aries-endorser-service,2024-04,4,2,1,2,0,2,1,0,0,0,12
hyperledger/aries-endorser-service,2024-06,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-endorser-service,2024-07,1,0,1,2,0,0,0,0,0,0,4
hyperledger/aries-endorser-service,2024-09,14,5,7,3,3,2,2,0,1,0,37
hyperledger/aries-endorser-service,2024-10,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2023-08,0,1,3,3,0,3,0,1,0,0,11
hyperledger/aries-cloudagent-python,2023-09,0,2,1,0,0,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2023-10,0,3,1,0,0,0,0,0,0,0,4
hyperledger/aries-cloudagent-python,2023-11,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2024-06,0,8,0,0,1,0,0,0,0,0,9
hyperledger/aries-cloudagent-python,2024-07,0,1,0,1,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2024-09,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/helm-charts,2025-09,0,0,0,0,0,0,0,1,0,0,1
openwallet-foundation/helm-charts,2025-10,0,1,1,0,0,0,0,0,0,0,2
openwallet-foundation/helm-charts,2025-11,0,1,0,0,1,0,0,0,0,0,2
openwallet-foundation/helm-charts,2026-01,0,0,0,0,1,0,0,0,0,0,1
openwallet-foundation/helm-charts,2026-02,0,1,1,0,0,0,0,0,0,0,2
openwallet-foundation/helm-charts,2026-04,0,0,0,1,0,0,0,0,0,0,1
hyperledger/anoncreds-rs,2025-03,0,1,1,0,2,0,0,1,0,0,5
hyperledger/anoncreds-rs,2025-05,0,0,0,1,0,1,0,0,0,0,2
openwallet-foundation/acapy-endorser-service,2025-03,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-endorser-service,2025-06,0,0,0,0,1,0,0,0,0,0,1
openwallet-foundation/acapy-endorser-service,2025-07,0,0,0,0,1,0,0,0,0,0,1
openwallet-foundation/acapy-endorser-service,2025-08,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-endorser-service,2025-09,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/acapy-endorser-service,2025-12,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-05,0,0,0,0,1,0,0,0,0,0,1
openwallet-foundation/acapy-plugins,2025-06,0,0,0,0,1,0,0,0,0,0,1
openwallet-foundation/vcx,2025-03,0,0,0,0,0,0,0,0,0,1,1
