repo,month,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,PushEvent,CreateEvent,DeleteEvent,ForkEvent,total
hyperledger-labs/business-partner-agent,2021-02,0,0,0,0,0,0,0,0,1,1
hyperledger-labs/business-partner-agent,2021-04,3,8,2,8,3,2,3,2,0,31
hyperledger-labs/business-partner-agent,2021-05,31,4,30,4,0,2,0,0,0,71
hyperledger-labs/business-partner-agent,2021-06,5,2,4,1,2,0,0,0,0,14
hyperledger-labs/business-partner-agent,2021-07,3,3,3,4,4,2,0,0,0,19
hyperledger-labs/business-partner-agent,2021-08,3,2,2,5,2,3,0,0,0,17
hyperledger-labs/business-partner-agent,2021-09,1,4,0,8,2,4,0,0,0,19
hyperledger-labs/business-partner-agent,2021-10,0,2,0,0,0,1,0,0,0,3
hyperledger-labs/business-partner-agent,2021-11,0,0,0,2,0,0,2,0,0,4
hyperledger-labs/business-partner-agent,2021-12,0,1,0,3,0,1,0,0,0,5
hyperledger/aries-cloudagent-python,2022-06,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-cloudagent-python,2023-03,0,4,0,3,0,0,0,0,1,8
hyperledger/aries-cloudagent-python,2023-05,3,3,0,0,0,0,0,0,0,6
hyperledger/aries-cloudagent-python,2023-06,0,7,0,0,0,0,0,0,0,7
hyperledger/aries-cloudagent-python,2023-07,0,4,0,1,1,0,0,0,0,6
hyperledger/aries-cloudagent-python,2023-08,10,3,6,0,0,0,0,0,0,19
hyperledger/aries-cloudagent-python,2023-09,7,3,8,2,1,0,0,0,0,21
hyperledger/aries-cloudagent-python,2023-12,0,1,0,1,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2024-01,3,6,1,3,1,0,0,0,0,14
hyperledger/aries-mediator-service,2023-05,11,0,10,1,0,0,0,0,1,23
hyperledger/aries-mediator-service,2023-09,0,4,0,0,0,0,0,0,0,4
hyperledger/aries-mediator-service,2023-12,0,1,0,1,0,0,0,0,0,2
hyperledger/aries-mediator-service,2024-01,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-agent-test-harness,2023-05,5,3,5,1,1,0,0,0,1,16
hyperledger/aries-agent-test-harness,2023-06,0,1,0,0,1,0,0,0,0,2
hyperledger-labs/business-partner-agent-chart,2021-07,0,0,0,0,0,0,1,1,0,2
hyperledger-labs/business-partner-agent-chart,2021-08,0,0,0,0,0,0,1,1,0,2
hyperledger/aries-acapy-plugins,2023-12,0,3,0,1,0,0,0,0,0,4
openwallet-foundation-labs/PyDentity-Wallet,2025-12,0,0,0,0,1,0,0,0,0,1
openwallet-foundation-labs/PyDentity-Wallet,2026-01,1,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/PyDentity-Wallet,2026-02,0,0,0,0,0,1,0,0,0,1
openwallet-foundation/acapy,2025-11,0,1,0,1,0,0,0,0,0,2
openwallet-foundation/acapy-plugins,2025-03,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-plugins,2025-04,0,1,0,0,0,0,0,0,0,1
