repo,month,PullRequestReviewEvent,PullRequestEvent,IssueCommentEvent,PullRequestReviewCommentEvent,ForkEvent,PushEvent,total
openwallet-foundation/owl-akrida,2024-10,3,0,2,4,0,0,9
openwallet-foundation/owl-akrida,2024-11,4,1,0,0,0,1,6
openwallet-foundation/owl-akrida,2025-03,0,1,0,0,0,0,1
openwallet-foundation/owl-akrida,2025-06,0,2,0,0,0,0,2
openwallet-foundation/owl-akrida,2025-09,0,1,0,0,0,0,1
openwallet-foundation/project-proposals,2024-09,2,0,0,1,0,0,3
hyperledger/indy-plenum,2024-09,0,0,1,0,0,0,1
hyperledger/indy-plenum,2025-09,0,1,0,0,0,0,1
LF-Decentralized-Trust/governance,2026-01,0,0,0,0,1,0,1
hyperledger-indy/indy-bls-wrapper-python,2026-01,1,0,0,0,0,0,1
hyperledger-indy/indy-did-networks,2026-01,1,0,0,0,0,0,1
hyperledger-indy/indy-node,2026-01,1,0,0,0,0,0,1
hyperledger-indy/indy-node-monitor,2026-01,1,0,0,0,0,0,1
hyperledger-indy/indy-plenum,2026-01,1,0,0,0,0,0,1
hyperledger-indy/indy-shared-gha,2026-01,1,0,0,0,0,0,1
hyperledger-indy/indy-test-automation,2026-01,1,0,0,0,0,0,1
hyperledger-indy/indy-vdr,2026-01,1,0,0,0,0,0,1
hyperledger/aries-rfcs,2024-10,0,0,1,0,0,0,1
hyperledger/indy-node,2025-09,0,1,0,0,0,0,1
openwallet-foundation/credo-ts,2025-02,0,0,1,0,0,0,1
openwallet-foundation/didcomm-mediator-service,2025-02,0,0,1,0,0,0,1
openwallet-foundation/didcomm-mediator-socketdock,2025-04,0,1,0,0,0,0,1
