repo,month,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssueCommentEvent,ForkEvent,PushEvent,total
openwallet-foundation/bifold-wallet,2025-01,5,0,0,1,1,0,7
openwallet-foundation/bifold-wallet,2025-02,0,1,1,1,0,0,3
openwallet-foundation/bifold-wallet,2025-03,4,2,2,3,0,0,11
openwallet-foundation/bifold-wallet,2025-04,0,3,3,0,0,0,6
openwallet-foundation/bifold-wallet,2025-05,1,1,1,1,0,0,4
openwallet-foundation/bifold-wallet,2025-06,1,0,0,2,0,0,3
openwallet-foundation/bifold-wallet,2025-08,1,0,0,1,0,0,2
openwallet-foundation/bifold-wallet,2025-09,0,2,1,0,0,0,3
openwallet-foundation/bifold-wallet,2025-10,3,5,4,1,0,0,13
openwallet-foundation/bifold-wallet,2025-11,0,2,1,1,0,0,4
openwallet-foundation/bifold-wallet,2025-12,4,0,0,0,0,0,4
openwallet-foundation/bifold-wallet,2026-01,2,2,1,0,0,1,6
openwallet-foundation/bifold-wallet,2026-02,1,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2026-03,1,1,0,0,0,0,2
openwallet-foundation/bifold-wallet,2026-04,0,1,0,0,0,0,1
openwallet-foundation/bifold-wallet,2026-05,0,0,1,0,0,0,1
