repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,PushEvent,IssuesEvent,DeleteEvent,ForkEvent,total
openwallet-foundation/bifold-wallet,2024-03,1,1,1,3,0,0,0,0,6
openwallet-foundation/bifold-wallet,2024-06,2,1,3,1,1,0,0,0,8
openwallet-foundation/bifold-wallet,2024-07,3,3,3,2,0,0,0,0,11
openwallet-foundation/bifold-wallet,2024-08,7,7,3,1,1,0,0,0,19
openwallet-foundation/bifold-wallet,2024-09,10,2,6,3,5,0,0,0,26
openwallet-foundation/bifold-wallet,2024-10,15,6,4,2,2,1,0,0,30
openwallet-foundation/bifold-wallet,2024-11,17,12,5,3,1,0,0,0,38
openwallet-foundation/bifold-wallet,2024-12,9,4,4,2,2,0,0,0,21
openwallet-foundation/bifold-wallet,2025-01,7,7,1,0,0,0,0,0,15
openwallet-foundation/bifold-wallet,2025-02,5,5,4,2,1,0,0,0,17
openwallet-foundation/bifold-wallet,2025-03,13,7,6,3,3,0,0,0,32
openwallet-foundation/bifold-wallet,2025-04,2,1,2,1,0,0,0,0,6
openwallet-foundation/bifold-wallet,2025-05,5,3,2,0,1,0,0,0,11
openwallet-foundation/bifold-wallet,2025-06,4,1,1,1,1,0,0,0,8
openwallet-foundation/bifold-wallet,2025-07,0,0,1,0,1,0,0,0,2
openwallet-foundation/bifold-wallet,2025-08,0,0,1,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2025-09,0,0,1,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2025-10,3,0,1,0,5,0,1,0,10
openwallet-foundation/bifold-wallet,2025-11,4,0,1,1,3,3,0,0,12
openwallet-foundation/bifold-wallet,2025-12,2,0,1,1,2,0,0,0,6
openwallet-foundation/bifold-wallet,2026-01,2,1,2,2,2,0,0,0,9
openwallet-foundation/bifold-wallet,2026-02,2,0,0,3,1,0,0,0,6
openwallet-foundation/bifold-wallet,2026-03,1,0,2,0,1,0,0,0,4
openwallet-foundation/bifold-wallet,2026-04,2,1,0,1,1,0,0,0,5
openwallet-foundation/credo-ts,2024-07,0,0,0,4,0,1,0,0,5
openwallet-foundation/credo-ts,2024-09,0,0,0,1,0,1,0,0,2
openwallet-foundation/credo-ts,2024-10,0,0,0,3,0,2,0,0,5
openwallet-foundation/credo-ts,2025-03,0,0,0,2,0,1,0,1,4
openwallet-foundation/credo-ts,2025-04,0,0,0,1,0,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2024-01,0,0,1,2,0,0,0,0,3
hyperledger/aries-mobile-agent-react-native,2024-02,3,1,1,2,0,0,0,0,7
