repo,month,IssueCommentEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,PushEvent,ForkEvent,total
hyperledger/aries-cloudagent-python,2022-12,2,0,0,0,1,0,0,3
hyperledger/aries-cloudagent-python,2023-02,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2023-08,2,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2023-12,14,0,0,2,3,0,0,19
hyperledger/aries-cloudagent-python,2024-01,27,6,8,3,5,0,0,49
hyperledger/aries-cloudagent-python,2024-02,8,0,0,4,3,0,0,15
hyperledger/aries-cloudagent-python,2024-04,4,0,0,1,1,0,0,6
hyperledger/aries-cloudagent-python,2024-05,3,0,0,4,0,0,0,7
hyperledger/aries-cloudagent-python,2024-06,18,2,2,4,3,0,0,29
hyperledger/aries-cloudagent-python,2024-07,1,2,8,0,0,0,0,11
hyperledger/aries-cloudagent-python,2024-08,14,5,6,2,1,0,0,28
hyperledger/aries-cloudagent-python,2024-09,36,22,22,4,1,0,0,85
hyperledger/aries-cloudagent-python,2024-10,7,1,1,2,0,1,0,12
openwallet-foundation/acapy,2024-10,1,3,2,0,0,0,0,6
openwallet-foundation/acapy,2024-11,3,2,1,1,0,0,0,7
openwallet-foundation/acapy,2024-12,4,8,1,0,0,0,0,13
openwallet-foundation/acapy,2025-01,1,6,6,2,0,0,0,15
openwallet-foundation/acapy,2025-02,3,1,0,1,0,0,0,5
openwallet-foundation/acapy,2025-03,3,4,4,3,0,0,0,14
openwallet-foundation/acapy,2025-04,7,9,6,0,0,0,0,22
openwallet-foundation/acapy,2025-06,1,0,0,1,0,0,0,2
openwallet-foundation/acapy,2025-07,4,0,0,1,0,0,0,5
openwallet-foundation/acapy,2025-08,0,0,0,1,0,0,0,1
openwallet-foundation/acapy,2025-09,1,0,0,0,1,0,0,2
openwallet-foundation/acapy,2025-10,2,3,0,1,1,0,0,7
openwallet-foundation/acapy,2025-11,2,3,2,1,0,0,0,8
openwallet-foundation/acapy,2025-12,3,1,1,0,3,0,0,8
openwallet-foundation/acapy,2026-01,1,2,0,4,0,0,0,7
openwallet-foundation/acapy,2026-02,5,2,0,4,0,1,0,12
openwallet-foundation/acapy,2026-03,3,0,0,0,0,3,0,6
openwallet-foundation-labs/PyDentity-Wallet,2025-03,3,5,5,2,6,1,0,22
openwallet-foundation-labs/PyDentity-Wallet,2025-04,3,2,2,1,2,1,0,11
openwallet-foundation-labs/PyDentity-Wallet,2025-05,0,0,0,1,0,0,0,1
openwallet-foundation-labs/PyDentity-Wallet,2025-07,3,2,2,3,3,1,0,14
