repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,IssueCommentEvent,PullRequestEvent,PushEvent,ForkEvent,total
openwallet-foundation/multipaz-samples,2025-10,0,0,1,1,0,0,0,2
openwallet-foundation/multipaz-samples,2025-11,7,2,2,0,1,1,0,13
openwallet-foundation/multipaz-samples,2025-12,9,6,0,1,0,0,0,16
openwallet-foundation/multipaz-samples,2026-01,4,3,0,1,1,0,0,9
openwallet-foundation/multipaz-samples,2026-02,0,0,0,0,1,0,0,1
openwallet-foundation/multipaz-samples,2026-03,2,0,0,1,0,0,0,3
openwallet-foundation/multipaz-samples,2026-04,0,0,0,0,3,0,0,3
openwallet-foundation/multipaz-samples,2026-05,0,0,2,0,0,0,0,2
openwallet-foundation/multipaz,2025-10,0,0,1,0,0,0,0,1
openwallet-foundation/multipaz,2025-11,1,0,6,1,0,0,0,8
openwallet-foundation/multipaz,2025-12,0,0,1,0,0,0,0,1
openwallet-foundation/multipaz,2026-01,0,0,6,0,0,0,1,7
openwallet-foundation/multipaz,2026-02,1,2,5,0,1,0,0,9
openwallet-foundation/multipaz,2026-03,3,2,0,0,0,0,0,5
openwallet-foundation/multipaz,2026-04,0,2,0,0,1,0,0,3
openwallet-foundation/multipaz-developer-website,2025-10,1,0,0,0,0,0,0,1
openwallet-foundation/multipaz-developer-website,2025-11,0,2,0,0,0,0,0,2
openwallet-foundation/multipaz-developer-website,2025-12,0,0,0,1,1,0,0,2
openwallet-foundation/multipaz-developer-website,2026-01,8,3,0,3,1,1,0,16
openwallet-foundation/multipaz-developer-website,2026-02,2,5,0,0,0,0,0,7
openwallet-foundation/multipaz-developer-website,2026-03,1,0,0,1,0,0,0,2
openwallet-foundation/multipaz-extras,2026-02,1,0,0,0,0,0,0,1
