repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,DeleteEvent,CreateEvent,ReleaseEvent,WatchEvent,ForkEvent,GollumEvent,CommitCommentEvent,DiscussionEvent,MemberEvent,total
hyperledger/aries-framework-javascript,2019-12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/aries-framework-javascript,2020-05,0,0,4,2,0,1,0,0,0,0,1,0,0,0,0,8
hyperledger/aries-framework-javascript,2020-06,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,9
hyperledger/aries-framework-javascript,2020-07,0,12,4,8,2,11,1,0,0,0,0,0,0,0,0,38
hyperledger/aries-framework-javascript,2020-08,11,22,10,10,4,5,1,0,0,0,0,0,0,0,0,63
hyperledger/aries-framework-javascript,2020-09,6,13,1,2,0,2,0,0,0,0,0,0,0,0,0,24
hyperledger/aries-framework-javascript,2020-10,16,17,5,12,6,20,0,0,0,0,0,0,0,0,0,76
hyperledger/aries-framework-javascript,2020-11,8,10,4,6,2,2,0,0,0,0,0,0,0,0,0,32
hyperledger/aries-framework-javascript,2020-12,13,16,13,12,4,7,2,2,0,0,0,0,0,0,0,69
hyperledger/aries-framework-javascript,2021-01,8,5,14,17,9,2,0,0,0,0,0,0,0,0,0,55
hyperledger/aries-framework-javascript,2021-02,14,14,12,16,10,18,1,0,0,0,0,0,0,0,0,85
hyperledger/aries-framework-javascript,2021-03,20,18,18,19,7,14,1,0,0,0,0,0,0,0,0,97
hyperledger/aries-framework-javascript,2021-04,15,17,38,18,5,3,6,7,2,0,0,0,0,0,0,111
hyperledger/aries-framework-javascript,2021-05,58,51,49,38,25,18,3,6,2,0,0,0,0,0,0,250
hyperledger/aries-framework-javascript,2021-06,38,76,21,38,20,12,5,5,1,0,0,0,0,0,0,216
hyperledger/aries-framework-javascript,2021-07,86,73,50,41,23,50,3,0,0,0,0,0,0,0,0,326
hyperledger/aries-framework-javascript,2021-08,33,58,15,24,13,15,0,0,0,0,0,0,0,0,0,158
hyperledger/aries-framework-javascript,2021-09,32,19,20,17,9,12,2,0,0,0,0,0,0,0,0,111
hyperledger/aries-framework-javascript,2021-10,6,7,5,7,8,6,2,3,0,0,0,0,0,0,0,44
hyperledger/aries-framework-javascript,2021-11,22,15,41,31,19,17,1,0,0,0,0,0,0,0,0,146
hyperledger/aries-framework-javascript,2021-12,38,73,32,19,14,8,3,1,0,2,0,0,0,0,0,190
hyperledger/aries-framework-javascript,2022-01,35,57,17,20,11,3,1,1,0,0,0,0,1,0,0,146
hyperledger/aries-framework-javascript,2022-02,50,59,27,17,13,12,2,2,0,0,0,0,0,0,0,182
hyperledger/aries-framework-javascript,2022-03,40,69,32,20,15,8,1,0,0,0,0,0,0,0,0,185
hyperledger/aries-framework-javascript,2022-04,47,44,40,19,13,11,0,0,0,0,0,0,0,0,0,174
hyperledger/aries-framework-javascript,2022-05,139,190,52,58,57,22,4,2,0,0,0,0,3,0,0,527
hyperledger/aries-framework-javascript,2022-06,69,98,75,65,32,35,2,1,0,0,0,0,0,0,0,377
hyperledger/aries-framework-javascript,2022-07,49,77,51,48,27,12,1,0,0,0,0,0,0,0,0,265
hyperledger/aries-framework-javascript,2022-08,42,67,40,17,16,10,4,2,0,0,0,0,0,0,0,198
hyperledger/aries-framework-javascript,2022-09,31,65,21,14,10,13,1,1,0,0,0,0,0,0,0,156
hyperledger/aries-framework-javascript,2022-10,52,44,29,13,16,23,1,0,0,0,0,0,0,0,0,178
hyperledger/aries-framework-javascript,2022-11,31,68,30,5,7,23,0,0,0,0,0,0,0,0,0,164
hyperledger/aries-framework-javascript,2022-12,76,91,27,28,20,18,2,0,0,0,0,0,0,0,0,262
hyperledger/aries-framework-javascript,2023-01,87,132,50,29,24,32,4,2,0,0,0,0,0,0,0,360
hyperledger/aries-framework-javascript,2023-02,140,151,57,43,25,79,0,0,0,0,0,0,0,0,0,495
hyperledger/aries-framework-javascript,2023-03,102,127,41,39,25,24,0,0,0,0,0,0,0,0,0,358
hyperledger/aries-framework-javascript,2023-04,22,12,18,16,9,2,0,0,0,0,0,0,0,0,0,79
hyperledger/aries-framework-javascript,2023-05,65,76,17,25,13,2,1,1,0,0,0,0,0,0,0,200
