repo,month,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,DeleteEvent,IssuesEvent,WatchEvent,CreateEvent,ForkEvent,total
hyperledger/aries-acapy-controllers,2024-01,0,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-controllers,2024-05,5,3,3,2,2,0,1,0,0,0,16
hyperledger/aries-acapy-controllers,2024-07,9,7,0,15,21,6,0,0,1,0,59
hyperledger/aries-acapy-controllers,2024-10,7,15,0,4,10,3,2,0,0,0,41
hyperledger/aries-cloudagent-python,2024-01,0,5,0,1,0,0,0,0,0,0,6
hyperledger/aries-cloudagent-python,2024-02,0,6,0,2,0,0,0,0,0,0,8
hyperledger/aries-cloudagent-python,2024-03,17,3,11,0,0,0,0,0,0,0,31
hyperledger/aries-cloudagent-python,2024-04,3,2,3,3,2,0,0,0,0,0,13
hyperledger/aries-cloudagent-python,2024-05,0,2,0,0,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2024-07,3,5,3,1,0,0,1,0,0,0,13
hyperledger/aries-cloudagent-python,2024-08,4,0,0,0,0,0,0,0,0,0,4
hyperledger/aries-acapy-plugins,2024-01,13,1,11,1,0,0,1,0,0,0,27
hyperledger/aries-acapy-plugins,2024-02,2,1,1,2,0,0,0,0,0,0,6
hyperledger/aries-acapy-plugins,2024-03,12,0,5,2,1,0,0,0,0,0,20
hyperledger/aries-acapy-plugins,2024-05,2,1,0,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-plugins,2024-08,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts,2024-01,0,0,0,0,0,0,0,1,0,0,1
openwallet-foundation/credo-ts,2024-02,4,2,3,0,0,0,0,0,0,0,9
openwallet-foundation/credo-ts,2024-07,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-ext,2024-01,0,0,0,0,0,0,0,1,0,0,1
openwallet-foundation/credo-ts-ext,2024-06,0,1,0,1,0,0,1,0,0,0,3
openwallet-foundation/credo-ts-ext,2024-07,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-ext,2024-10,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2026-02,1,0,0,2,1,0,0,0,0,0,4
hyperledger/indy-shared-rs,2024-03,0,2,0,1,0,0,0,0,0,0,3
hyperledger-archives/aries-framework-dotnet,2024-03,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-framework-go,2024-03,0,0,0,0,0,0,0,1,0,0,1
openwallet-foundation-labs/dcql-ts,2025-07,0,0,0,0,0,0,0,1,0,0,1
openwallet-foundation/acapy-controllers,2025-03,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-docs,2024-06,0,0,0,0,0,0,0,0,0,1,1
