repo,month,IssueCommentEvent,PullRequestReviewEvent,PullRequestEvent,PushEvent,IssuesEvent,PullRequestReviewCommentEvent,CreateEvent,ForkEvent,total
hyperledger/aries-akrida,2024-01,0,0,2,0,0,0,0,1,3
hyperledger/aries-akrida,2024-03,4,4,1,1,0,2,0,0,12
hyperledger/aries-akrida,2024-05,3,0,0,0,0,0,0,0,3
hyperledger/aries-akrida,2024-07,1,0,0,0,0,0,0,0,1
hyperledger/aries-akrida,2024-08,4,2,4,1,2,0,0,0,13
openwallet-foundation/owl-akrida,2024-11,2,6,2,1,1,0,1,0,13
openwallet-foundation/owl-akrida,2024-12,1,0,0,0,0,0,0,0,1
openwallet-foundation/owl-akrida,2025-01,1,0,0,0,0,0,0,0,1
openwallet-foundation/owl-akrida,2025-02,1,0,0,0,0,0,0,0,1
openwallet-foundation/owl-akrida,2025-04,0,0,1,1,0,0,0,0,2
openwallet-foundation/owl-akrida,2025-06,1,0,0,0,0,0,0,0,1
