repo,month,IssueCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,CreateEvent,ForkEvent,MemberEvent,WatchEvent,CommitCommentEvent,total
trustoverip/tswg-trust-registry-protocol,2024-01,4,0,6,5,0,0,0,0,0,0,0,15
trustoverip/tswg-trust-registry-protocol,2024-02,0,0,8,0,0,0,0,0,0,0,0,8
trustoverip/tswg-trust-registry-protocol,2024-03,6,20,17,1,0,0,3,1,0,0,0,48
trustoverip/tswg-trust-registry-protocol,2024-04,4,3,1,1,1,0,0,0,0,0,0,10
trustoverip/tswg-trust-registry-protocol,2024-05,0,2,1,0,0,0,1,0,0,0,0,4
trustoverip/tswg-trust-registry-protocol,2024-06,2,1,0,0,0,0,0,0,0,0,0,3
trustoverip/tswg-trust-registry-protocol,2024-07,2,1,1,1,0,0,0,0,0,0,0,5
trustoverip/tswg-trust-registry-protocol,2024-08,1,0,0,1,1,1,0,0,0,0,0,4
trustoverip/tswg-trust-registry-protocol,2024-09,0,0,1,1,0,0,0,0,0,0,0,2
trustoverip/tswg-trust-registry-protocol,2024-10,0,1,0,0,0,0,0,0,0,0,0,1
trustoverip/tswg-trust-registry-protocol,2024-12,1,0,0,0,0,0,0,0,0,0,0,1
trustoverip/tswg-trust-registry-protocol,2025-02,3,1,1,3,0,0,0,0,0,0,0,8
trustoverip/tswg-trust-registry-protocol,2025-03,1,6,5,0,5,0,2,0,1,0,0,20
trustoverip/tswg-trust-registry-protocol,2025-04,1,4,5,1,6,0,0,0,0,0,0,17
trustoverip/tswg-trust-registry-protocol,2025-05,5,0,0,2,0,0,0,0,0,0,0,7
trustoverip/tswg-trust-registry-protocol,2025-06,4,3,0,0,1,1,0,0,0,0,0,9
trustoverip/tswg-trust-registry-protocol,2025-07,0,1,0,0,3,3,0,0,0,0,0,7
trustoverip/tswg-trust-registry-protocol,2025-09,17,1,1,5,1,1,0,0,0,0,1,27
trustoverip/tswg-trust-registry-protocol,2025-10,6,0,0,17,7,7,0,0,0,0,0,37
trustoverip/tswg-trust-registry-protocol,2025-11,2,0,1,2,0,0,0,0,0,0,0,5
trustoverip/tswg-trust-registry-protocol,2025-12,1,4,1,0,0,0,0,0,0,0,0,6
trustoverip/tswg-trust-registry-protocol,2026-01,6,0,0,3,1,0,0,0,1,0,0,11
trustoverip/tswg-trust-registry-protocol,2026-02,3,1,0,1,0,1,0,0,0,0,0,6
trustoverip/tswg-trust-registry-protocol,2026-03,0,0,1,6,0,0,0,0,0,0,0,7
trustoverip/tswg-trust-registry-protocol,2026-04,0,0,1,0,0,0,0,0,0,0,0,1
trustoverip/tswg-did-method-webs-specification,2024-01,2,2,0,1,12,12,0,0,0,0,0,29
trustoverip/tswg-did-method-webs-specification,2024-02,1,0,0,0,0,0,0,0,0,0,0,1
trustoverip/tswg-did-method-webs-specification,2024-03,2,0,0,0,0,0,0,0,0,0,0,2
trustoverip/tswg-did-method-webs-specification,2025-03,1,1,0,0,0,0,1,0,0,0,0,3
trustoverip/ctwg-main-glossary,2024-01,0,0,2,1,0,0,2,0,0,0,0,5
trustoverip/ctwg-main-glossary,2024-02,0,0,3,0,0,0,0,0,0,0,0,3
trustoverip/ctwg-main-glossary,2024-03,2,2,1,0,0,0,1,1,0,0,0,7
trustoverip/ctwg-main-glossary,2024-04,0,1,1,0,0,0,0,0,0,0,0,2
trustoverip/ctwg-main-glossary,2024-05,1,1,1,0,0,0,0,0,0,0,0,3
trustoverip/tswg-tech-architecture-spec,2024-05,0,8,5,0,0,0,4,1,0,0,0,18
trustoverip/tswg-tech-architecture-spec,2024-09,1,0,0,0,0,0,0,0,0,0,0,1
trustoverip/tswg-tsp-specification,2024-03,3,3,2,0,0,0,0,0,0,0,0,8
trustoverip/tswg-tsp-specification,2024-04,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/safe-wallet-sig,2024-06,0,4,2,0,0,0,1,1,0,0,0,8
trustoverip/specification-template,2024-01,0,2,2,0,3,1,0,0,0,0,0,8
trustoverip/tswg-cesr-specification,2024-04,2,0,0,0,0,0,0,0,0,0,0,2
trustoverip/tswg-cesr-specification,2024-07,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/project-proposals,2024-09,2,0,0,0,0,0,0,0,0,0,0,2
trustoverip/dtgwg-cred-tf,2025-11,0,0,0,0,0,0,0,0,0,1,0,1
trustoverip/dtgwg-cred-tf,2025-12,0,0,0,0,0,0,0,1,0,0,0,1
trustoverip/tswg-trust-registry-tf,2024-12,0,1,1,0,0,0,0,0,0,0,0,2
trustoverip/tswg-acdc-specification,2024-04,1,0,0,0,0,0,0,0,0,0,0,1
trustoverip/tswg-keri-specification,2024-04,1,0,0,0,0,0,0,0,0,0,0,1
trustoverip/tswg-trust-registry-query-language,2025-05,0,0,0,0,0,0,0,0,0,1,0,1
