repo,month,PushEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssueCommentEvent,IssuesEvent,ReleaseEvent,ForkEvent,MemberEvent,CommitCommentEvent,total
openwallet-foundation-labs/identity-credential,2024-01,20,25,22,8,2,4,0,1,0,0,0,0,82
openwallet-foundation-labs/identity-credential,2024-02,60,31,32,31,11,14,8,5,0,0,0,0,192
openwallet-foundation-labs/identity-credential,2024-03,53,25,57,42,17,22,17,20,0,0,0,0,253
openwallet-foundation-labs/identity-credential,2024-04,23,33,26,16,5,8,3,2,0,0,0,0,116
openwallet-foundation-labs/identity-credential,2024-05,28,10,20,19,6,10,3,7,0,0,0,0,103
openwallet-foundation-labs/identity-credential,2024-06,47,63,48,34,18,17,10,7,0,0,0,0,244
openwallet-foundation-labs/identity-credential,2024-07,21,16,14,25,9,9,22,3,0,0,0,0,119
openwallet-foundation-labs/identity-credential,2024-08,69,23,28,39,15,19,8,3,1,0,0,0,205
openwallet-foundation-labs/identity-credential,2024-09,38,23,14,15,9,6,3,2,0,0,0,0,110
openwallet-foundation-labs/identity-credential,2024-10,33,19,22,19,9,11,5,3,0,0,0,0,121
openwallet-foundation-labs/identity-credential,2024-11,25,7,16,7,4,1,1,0,1,0,0,0,62
openwallet-foundation-labs/identity-credential,2024-12,44,32,29,6,2,1,3,3,0,0,0,0,120
openwallet-foundation-labs/identity-credential,2025-01,26,130,92,8,4,1,2,0,0,0,0,0,263
openwallet-foundation-labs/identity-credential,2025-02,72,55,53,28,16,14,6,0,0,0,0,0,244
openwallet-foundation-labs/identity-credential,2025-03,57,67,58,38,15,14,22,6,0,0,0,0,277
openwallet-foundation-labs/identity-credential,2025-04,43,33,39,26,8,8,6,3,0,0,0,0,166
openwallet-foundation-labs/identity-credential,2025-05,39,24,27,25,12,10,2,3,0,0,0,0,142
openwallet-foundation-labs/identity-credential,2025-06,71,20,20,30,11,12,8,4,2,0,0,0,178
openwallet-foundation-labs/identity-credential,2025-07,27,14,10,26,14,10,6,1,0,0,0,0,108
openwallet-foundation-labs/identity-credential,2025-08,45,12,9,13,4,6,6,5,1,0,0,0,101
openwallet-foundation/multipaz,2025-09,28,20,10,14,9,9,11,3,1,1,0,0,106
openwallet-foundation/multipaz,2025-10,20,14,12,4,7,4,2,6,0,0,0,1,70
openwallet-foundation/multipaz,2025-11,29,8,7,5,9,6,2,13,1,0,0,0,80
openwallet-foundation/multipaz,2025-12,47,11,13,11,8,6,4,7,1,0,0,0,108
openwallet-foundation/multipaz,2026-01,35,11,13,3,3,1,7,13,0,0,0,0,86
openwallet-foundation/multipaz,2026-02,35,6,7,8,7,3,2,1,1,0,0,0,70
openwallet-foundation/multipaz,2026-03,42,4,3,7,12,6,0,2,0,0,0,0,76
openwallet-foundation/multipaz,2026-04,14,1,6,5,3,2,1,2,0,0,0,0,34
openwallet-foundation/multipaz,2026-05,22,0,0,2,2,0,0,1,0,0,0,0,27
openwallet-foundation/multipaz-extras,2025-10,0,18,1,0,0,0,0,0,0,0,0,0,19
openwallet-foundation/multipaz-extras,2025-11,5,0,0,1,2,3,0,0,1,0,0,0,12
openwallet-foundation/multipaz-extras,2025-12,0,0,2,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/multipaz-extras,2026-01,1,0,0,1,0,1,0,0,0,0,0,0,3
openwallet-foundation/multipaz-extras,2026-02,1,0,1,0,0,0,0,0,0,0,0,0,2
