repo,month,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,IssuesEvent,DeleteEvent,CreateEvent,ReleaseEvent,ForkEvent,WatchEvent,CommitCommentEvent,total
hyperledger/aries-cloudagent-python,2019-07,1,0,0,0,0,1,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2019-08,3,4,0,0,0,2,0,0,0,1,0,0,10
hyperledger/aries-cloudagent-python,2019-09,2,1,0,0,0,0,0,0,0,0,1,0,4
hyperledger/aries-cloudagent-python,2019-10,1,6,0,0,0,1,0,0,0,0,0,0,8
hyperledger/aries-cloudagent-python,2019-11,1,2,0,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2020-01,1,6,0,0,1,1,0,0,0,0,0,0,9
hyperledger/aries-cloudagent-python,2020-02,3,2,0,0,0,0,0,0,0,0,0,0,5
hyperledger/aries-cloudagent-python,2020-03,1,2,0,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2020-10,0,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-cloudagent-python,2020-12,3,12,3,0,3,0,0,0,0,0,0,0,21
hyperledger/aries-cloudagent-python,2021-01,8,7,1,0,0,1,0,0,0,0,0,0,17
hyperledger/aries-cloudagent-python,2021-02,5,0,0,0,0,1,0,0,0,0,0,0,6
hyperledger/aries-cloudagent-python,2021-03,4,1,0,0,0,1,0,0,0,0,0,0,6
hyperledger/aries-cloudagent-python,2021-04,23,10,9,0,7,4,0,0,0,0,0,0,53
hyperledger/aries-cloudagent-python,2021-05,8,8,8,0,3,0,0,0,0,0,0,0,27
hyperledger/aries-cloudagent-python,2021-06,9,8,3,1,1,3,0,0,0,0,0,0,25
hyperledger/aries-cloudagent-python,2021-07,3,3,1,0,1,1,0,0,0,0,0,0,9
hyperledger/aries-cloudagent-python,2021-08,8,6,1,0,0,0,0,0,0,0,0,0,15
hyperledger/aries-cloudagent-python,2021-09,3,4,7,0,0,1,0,0,0,0,0,3,18
hyperledger/aries-cloudagent-python,2021-10,4,1,0,0,0,1,0,0,0,0,0,0,6
hyperledger/aries-cloudagent-python,2021-11,10,4,2,0,2,1,0,0,0,0,0,0,19
hyperledger/aries-cloudagent-python,2021-12,10,3,8,1,1,1,0,0,0,0,0,0,24
hyperledger/aries-cloudagent-python,2022-01,0,0,1,0,0,1,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2022-02,0,1,6,0,8,0,0,0,0,0,0,0,15
hyperledger/aries-cloudagent-python,2022-03,7,2,3,0,0,0,0,0,0,0,0,0,12
hyperledger/aries-cloudagent-python,2022-04,3,2,0,0,0,0,0,0,0,0,0,0,5
hyperledger/aries-cloudagent-python,2022-05,3,1,6,0,2,0,0,0,0,0,0,0,12
hyperledger/aries-cloudagent-python,2022-06,1,2,1,0,1,0,0,0,0,0,0,0,5
hyperledger/aries-cloudagent-python,2022-07,13,4,6,0,6,0,0,0,0,0,0,0,29
hyperledger/aries-cloudagent-python,2022-08,20,8,9,1,3,1,0,0,0,0,0,0,42
hyperledger/aries-cloudagent-python,2022-09,14,0,4,0,1,3,0,0,0,0,0,0,22
hyperledger/aries-cloudagent-python,2022-10,4,1,4,0,2,0,0,0,0,0,0,0,11
hyperledger/aries-cloudagent-python,2022-11,6,0,2,0,0,5,0,0,0,0,0,0,13
hyperledger/aries-cloudagent-python,2022-12,8,4,7,1,4,1,0,0,0,0,0,0,25
hyperledger/aries-cloudagent-python,2023-01,6,4,1,2,0,0,0,0,0,0,0,0,13
hyperledger/aries-cloudagent-python,2023-02,2,3,12,4,3,0,0,0,0,0,0,0,24
hyperledger/aries-cloudagent-python,2023-03,6,2,12,1,9,1,0,0,0,0,0,0,31
hyperledger/aries-cloudagent-python,2023-04,0,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2023-05,11,4,7,2,2,1,0,0,0,0,0,0,27
hyperledger/aries-cloudagent-python,2023-06,18,4,21,2,5,0,0,0,0,0,0,0,50
hyperledger/aries-cloudagent-python,2023-07,57,22,49,12,12,34,1,0,0,0,0,0,187
hyperledger/aries-cloudagent-python,2023-08,83,23,27,8,14,13,1,0,0,0,0,0,169
hyperledger/aries-cloudagent-python,2023-09,50,19,25,9,14,9,0,1,0,0,0,0,127
hyperledger/aries-cloudagent-python,2023-10,40,18,20,6,7,4,0,1,0,0,0,0,96
hyperledger/aries-cloudagent-python,2023-11,28,18,29,9,4,8,2,0,0,0,0,0,98
hyperledger/aries-cloudagent-python,2023-12,11,7,14,6,4,7,0,0,0,0,0,0,49
hyperledger/aries-cloudagent-python,2024-01,32,13,32,7,18,5,0,0,0,0,0,0,107
hyperledger/aries-cloudagent-python,2024-02,7,1,12,2,4,2,0,0,0,0,0,0,28
hyperledger/aries-cloudagent-python,2024-03,26,10,12,4,9,7,0,0,0,0,0,0,68
hyperledger/aries-cloudagent-python,2024-04,34,19,24,13,4,9,3,0,0,0,0,0,106
hyperledger/aries-cloudagent-python,2024-05,23,9,16,6,10,4,0,0,0,0,0,0,68
hyperledger/aries-cloudagent-python,2024-06,5,9,13,6,0,0,0,0,0,0,0,0,33
hyperledger/aries-cloudagent-python,2024-07,21,4,13,2,2,7,0,0,0,0,0,0,49
hyperledger/aries-cloudagent-python,2024-08,6,1,7,0,3,0,0,0,0,0,0,0,17
hyperledger/aries-cloudagent-python,2024-09,13,7,17,3,34,2,0,0,0,0,0,0,76
hyperledger/aries-cloudagent-python,2024-10,2,0,3,0,2,2,0,0,0,0,0,0,9
hyperledger/aries-toolbox,2019-11,0,2,0,1,0,0,0,0,0,1,0,0,4
hyperledger/aries-toolbox,2019-12,0,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/aries-toolbox,2020-01,0,8,0,4,1,0,0,0,0,0,0,0,13
hyperledger/aries-toolbox,2020-02,9,19,0,7,4,0,2,0,0,0,0,0,41
hyperledger/aries-toolbox,2020-03,3,7,0,3,0,1,0,0,0,0,0,0,14
hyperledger/aries-toolbox,2020-09,2,7,7,5,3,2,3,0,0,0,0,0,29
hyperledger/aries-toolbox,2020-10,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-toolbox,2020-12,1,3,1,2,1,0,0,0,0,0,0,0,8
hyperledger/aries-toolbox,2021-01,0,3,0,1,0,0,0,0,0,0,0,0,4
hyperledger/aries-toolbox,2021-02,0,2,2,1,1,1,1,1,0,0,0,0,9
hyperledger/aries-toolbox,2021-03,0,10,0,4,0,1,0,0,0,0,0,0,15
hyperledger/aries-toolbox,2021-04,1,2,0,1,0,0,0,0,0,0,0,0,4
hyperledger/aries-toolbox,2021-05,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-toolbox,2021-06,9,22,16,19,0,8,16,0,0,0,0,0,90
hyperledger/aries-toolbox,2021-07,5,6,4,5,0,1,0,0,0,0,0,0,21
hyperledger/aries-toolbox,2021-08,3,1,1,1,0,0,0,0,0,0,0,0,6
hyperledger/aries-toolbox,2021-09,0,2,6,2,20,0,2,0,0,0,0,0,32
hyperledger/aries-toolbox,2021-10,3,2,0,0,0,0,1,0,0,0,0,0,6
hyperledger/aries-toolbox,2021-12,0,4,4,5,0,0,0,0,0,0,0,0,13
hyperledger/aries-toolbox,2022-01,9,19,12,14,3,2,2,0,0,0,0,0,61
hyperledger/aries-toolbox,2022-02,0,0,9,1,15,0,0,0,0,0,0,0,25
hyperledger/aries-toolbox,2022-03,1,3,5,6,3,0,0,0,0,0,0,0,18
