repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssueCommentEvent,IssuesEvent,PullRequestEvent,PushEvent,CreateEvent,CommitCommentEvent,WatchEvent,DeleteEvent,ForkEvent,total
openwallet-foundation/multipaz-developer-website,2025-09,15,7,4,0,2,2,2,0,0,1,0,33
openwallet-foundation/multipaz-developer-website,2025-10,5,6,0,0,0,0,0,0,0,0,0,11
openwallet-foundation/multipaz-developer-website,2026-03,2,0,0,0,3,2,1,0,0,0,0,8
openwallet-foundation/multipaz-samples,2025-09,0,3,5,5,1,3,1,0,1,0,0,19
openwallet-foundation/multipaz-samples,2025-10,0,6,5,1,0,0,0,0,0,0,0,12
openwallet-foundation-labs/identity-credential,2025-01,0,0,0,0,0,0,0,0,1,0,0,1
openwallet-foundation-labs/identity-credential,2025-04,0,0,0,1,3,0,0,0,0,0,1,5
openwallet-foundation-labs/identity-credential,2025-06,0,0,0,0,0,0,0,2,0,0,0,2
openwallet-foundation-labs/identity-credential,2025-07,0,0,2,2,1,0,0,0,0,0,0,5
openwallet-foundation-labs/identity-credential,2025-08,1,1,1,7,1,0,0,0,0,0,0,11
openwallet-foundation/multipaz,2025-09,0,0,5,4,0,0,0,0,0,0,0,9
openwallet-foundation/multipaz,2026-02,2,2,1,1,2,0,0,0,0,0,0,8
openwallet-foundation/multipaz,2026-03,0,0,0,1,1,0,0,0,0,0,0,2
