repo,month,PullRequestReviewEvent,PushEvent,PullRequestEvent,IssueCommentEvent,PullRequestReviewCommentEvent,IssuesEvent,DeleteEvent,CreateEvent,ForkEvent,ReleaseEvent,total
openwallet-foundation/acapy-vc-authn-oidc,2025-01,3,2,3,6,1,1,16,0,0,0,32
openwallet-foundation/acapy-vc-authn-oidc,2025-02,19,6,8,4,8,5,0,0,0,0,50
openwallet-foundation/acapy-vc-authn-oidc,2025-03,12,13,11,3,5,2,3,2,0,1,52
openwallet-foundation/acapy-vc-authn-oidc,2025-04,4,2,2,0,1,0,2,0,0,0,11
openwallet-foundation/acapy-vc-authn-oidc,2025-05,2,1,1,3,2,3,0,0,0,0,12
openwallet-foundation/acapy-vc-authn-oidc,2025-06,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-vc-authn-oidc,2025-07,7,2,2,1,5,1,2,0,0,0,20
openwallet-foundation/acapy-vc-authn-oidc,2025-08,12,4,7,2,3,0,1,2,0,1,32
openwallet-foundation/acapy-vc-authn-oidc,2025-09,7,1,1,1,3,0,0,0,0,0,13
openwallet-foundation/acapy-vc-authn-oidc,2025-10,1,1,1,2,0,1,1,0,0,0,7
openwallet-foundation/acapy-vc-authn-oidc,2025-11,4,8,5,2,0,3,3,2,0,0,27
openwallet-foundation/acapy-vc-authn-oidc,2025-12,2,4,3,2,2,2,2,2,0,0,19
openwallet-foundation/acapy-vc-authn-oidc,2026-01,0,7,0,0,1,4,0,0,0,0,12
openwallet-foundation/acapy-vc-authn-oidc,2026-02,9,3,0,0,2,1,1,0,0,0,16
openwallet-foundation/acapy-vc-authn-oidc,2026-03,4,4,2,1,2,3,1,0,0,0,17
openwallet-foundation/acapy-vc-authn-oidc,2026-04,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-vc-authn-oidc,2026-05,0,1,1,0,0,0,0,0,0,0,2
openwallet-foundation/acapy,2024-10,3,0,0,1,0,0,0,0,0,0,4
openwallet-foundation/acapy,2024-11,0,0,1,1,0,0,0,0,0,0,2
openwallet-foundation/acapy,2024-12,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-01,3,0,1,0,2,1,0,0,0,0,7
openwallet-foundation/acapy,2025-02,1,0,0,1,0,0,0,0,0,0,2
openwallet-foundation/acapy,2025-03,13,0,0,4,0,0,0,0,0,0,17
openwallet-foundation/acapy,2025-04,5,3,5,4,0,1,0,0,0,0,18
openwallet-foundation/acapy,2025-05,2,0,0,3,1,0,0,0,0,0,6
openwallet-foundation/acapy,2025-06,2,0,0,5,3,0,0,0,0,0,10
openwallet-foundation/acapy,2025-07,4,1,1,2,1,0,0,0,0,0,9
openwallet-foundation/acapy,2025-09,1,0,0,1,0,0,0,0,0,0,2
