repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PushEvent,PullRequestEvent,IssuesEvent,CreateEvent,DeleteEvent,ForkEvent,WatchEvent,total
hyperledger/aries-vcx,2022-12,33,20,6,8,3,0,2,1,1,1,75
hyperledger/aries-vcx,2023-01,11,3,3,6,1,0,1,0,0,0,25
hyperledger/aries-vcx,2023-02,13,12,12,4,1,1,0,0,0,0,43
hyperledger/aries-vcx,2023-03,2,1,3,5,2,0,2,0,0,0,15
hyperledger/aries-vcx,2023-04,15,10,6,3,0,2,1,0,0,0,37
hyperledger/aries-vcx,2023-05,18,15,9,13,1,1,1,0,0,0,58
hyperledger/aries-vcx,2023-06,5,2,5,0,0,2,0,0,0,0,14
hyperledger/aries-vcx,2023-07,5,3,3,4,1,1,1,1,0,0,19
hyperledger/aries-vcx,2023-08,25,14,4,3,4,1,2,1,0,0,54
hyperledger/aries-vcx,2023-09,44,27,4,7,6,0,1,0,0,0,89
hyperledger/aries-vcx,2023-10,29,16,1,2,3,0,0,0,0,0,51
hyperledger/aries-vcx,2023-11,11,2,0,6,4,0,0,2,0,0,25
hyperledger/aries-vcx,2023-12,3,1,0,2,2,4,0,0,0,0,12
hyperledger/aries-vcx,2024-01,0,0,2,0,0,0,0,0,0,0,2
hyperledger/aries-vcx,2024-03,8,2,0,3,3,0,1,1,0,0,18
hyperledger/aries-vcx,2024-05,1,0,0,1,2,0,1,0,0,0,5
hyperledger/aries-vcx,2024-06,5,3,15,6,7,8,0,1,0,0,45
hyperledger/aries-vcx,2024-07,9,5,11,4,8,5,0,0,0,0,42
hyperledger/aries-vcx,2024-08,23,17,2,3,7,3,0,0,0,0,55
hyperledger/aries-vcx,2024-09,0,0,0,0,0,7,0,0,0,0,7
hyperledger/aries-vcx,2024-10,0,0,5,14,5,1,3,1,0,0,29
hyperledger/aries-vcx,2024-11,1,2,2,2,2,3,0,0,0,0,12
hyperledger/aries-vcx,2024-12,18,15,5,9,11,5,1,0,0,0,64
hyperledger/aries-vcx,2025-01,2,1,1,1,0,0,0,0,0,0,5
hyperledger/aries-vcx,2025-02,7,3,10,6,5,0,0,0,0,0,31
openwallet-foundation/acapy,2024-12,0,0,3,0,0,0,0,0,0,0,3
openwallet-foundation/acapy,2025-01,5,5,3,0,2,0,0,0,0,0,15
openwallet-foundation/acapy,2025-03,0,0,1,0,1,0,0,0,0,0,2
openwallet-foundation/acapy,2025-04,2,2,11,0,3,2,0,0,0,0,20
openwallet-foundation/acapy,2025-10,2,2,0,0,1,1,0,0,0,0,6
openwallet-foundation/acapy,2025-11,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/credo-ts,2024-11,0,0,2,0,0,1,0,0,0,0,3
openwallet-foundation/credo-ts,2024-12,2,2,2,0,2,1,0,0,1,0,10
openwallet-foundation/credo-ts,2025-03,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/credo-ts,2025-05,0,0,1,0,1,2,0,0,0,0,4
openwallet-foundation/credo-ts,2025-09,0,0,2,0,1,0,0,0,0,0,3
openwallet-foundation/project-proposals,2025-02,10,9,0,0,1,0,0,0,1,0,21
openwallet-foundation/vcx,2025-03,0,0,1,0,1,3,0,0,0,0,5
openwallet-foundation/vcx,2025-04,1,0,1,0,1,1,0,0,0,0,4
openwallet-foundation/vcx,2025-07,0,0,1,0,1,1,0,0,0,0,3
openwallet-foundation/vcx,2025-12,0,0,0,1,1,1,0,0,0,0,3
hyperledger/aries-cloudagent-python,2022-09,0,0,0,0,0,0,0,0,0,1,1
hyperledger/aries-cloudagent-python,2023-07,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2024-07,0,0,8,0,1,0,0,0,0,0,9
hyperledger/aries-cloudagent-python,2024-08,0,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-agent-test-harness,2024-06,1,1,3,0,1,0,0,0,0,0,6
hyperledger/aries-agent-test-harness,2024-07,0,0,3,0,0,0,0,0,0,0,3
hyperledger/aries-agent-test-harness,2024-08,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/governance,2025-03,0,0,1,0,2,0,0,0,1,0,4
hyperledger/governance,2024-11,0,0,1,0,1,0,0,0,1,0,3
openwallet-foundation-labs/oid4vc-ts,2025-09,0,0,2,0,0,1,0,0,0,0,3
openwallet-foundation/acapy-plugins,2024-10,0,0,0,0,0,2,0,0,0,0,2
openwallet-foundation/acapy-plugins,2025-03,0,0,0,0,1,0,0,0,0,0,1
hyperledger/anoncreds-methods-registry,2023-12,0,0,0,0,0,0,0,0,0,1,1
hyperledger/anoncreds-rs,2023-06,0,0,0,0,0,0,0,0,0,1,1
hyperledger/anoncreds-spec,2024-07,0,0,1,0,0,0,0,0,0,0,1
hyperledger/besu,2023-11,0,0,0,0,0,0,0,0,0,1,1
hyperledger/indy-sdk,2021-03,0,0,0,0,0,0,0,0,1,0,1
hyperledger/indy-shared-rs,2022-10,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation/askar,2025-04,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/governance,2025-07,0,0,0,0,1,0,0,0,0,0,1
