repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,IssuesEvent,PullRequestEvent,PushEvent,CommitCommentEvent,CreateEvent,DeleteEvent,ForkEvent,total
openwallet-foundation/multipaz-developer-website,2025-09,1,1,3,0,3,1,0,1,0,0,10
openwallet-foundation/multipaz-developer-website,2025-10,4,2,2,0,0,1,0,0,0,0,9
openwallet-foundation/multipaz-developer-website,2025-11,2,2,1,0,0,0,0,0,0,0,5
openwallet-foundation/multipaz-developer-website,2025-12,21,21,1,0,0,0,0,0,0,0,43
openwallet-foundation/multipaz-developer-website,2026-01,17,8,1,0,1,0,0,0,0,0,27
openwallet-foundation/multipaz-developer-website,2026-02,2,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/multipaz-developer-website,2026-04,0,1,0,0,0,2,0,0,0,0,3
openwallet-foundation/multipaz-samples,2025-09,0,0,2,1,5,0,0,0,1,1,10
openwallet-foundation/multipaz-samples,2025-10,1,0,3,2,2,3,0,0,0,0,11
openwallet-foundation/multipaz-samples,2025-11,11,9,1,0,0,0,0,0,0,0,21
openwallet-foundation/multipaz-samples,2025-12,2,4,4,0,2,3,0,0,0,0,15
openwallet-foundation/multipaz-samples,2026-01,0,0,4,0,0,1,0,0,0,0,5
openwallet-foundation/multipaz-samples,2026-02,2,0,1,0,1,1,0,0,0,0,5
openwallet-foundation/multipaz-samples,2026-03,0,0,0,2,1,1,0,0,0,0,4
openwallet-foundation/multipaz-samples,2026-04,0,0,0,0,0,2,0,0,0,0,2
openwallet-foundation/multipaz-samples,2026-05,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/multipaz,2025-09,3,3,15,3,1,0,0,0,0,0,25
openwallet-foundation/multipaz,2025-10,0,0,0,10,1,0,0,0,0,0,11
openwallet-foundation/multipaz,2025-11,0,0,1,8,0,0,0,0,0,0,9
openwallet-foundation/multipaz,2025-12,0,0,0,9,0,0,0,0,0,0,9
openwallet-foundation/multipaz,2026-01,0,0,1,3,0,0,0,0,0,0,4
openwallet-foundation/multipaz,2026-02,0,0,0,2,0,0,0,0,0,0,2
openwallet-foundation/multipaz,2026-03,1,0,0,0,1,0,0,0,0,0,2
openwallet-foundation/multipaz,2026-05,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/identity-credential,2025-06,5,5,4,2,0,0,2,0,0,0,18
openwallet-foundation-labs/identity-credential,2025-07,0,0,2,1,2,0,0,0,0,0,5
openwallet-foundation-labs/identity-credential,2025-08,1,0,5,1,3,0,0,0,0,0,10
openwallet-foundation/multipaz-identity-reader,2025-11,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/multipaz-identity-reader,2025-12,1,0,0,0,0,0,0,0,0,0,1
