repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,PushEvent,IssuesEvent,CreateEvent,ForkEvent,DeleteEvent,WatchEvent,total
hyperledger/aries-framework-javascript,2019-11,0,0,2,0,2,0,1,0,1,0,6
hyperledger/aries-framework-javascript,2019-12,0,0,2,0,8,0,1,0,0,0,11
hyperledger/aries-framework-javascript,2020-01,0,7,8,2,8,1,4,0,1,0,31
hyperledger/aries-framework-javascript,2020-02,0,11,8,1,8,1,2,0,0,0,31
hyperledger/aries-framework-javascript,2020-03,0,1,4,4,3,2,0,2,1,0,17
hyperledger/aries-framework-javascript,2020-04,0,0,0,1,0,2,0,0,0,0,3
hyperledger/aries-framework-javascript,2020-05,0,4,8,4,3,2,0,0,0,0,21
hyperledger/aries-framework-javascript,2020-06,0,6,2,0,0,1,0,0,0,0,9
hyperledger/aries-framework-javascript,2020-07,0,11,3,2,3,5,0,0,0,0,24
hyperledger/aries-framework-javascript,2020-08,14,19,7,9,4,2,0,0,0,0,55
hyperledger/aries-framework-javascript,2020-09,15,13,3,0,3,3,0,0,0,0,37
hyperledger/aries-framework-javascript,2020-10,32,27,8,7,3,6,0,0,0,0,83
hyperledger/aries-framework-javascript,2020-11,11,8,4,0,3,1,0,0,0,0,27
hyperledger/aries-framework-javascript,2020-12,16,10,7,0,5,3,0,0,0,0,41
hyperledger/aries-framework-javascript,2021-01,22,9,9,2,8,0,0,0,0,0,50
hyperledger/aries-framework-javascript,2021-02,15,8,1,4,1,1,0,0,0,0,30
hyperledger/aries-framework-javascript,2021-03,18,11,15,12,6,4,0,0,0,0,66
hyperledger/aries-framework-javascript,2021-04,27,15,13,10,11,2,0,0,0,0,78
hyperledger/aries-framework-javascript,2021-05,48,32,15,19,11,5,0,0,0,0,130
hyperledger/aries-framework-javascript,2021-06,33,17,4,3,3,0,0,0,0,0,60
hyperledger/aries-framework-javascript,2021-07,43,41,6,11,2,3,0,0,0,0,106
hyperledger/aries-framework-javascript,2021-08,15,11,0,2,0,0,0,0,0,0,28
hyperledger/aries-framework-javascript,2021-09,5,3,0,0,0,0,0,0,0,0,8
hyperledger/aries-framework-javascript,2021-10,0,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-framework-javascript,2021-11,16,16,3,9,1,1,0,0,0,0,46
hyperledger/aries-framework-javascript,2021-12,22,15,6,6,2,1,0,0,0,1,53
hyperledger/aries-framework-javascript,2022-01,24,18,4,3,4,3,2,0,1,0,59
hyperledger/aries-framework-javascript,2022-02,31,30,1,1,1,0,0,0,0,0,64
hyperledger/aries-framework-javascript,2022-03,35,30,7,6,7,2,0,0,0,1,88
hyperledger/aries-framework-javascript,2022-04,24,25,5,1,6,1,0,0,0,0,62
hyperledger/aries-framework-javascript,2022-05,21,20,0,0,5,1,0,0,0,1,48
hyperledger/aries-framework-javascript,2022-06,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-framework-javascript,2022-07,0,0,2,0,0,0,0,0,0,0,2
hyperledger/aries-framework-javascript,2022-08,2,2,0,1,0,0,0,0,0,0,5
hyperledger/aries-framework-javascript,2022-09,0,0,1,1,0,1,0,0,0,0,3
hyperledger/aries-framework-javascript,2022-10,1,0,2,2,4,0,1,0,1,0,11
hyperledger/aries-framework-javascript,2022-11,1,1,0,0,0,0,0,0,0,0,2
hyperledger/aries-framework-javascript,2022-12,4,2,0,0,0,0,0,0,0,0,6
hyperledger/aries-framework-javascript,2023-09,3,2,0,0,0,0,0,0,0,0,5
hyperledger/indy-sdk-react-native,2021-07,1,0,2,0,2,8,1,0,0,0,14
hyperledger/indy-sdk-react-native,2021-08,2,2,2,2,2,0,0,0,0,0,10
hyperledger/indy-sdk-react-native,2021-09,0,0,2,0,2,0,1,0,0,0,5
hyperledger/indy-sdk-react-native,2022-05,0,0,0,1,0,0,0,0,0,0,1
hyperledger/indy-sdk-react-native,2022-08,0,0,0,2,0,0,0,0,0,1,3
hyperledger/indy-sdk-react-native,2022-09,0,0,0,2,0,1,0,0,0,0,3
hyperledger/indy-sdk-react-native,2022-10,1,0,1,2,1,0,0,0,0,0,5
hyperledger/indy-sdk-react-native,2023-01,0,0,1,0,1,0,1,0,0,0,3
hyperledger/indy-sdk-react-native,2023-02,4,3,0,1,0,0,0,0,0,0,8
hyperledger/aries-rfcs,2019-05,0,0,0,0,0,0,0,0,0,1,1
hyperledger/aries-rfcs,2019-06,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-rfcs,2019-07,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-rfcs,2019-10,0,0,1,0,0,1,0,0,0,0,2
hyperledger/aries-rfcs,2020-02,0,0,0,1,0,1,0,0,0,0,2
hyperledger/aries-rfcs,2020-04,0,0,0,1,0,1,0,0,0,0,2
hyperledger/aries-rfcs,2020-05,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-rfcs,2021-08,3,3,0,0,0,0,0,0,0,0,6
hyperledger/aries-rfcs,2022-01,0,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-rfcs,2022-02,0,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-rfcs,2022-04,0,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-rfcs,2023-09,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-javascript-docs,2022-07,0,0,2,0,1,0,0,1,0,0,4
hyperledger/aries-javascript-docs,2023-09,1,1,2,0,1,0,1,0,1,0,7
hyperledger/indy-sdk,2018-11,0,0,0,0,0,0,0,1,0,0,1
hyperledger/indy-sdk,2019-02,0,0,1,2,0,0,0,0,0,0,3
hyperledger/indy-sdk,2019-04,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2019-05,0,0,0,0,0,0,0,0,0,1,1
hyperledger/indy-sdk,2020-01,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2021-01,0,0,0,2,0,0,0,0,0,0,2
hyperledger/indy-sdk,2021-10,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-framework-javascript-ext,2022-03,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-framework-javascript-ext,2022-07,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/credo-ts,2024-03,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/credo-ts,2024-06,0,0,0,0,0,0,0,1,0,0,1
openwallet-foundation/credo-ts-docs,2024-05,0,0,1,0,0,0,0,1,0,0,2
hyperledger/aries-cloudagent-python,2019-07,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-framework-dotnet,2019-10,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-sdk-javascript,2019-09,0,0,0,0,0,0,0,1,0,0,1
