repo,month,PullRequestEvent,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,ForkEvent,IssueCommentEvent,WatchEvent,total
openwallet-foundation/bifold-wallet,2024-09,4,0,4,0,0,0,0,8
openwallet-foundation/bifold-wallet,2024-10,2,0,2,0,0,0,0,4
openwallet-foundation/bifold-wallet,2024-11,1,5,1,5,0,0,0,12
openwallet-foundation/bifold-wallet,2024-12,5,1,4,0,0,0,0,10
openwallet-foundation/bifold-wallet,2025-01,2,3,2,0,0,0,0,7
openwallet-foundation/bifold-wallet,2025-02,8,0,5,0,0,0,0,13
openwallet-foundation/bifold-wallet,2025-03,0,3,0,0,0,0,0,3
hyperledger/aries-mobile-agent-react-native,2022-05,1,0,0,0,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2022-08,2,0,0,0,0,0,0,2
hyperledger/aries-mobile-agent-react-native,2022-09,4,0,0,0,0,0,0,4
hyperledger/aries-mobile-agent-react-native,2022-10,5,1,0,1,0,0,0,7
hyperledger/aries-mobile-agent-react-native,2022-11,3,2,0,2,0,0,0,7
hyperledger/aries-mobile-agent-react-native,2022-12,4,1,0,1,0,0,0,6
hyperledger/aries-mobile-agent-react-native,2023-03,0,2,0,2,0,0,0,4
hyperledger/aries-mobile-agent-react-native,2023-04,1,0,0,0,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2023-05,0,3,0,3,0,0,0,6
hyperledger/aries-mobile-agent-react-native,2023-07,1,0,0,0,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2023-09,2,0,1,0,0,1,0,4
hyperledger/aries-cloudagent-python,2022-11,0,0,0,0,0,0,1,1
hyperledger/aries-rfcs,2024-12,0,0,0,0,1,0,0,1
