repo,month,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,PushEvent,IssueCommentEvent,IssuesEvent,DeleteEvent,CreateEvent,ForkEvent,CommitCommentEvent,total
openwallet-foundation/bifold-wallet,2024-03,13,14,1,6,4,0,0,0,0,0,38
openwallet-foundation/bifold-wallet,2024-04,6,2,4,0,1,0,0,0,0,0,13
openwallet-foundation/bifold-wallet,2024-05,9,10,6,8,2,0,0,0,0,0,35
openwallet-foundation/bifold-wallet,2024-06,27,12,7,8,5,1,2,1,0,0,63
openwallet-foundation/bifold-wallet,2024-07,31,27,19,14,4,1,0,0,0,0,96
openwallet-foundation/bifold-wallet,2024-08,16,7,10,2,5,0,2,0,0,0,42
openwallet-foundation/bifold-wallet,2024-09,3,6,0,2,0,0,2,3,0,0,16
openwallet-foundation/bifold-wallet,2024-10,21,25,16,16,7,1,2,1,0,0,89
openwallet-foundation/bifold-wallet,2024-11,4,6,1,5,2,0,0,1,0,0,19
openwallet-foundation/bifold-wallet,2024-12,12,10,5,8,5,0,0,0,0,0,40
openwallet-foundation/bifold-wallet,2025-01,17,21,4,14,8,1,3,0,0,0,68
openwallet-foundation/bifold-wallet,2025-02,9,10,7,3,3,0,0,0,0,1,33
openwallet-foundation/bifold-wallet,2025-03,16,8,13,4,1,0,1,1,0,0,44
openwallet-foundation/bifold-wallet,2025-04,5,0,0,1,0,0,0,0,0,0,6
openwallet-foundation/bifold-wallet,2025-05,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2025-06,2,0,1,0,0,1,0,0,0,0,4
openwallet-foundation/bifold-wallet,2025-07,1,0,1,0,0,0,0,0,0,0,2
openwallet-foundation/bifold-wallet,2025-09,1,4,2,1,1,0,0,2,0,0,11
openwallet-foundation/bifold-wallet,2025-10,7,1,6,3,1,1,0,0,0,0,19
openwallet-foundation/bifold-wallet,2025-11,3,1,3,1,8,3,0,0,0,0,19
openwallet-foundation/bifold-wallet,2025-12,1,1,0,0,0,0,0,0,0,0,2
openwallet-foundation/bifold-wallet,2026-03,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2026-04,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2026-05,0,1,0,2,0,0,0,0,0,0,3
hyperledger/aries-mobile-agent-react-native,2024-01,16,9,3,6,2,1,1,1,0,0,39
hyperledger/aries-mobile-agent-react-native,2024-02,10,11,5,7,4,0,0,0,0,0,37
openwallet-foundation/didcomm-mediator-credo,2025-01,5,5,10,3,8,12,0,0,0,0,43
openwallet-foundation/didcomm-mediator-credo,2025-02,3,4,2,2,1,0,0,0,0,0,12
openwallet-foundation/didcomm-mediator-credo,2025-04,1,1,0,0,1,0,0,0,0,0,3
openwallet-foundation/mobile-wallet-test-harness,2024-03,1,3,0,3,1,3,1,2,0,0,14
openwallet-foundation/mobile-wallet-test-harness,2024-06,1,0,1,0,0,0,0,0,0,0,2
openwallet-foundation/owl-mobile-wallet-test-harness,2024-12,2,0,2,1,0,0,3,0,0,0,8
openwallet-foundation/owl-mobile-wallet-test-harness,2026-02,0,0,0,1,1,0,0,0,0,0,2
openwallet-foundation/project-proposals,2024-02,1,1,1,0,2,0,0,0,0,0,5
hyperledger/aries-mediator-service,2024-02,0,0,0,0,1,0,0,0,0,0,1
hyperledger/aries-mediator-service,2024-08,0,1,0,0,1,0,0,0,0,0,2
hyperledger/indy-vdr,2024-05,1,0,1,0,0,0,0,0,0,0,2
hyperledger/indy-vdr,2024-09,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/governance,2025-01,0,1,0,0,0,0,0,0,1,0,2
openwallet-foundation/governance,2025-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-plugins,2024-08,0,1,0,0,0,0,0,0,1,0,2
hyperledger/aries-askar,2024-09,0,0,0,0,1,0,0,0,0,0,1
openwallet-foundation/tac,2024-02,0,0,0,0,0,1,0,0,0,0,1
