repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,PushEvent,IssuesEvent,ForkEvent,total
openwallet-foundation-labs/identity-credential,2024-12,2,5,4,2,0,1,1,15
openwallet-foundation-labs/identity-credential,2025-01,55,57,9,3,4,1,0,129
openwallet-foundation-labs/identity-credential,2025-02,26,27,5,0,1,0,0,59
openwallet-foundation-labs/identity-credential,2025-03,51,54,10,6,3,0,0,124
openwallet-foundation-labs/identity-credential,2025-04,4,4,2,0,0,0,0,10
openwallet-foundation-labs/identity-credential,2025-05,16,15,6,1,0,0,0,38
openwallet-foundation-labs/identity-credential,2025-06,9,8,1,0,0,0,0,18
openwallet-foundation-labs/identity-credential,2025-07,7,4,3,1,1,0,0,16
openwallet-foundation-labs/identity-credential,2025-08,1,0,0,1,0,0,0,2
openwallet-foundation/multipaz,2025-09,5,6,4,1,1,0,0,17
openwallet-foundation/multipaz,2025-10,4,4,1,0,0,2,0,11
openwallet-foundation/multipaz,2025-11,3,3,1,0,1,1,0,9
openwallet-foundation/multipaz,2025-12,4,1,3,0,1,1,0,10
openwallet-foundation/multipaz,2026-01,1,2,0,0,0,0,0,3
openwallet-foundation/multipaz,2026-02,1,0,0,0,0,1,0,2
openwallet-foundation/multipaz-identity-reader,2025-11,0,0,0,0,0,2,0,2
openwallet-foundation/multipaz-identity-reader,2025-12,2,0,0,0,0,0,1,3
openwallet-foundation/multipaz-identity-reader,2026-01,1,0,1,0,0,0,0,2
openwallet-foundation/multipaz-extras,2025-09,0,0,1,0,0,0,1,2
openwallet-foundation/multipaz-extras,2025-10,0,1,0,0,0,0,0,1
openwallet-foundation/multipaz-extras,2025-11,2,0,0,0,0,0,0,2
openwallet-foundation/multipaz-extras,2025-12,1,0,0,0,0,0,0,1
openwallet-foundation/multipaz-samples,2026-02,0,1,0,0,0,0,0,1
