repo,month,PullRequestReviewEvent,IssueCommentEvent,PushEvent,PullRequestEvent,PullRequestReviewCommentEvent,IssuesEvent,CreateEvent,ForkEvent,DeleteEvent,total
openwallet-foundation/acapy-vc-authn-oidc,2024-12,2,2,10,2,0,0,1,0,0,17
openwallet-foundation/acapy-vc-authn-oidc,2025-01,3,1,8,6,2,3,2,0,0,25
openwallet-foundation/acapy-vc-authn-oidc,2025-02,5,2,1,0,2,1,1,0,0,12
openwallet-foundation/acapy-vc-authn-oidc,2025-03,11,12,5,6,2,2,2,0,0,40
openwallet-foundation/acapy-vc-authn-oidc,2025-04,0,5,8,2,0,3,2,0,0,20
openwallet-foundation/acapy-vc-authn-oidc,2025-05,0,0,1,1,0,0,1,0,0,3
openwallet-foundation/acapy-vc-authn-oidc,2025-06,2,1,0,0,1,0,0,0,0,4
openwallet-foundation/acapy-vc-authn-oidc,2025-07,9,6,6,8,6,0,0,0,0,35
openwallet-foundation/acapy-vc-authn-oidc,2025-08,10,0,3,1,6,1,0,0,1,22
openwallet-foundation/acapy-vc-authn-oidc,2025-09,6,0,1,0,1,1,0,0,0,9
openwallet-foundation/acapy-vc-authn-oidc,2025-11,4,0,4,1,1,1,1,0,0,12
openwallet-foundation/acapy-vc-authn-oidc,2025-12,4,0,0,0,5,1,0,0,0,10
openwallet-foundation/acapy-vc-authn-oidc,2026-02,0,0,1,0,1,0,0,0,0,2
openwallet-foundation/acapy-vc-authn-oidc,2026-03,3,2,5,1,2,0,2,0,0,15
openwallet-foundation/acapy-vc-authn-oidc,2026-04,0,1,2,0,0,0,1,0,0,4
hyperledger/aries-cloudagent-python,2024-01,0,0,0,1,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2024-02,0,3,0,0,0,1,0,0,0,4
hyperledger/aries-cloudagent-python,2024-04,1,1,0,0,1,1,0,0,0,4
hyperledger/aries-cloudagent-python,2024-05,0,5,0,0,0,2,0,0,0,7
hyperledger/aries-cloudagent-python,2024-06,0,2,0,1,0,1,0,0,0,4
hyperledger/aries-cloudagent-python,2024-07,1,2,0,1,1,0,0,0,0,5
hyperledger/aries-endorser-service,2024-01,0,0,0,0,0,2,0,0,0,2
hyperledger/aries-endorser-service,2024-02,0,5,0,3,0,2,0,1,0,11
hyperledger/aries-endorser-service,2024-04,2,2,0,0,2,0,0,0,0,6
hyperledger/aries-endorser-service,2024-05,0,0,0,0,0,1,0,0,0,1
hyperledger/aries-endorser-service,2024-09,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-endorser-service,2025-02,1,8,0,1,0,0,0,0,0,10
openwallet-foundation/acapy-endorser-service,2025-03,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-endorser-service,2025-07,2,1,0,0,1,1,0,0,0,5
openwallet-foundation/acapy-endorser-service,2026-03,0,1,0,1,0,0,0,0,0,2
hyperledger/aries-akrida,2024-02,0,0,0,1,0,0,0,1,0,2
hyperledger/aries-akrida,2024-03,2,0,0,3,2,0,0,0,0,7
hyperledger/aries-akrida,2024-04,0,5,0,0,0,2,0,0,0,7
hyperledger/aries-akrida,2024-05,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-tools,2025-02,4,1,2,1,4,0,1,0,0,13
openwallet-foundation/owl-akrida,2024-11,0,0,1,1,0,0,1,0,0,3
openwallet-foundation/owl-akrida,2025-03,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/owl-akrida,2025-04,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/owl-akrida,2025-06,3,0,0,0,0,0,0,0,0,3
openwallet-foundation/owl-akrida,2025-07,2,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy-plugins,2025-03,2,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy-plugins,2025-05,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-plugins,2025-06,0,0,0,0,0,0,0,1,0,1
openwallet-foundation/acapy-plugins,2025-07,1,0,0,0,1,0,0,0,0,2
openwallet-foundation/acapy-plugins,2026-02,0,0,0,2,0,0,0,0,0,2
openwallet-foundation/acapy,2024-10,0,0,0,1,0,0,0,0,0,1
openwallet-foundation/acapy,2025-02,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-03,1,2,0,0,1,0,0,0,0,4
openwallet-foundation/acapy,2026-01,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-plugins,2024-02,0,3,0,1,0,1,0,1,0,6
openwallet-foundation-labs/PyDentity-Wallet,2025-03,1,1,0,0,1,0,0,0,0,3
openwallet-foundation-labs/PyDentity-Wallet,2025-04,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2024-06,0,0,0,1,0,0,0,1,0,2
