repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,IssueCommentEvent,CommitCommentEvent,total
openwallet-foundation-labs/identity-credential,2024-01,7,9,3,0,0,1,0,20
openwallet-foundation-labs/identity-credential,2024-02,10,7,2,0,0,0,0,19
openwallet-foundation-labs/identity-credential,2024-03,7,5,12,5,7,2,1,39
openwallet-foundation-labs/identity-credential,2024-04,6,4,2,1,0,0,0,13
openwallet-foundation-labs/identity-credential,2024-05,1,0,2,1,2,0,0,6
openwallet-foundation-labs/identity-credential,2024-06,4,2,4,1,0,0,0,11
openwallet-foundation-labs/identity-credential,2024-09,1,1,1,0,0,0,0,3
openwallet-foundation-labs/identity-credential,2024-10,1,0,0,0,0,0,0,1
openwallet-foundation-labs/identity-credential,2024-11,9,9,4,5,0,0,0,27
openwallet-foundation-labs/identity-credential,2024-12,1,1,3,5,0,0,0,10
openwallet-foundation-labs/identity-credential,2025-01,13,13,2,0,0,0,0,28
openwallet-foundation-labs/identity-credential,2025-02,2,2,2,2,0,0,0,8
