repo,month,IssueCommentEvent,PullRequestReviewEvent,PushEvent,PullRequestEvent,DeleteEvent,CreateEvent,PullRequestReviewCommentEvent,IssuesEvent,GollumEvent,ReleaseEvent,ForkEvent,CommitCommentEvent,MemberEvent,total
open-quantum-safe/liboqs,2024-01,13,28,13,9,5,5,17,2,0,2,0,0,0,94
open-quantum-safe/liboqs,2024-02,6,12,2,1,0,0,1,0,0,0,0,0,0,22
open-quantum-safe/liboqs,2024-03,8,7,3,2,0,2,2,1,0,0,0,0,1,26
open-quantum-safe/liboqs,2024-04,8,7,2,2,0,0,0,0,0,0,0,0,0,19
open-quantum-safe/liboqs,2024-05,12,8,1,0,0,0,4,3,0,0,0,0,0,28
open-quantum-safe/liboqs,2024-06,2,3,1,1,0,0,0,0,0,0,0,0,0,7
open-quantum-safe/liboqs,2024-07,10,12,1,1,0,0,2,2,1,0,0,0,0,29
open-quantum-safe/liboqs,2024-08,7,10,0,2,1,1,4,1,0,0,0,0,0,26
open-quantum-safe/liboqs,2024-09,27,18,2,2,1,1,5,4,0,0,0,0,0,60
open-quantum-safe/liboqs,2024-10,10,10,2,1,0,1,3,1,0,0,0,0,0,28
open-quantum-safe/liboqs,2024-11,20,14,14,8,1,2,7,8,2,1,0,0,0,77
open-quantum-safe/liboqs,2024-12,4,5,6,7,0,5,1,1,0,1,0,0,0,30
open-quantum-safe/liboqs,2025-01,17,6,1,4,0,1,2,2,0,0,0,0,0,33
open-quantum-safe/liboqs,2025-02,14,14,6,3,0,0,4,2,0,0,1,0,0,44
open-quantum-safe/liboqs,2025-03,10,11,4,4,0,0,2,4,0,0,0,0,0,35
open-quantum-safe/liboqs,2025-04,7,4,0,2,26,1,0,0,0,0,0,0,0,40
open-quantum-safe/liboqs,2025-05,8,1,0,0,0,0,0,0,0,0,0,0,0,9
open-quantum-safe/liboqs,2025-06,7,11,6,7,3,1,0,4,0,0,0,0,0,39
open-quantum-safe/liboqs,2025-07,23,21,6,6,1,2,13,4,2,0,0,0,0,78
open-quantum-safe/liboqs,2025-08,10,11,6,7,0,1,7,4,0,0,0,0,0,46
open-quantum-safe/liboqs,2025-09,15,5,16,11,0,3,1,9,6,0,0,0,0,66
open-quantum-safe/liboqs,2025-10,4,3,3,2,9,0,3,4,0,0,0,0,0,28
open-quantum-safe/liboqs,2025-11,3,3,1,0,0,0,0,0,0,0,0,0,0,7
open-quantum-safe/liboqs,2026-01,8,3,4,0,0,1,0,4,0,0,0,0,0,20
open-quantum-safe/liboqs,2026-02,3,1,0,1,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/liboqs,2026-03,0,0,1,0,0,1,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2026-04,1,2,9,0,1,1,1,2,0,0,0,0,0,17
open-quantum-safe/liboqs,2026-05,2,3,16,2,8,0,0,1,0,0,0,0,0,32
open-quantum-safe/tsc,2024-02,2,0,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/tsc,2024-03,1,0,3,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/tsc,2024-04,14,6,10,5,1,3,3,7,0,0,0,0,0,49
open-quantum-safe/tsc,2024-05,4,3,6,3,2,1,0,0,0,0,0,0,0,19
open-quantum-safe/tsc,2024-06,3,2,16,17,9,8,0,0,0,0,0,0,0,55
open-quantum-safe/tsc,2024-07,2,2,8,16,7,8,0,1,0,0,0,0,0,44
open-quantum-safe/tsc,2024-08,3,4,8,9,4,6,2,1,0,0,0,0,0,37
open-quantum-safe/tsc,2024-09,3,6,5,9,5,2,2,0,0,0,0,0,0,32
open-quantum-safe/tsc,2024-10,0,3,5,9,4,3,0,1,0,0,0,0,0,25
open-quantum-safe/tsc,2024-11,4,2,6,14,4,7,0,0,0,0,0,0,0,37
open-quantum-safe/tsc,2024-12,4,1,7,11,6,5,0,1,0,0,0,0,0,35
open-quantum-safe/tsc,2025-01,2,12,6,10,5,5,12,1,0,0,0,0,0,53
open-quantum-safe/tsc,2025-02,5,2,3,7,4,3,2,0,0,0,0,0,0,26
open-quantum-safe/tsc,2025-03,4,1,12,17,8,8,0,1,0,0,0,0,0,51
open-quantum-safe/tsc,2025-04,0,2,9,17,8,9,0,0,0,0,0,0,0,45
open-quantum-safe/tsc,2025-05,0,2,3,5,3,1,0,0,0,0,0,0,0,14
open-quantum-safe/tsc,2025-06,3,0,3,8,2,1,0,1,0,0,0,0,0,18
open-quantum-safe/tsc,2025-07,0,0,4,5,4,2,0,1,0,0,0,0,0,16
open-quantum-safe/tsc,2025-08,0,2,2,7,2,2,0,0,0,0,0,0,0,15
open-quantum-safe/tsc,2025-09,0,3,5,9,3,3,1,0,0,0,0,0,0,24
open-quantum-safe/tsc,2025-10,4,0,5,6,2,3,0,0,0,0,0,0,0,20
open-quantum-safe/tsc,2025-11,5,0,5,4,6,2,0,1,0,0,0,0,0,23
open-quantum-safe/tsc,2025-12,0,0,1,3,1,0,0,0,0,0,0,0,0,5
open-quantum-safe/tsc,2026-01,0,2,6,6,1,3,0,1,0,0,0,0,0,19
open-quantum-safe/tsc,2026-02,3,2,4,7,4,2,1,0,0,0,0,0,0,23
open-quantum-safe/tsc,2026-03,0,0,2,0,2,1,0,0,0,0,0,0,0,5
open-quantum-safe/tsc,2026-04,2,0,6,2,4,4,0,0,0,0,0,0,0,18
open-quantum-safe/tsc,2026-05,0,0,2,1,4,0,0,0,0,0,0,0,0,7
open-quantum-safe/www,2024-05,5,1,2,1,0,0,0,0,0,0,0,0,0,9
open-quantum-safe/www,2024-07,3,3,4,3,2,1,1,0,0,0,0,0,0,17
open-quantum-safe/www,2024-08,3,0,1,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/www,2024-09,0,0,4,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/www,2024-10,1,1,11,5,4,0,0,1,0,0,0,0,0,23
open-quantum-safe/www,2024-12,3,0,4,4,1,1,0,1,0,0,0,0,0,14
open-quantum-safe/www,2025-01,4,1,8,6,4,3,0,1,0,0,0,0,0,27
open-quantum-safe/www,2025-02,4,0,9,4,4,2,0,2,0,0,0,0,0,25
open-quantum-safe/www,2025-03,1,0,2,1,1,1,0,1,0,0,0,0,0,7
open-quantum-safe/www,2025-04,0,0,6,2,2,1,0,1,0,0,0,0,0,12
open-quantum-safe/www,2025-05,0,3,7,5,3,2,0,1,0,0,0,0,0,21
open-quantum-safe/www,2025-06,1,1,3,5,1,1,0,1,0,0,0,0,0,13
open-quantum-safe/www,2025-07,1,1,1,2,1,1,0,0,0,0,0,0,0,7
open-quantum-safe/www,2025-08,0,0,1,2,1,0,0,0,0,0,0,0,0,4
open-quantum-safe/www,2025-09,0,0,4,6,2,0,0,0,0,0,0,0,0,12
open-quantum-safe/www,2025-10,0,0,1,0,1,0,0,0,0,0,0,0,0,2
open-quantum-safe/www,2025-11,0,0,2,0,1,0,0,0,0,0,0,0,0,3
open-quantum-safe/www,2026-01,2,1,6,0,4,0,0,0,0,0,0,0,0,13
open-quantum-safe/www,2026-02,1,0,2,0,1,0,0,0,0,0,0,0,0,4
open-quantum-safe/www,2026-03,0,0,1,0,1,0,0,0,0,0,0,0,0,2
open-quantum-safe/www,2026-05,0,0,0,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2024-01,2,2,0,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2024-02,0,8,0,0,0,0,7,0,0,0,0,0,0,15
open-quantum-safe/oqs-provider,2024-03,0,2,0,0,0,0,1,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2024-04,1,1,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2024-05,1,2,0,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2024-06,1,1,2,2,2,0,0,2,0,0,0,0,0,10
open-quantum-safe/oqs-provider,2024-07,3,0,0,0,0,0,0,0,1,0,0,0,0,4
open-quantum-safe/oqs-provider,2024-08,6,0,0,0,0,0,0,1,0,0,0,0,0,7
open-quantum-safe/oqs-provider,2024-09,7,6,0,0,0,0,2,0,0,0,0,0,0,15
open-quantum-safe/oqs-provider,2024-10,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2024-11,4,0,0,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2024-12,2,2,0,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2025-01,1,0,0,0,2,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2025-03,3,4,0,0,0,0,2,1,0,0,0,0,0,10
open-quantum-safe/oqs-provider,2025-04,2,1,1,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2025-05,0,0,0,0,1,0,1,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2025-06,2,0,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2025-07,1,3,0,0,0,0,0,1,0,0,0,0,0,5
open-quantum-safe/oqs-provider,2025-09,1,2,0,0,0,0,1,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2025-10,1,1,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2026-01,2,1,2,0,0,1,0,0,0,0,0,0,0,6
open-quantum-safe/openssh,2024-01,1,0,0,1,1,1,0,0,0,0,0,0,0,4
open-quantum-safe/openssh,2024-03,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssh,2024-07,1,3,1,2,0,0,1,0,0,0,0,0,0,8
open-quantum-safe/openssh,2024-08,5,7,0,1,0,0,4,1,0,0,0,0,0,18
open-quantum-safe/openssh,2024-09,0,0,0,0,0,0,0,1,0,0,0,0,0,1
open-quantum-safe/openssh,2024-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssh,2025-04,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssh,2025-05,1,1,1,2,0,2,0,1,0,1,0,0,0,9
open-quantum-safe/openssh,2025-08,3,0,0,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/openssh,2025-09,3,1,3,3,0,1,0,1,0,0,0,0,0,12
open-quantum-safe/openssh,2026-01,3,0,0,0,0,0,0,0,0,0,0,1,0,4
open-quantum-safe/oqs-demos,2024-01,0,2,0,0,0,0,0,1,0,0,0,0,0,3
open-quantum-safe/oqs-demos,2024-02,1,0,0,0,0,0,0,1,0,0,0,0,0,2
open-quantum-safe/oqs-demos,2024-04,3,0,0,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-demos,2024-05,0,6,0,0,0,0,6,1,0,0,0,0,0,13
open-quantum-safe/oqs-demos,2024-06,1,1,0,0,0,0,1,0,0,0,0,0,0,3
open-quantum-safe/oqs-demos,2024-11,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2025-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2025-02,0,0,0,0,0,0,0,1,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2025-05,2,0,1,2,1,0,0,3,0,0,0,0,0,9
open-quantum-safe/oqs-demos,2025-06,1,3,1,1,0,0,0,1,0,0,0,0,0,7
open-quantum-safe/oqs-demos,2025-07,1,1,1,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-demos,2025-08,1,0,0,0,0,0,0,1,0,0,0,0,0,2
open-quantum-safe/oqs-demos,2025-09,2,0,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-demos,2025-10,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2026-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/tsc,2024-02,4,0,0,0,0,0,0,0,0,0,0,0,0,4
pq-code-package/tsc,2024-03,2,3,0,0,0,0,4,0,0,0,0,0,0,9
pq-code-package/tsc,2024-04,6,2,0,0,0,0,1,0,0,0,0,0,0,9
pq-code-package/tsc,2024-05,0,3,0,0,0,0,0,0,0,0,0,0,0,3
pq-code-package/tsc,2024-07,0,2,0,0,0,0,0,0,0,0,0,0,0,2
pq-code-package/tsc,2024-08,1,1,0,0,0,0,0,0,0,0,0,0,0,2
pq-code-package/tsc,2024-10,0,0,1,1,0,0,0,0,0,0,0,0,0,2
pq-code-package/tsc,2024-11,1,0,0,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/tsc,2025-01,0,0,0,1,0,1,0,0,0,0,0,0,0,2
pq-code-package/tsc,2025-02,1,0,0,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/tsc,2025-05,0,0,1,1,0,1,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs-python,2024-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
open-quantum-safe/liboqs-python,2024-04,0,0,0,0,0,0,0,1,0,0,0,0,0,1
open-quantum-safe/liboqs-python,2024-11,0,0,0,0,0,0,0,1,0,0,0,0,0,1
open-quantum-safe/liboqs-python,2025-04,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs-python,2025-05,1,1,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs-python,2025-06,2,0,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs-python,2025-07,2,0,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs-python,2025-08,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs-python,2025-09,7,1,1,3,0,1,0,1,0,0,0,0,0,14
open-quantum-safe/liboqs-python,2026-05,0,0,2,1,3,1,0,0,0,0,0,0,0,7
open-quantum-safe/liboqs-rust,2024-11,0,0,0,0,0,0,0,1,0,0,0,0,0,1
open-quantum-safe/liboqs-rust,2024-12,0,2,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs-rust,2025-01,2,0,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs-rust,2025-02,0,1,1,1,1,0,0,0,0,0,0,0,0,4
open-quantum-safe/liboqs-rust,2025-06,1,1,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs-rust,2025-08,1,1,0,2,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/liboqs-rust,2025-09,2,1,0,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs-rust,2026-02,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/boringssl,2024-04,8,0,0,0,0,0,0,0,0,0,0,0,0,8
open-quantum-safe/boringssl,2024-05,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/boringssl,2024-09,1,0,0,0,0,0,0,1,0,0,0,0,0,2
open-quantum-safe/boringssl,2024-10,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/boringssl,2024-12,0,1,0,0,0,0,0,1,0,0,0,0,0,2
open-quantum-safe/boringssl,2025-01,1,0,0,0,0,0,0,1,0,0,0,0,0,2
