repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,IssuesEvent,DeleteEvent,CreateEvent,ForkEvent,WatchEvent,CommitCommentEvent,ReleaseEvent,total
pq-code-package/mlkem-native,2024-11,261,114,61,79,36,38,45,27,0,0,0,0,661
pq-code-package/mlkem-native,2024-12,393,88,54,101,52,61,37,56,0,0,0,1,843
pq-code-package/mlkem-native,2025-01,664,163,112,140,66,41,58,81,0,0,0,0,1325
pq-code-package/mlkem-native,2025-02,412,109,90,81,46,26,33,49,0,0,0,0,846
pq-code-package/mlkem-native,2025-03,238,63,36,82,50,44,34,44,0,1,0,0,592
pq-code-package/mlkem-native,2025-04,167,26,11,53,8,20,43,29,0,0,0,0,357
pq-code-package/mlkem-native,2025-05,96,49,33,47,16,15,25,24,0,0,0,0,305
pq-code-package/mlkem-native,2025-06,51,20,15,16,4,0,6,9,0,0,0,0,121
pq-code-package/mlkem-native,2025-07,43,49,35,18,15,4,7,9,0,0,0,0,180
pq-code-package/mlkem-native,2025-08,62,20,11,18,13,9,6,11,0,0,0,0,150
pq-code-package/mlkem-native,2025-09,71,31,22,10,24,13,7,6,0,0,0,0,184
pq-code-package/mlkem-native,2025-10,122,20,9,34,13,10,12,13,0,0,0,0,233
pq-code-package/mlkem-native,2025-11,51,19,10,10,8,10,11,7,0,0,0,0,126
pq-code-package/mlkem-native,2025-12,106,40,21,34,23,50,18,14,0,0,0,0,306
pq-code-package/mlkem-native,2026-01,88,44,30,16,22,17,13,13,0,0,0,0,243
pq-code-package/mlkem-native,2026-02,22,25,16,3,1,1,2,1,0,0,0,0,71
pq-code-package/mlkem-native,2026-03,30,21,17,6,8,2,3,4,0,0,0,0,91
pq-code-package/mlkem-native,2026-04,12,14,8,1,0,0,4,0,0,0,0,0,39
pq-code-package/mlkem-native,2026-05,7,3,4,4,2,0,2,4,0,0,0,0,26
pq-code-package/mlkem-c-aarch64,2024-05,14,17,12,1,29,5,0,1,0,0,0,0,79
pq-code-package/mlkem-c-aarch64,2024-06,38,75,53,18,55,10,0,3,0,1,1,0,254
pq-code-package/mlkem-c-aarch64,2024-07,5,20,10,5,4,2,1,1,1,0,0,0,49
pq-code-package/mlkem-c-aarch64,2024-08,1,2,1,1,2,0,0,0,0,0,0,0,7
pq-code-package/mlkem-c-aarch64,2024-09,273,67,49,83,37,22,31,31,0,0,0,0,593
pq-code-package/mlkem-c-aarch64,2024-10,466,194,157,111,67,59,61,51,0,0,0,0,1166
pq-code-package/mlkem-c-aarch64,2024-11,105,68,54,30,20,48,12,13,0,0,0,0,350
pq-code-package/mldsa-native,2025-02,1,3,1,1,3,6,1,0,0,0,0,0,16
pq-code-package/mldsa-native,2025-03,1,13,6,2,12,2,1,0,0,0,0,0,37
pq-code-package/mldsa-native,2025-04,21,60,31,22,8,26,8,8,0,0,0,0,184
pq-code-package/mldsa-native,2025-05,53,104,56,25,17,19,20,5,0,0,0,0,299
pq-code-package/mldsa-native,2025-06,7,14,2,4,3,2,6,0,0,0,0,0,38
pq-code-package/mldsa-native,2025-07,7,24,15,4,2,3,5,3,0,0,0,0,63
pq-code-package/mldsa-native,2025-08,0,8,7,1,0,0,0,0,0,0,0,0,16
pq-code-package/mldsa-native,2025-09,8,27,17,4,2,4,4,2,0,0,0,0,68
pq-code-package/mldsa-native,2025-10,6,27,10,5,0,4,3,1,0,0,0,0,56
pq-code-package/mldsa-native,2025-11,55,79,43,6,4,14,15,2,0,0,0,0,218
pq-code-package/mldsa-native,2025-12,51,36,29,12,7,5,4,4,0,0,0,0,148
pq-code-package/mldsa-native,2026-01,42,54,36,13,4,14,11,5,0,0,0,0,179
pq-code-package/mldsa-native,2026-02,19,8,5,1,3,4,1,3,0,0,0,0,44
pq-code-package/mldsa-native,2026-03,2,4,6,0,0,0,1,0,0,0,0,0,13
pq-code-package/mldsa-native,2026-04,20,23,17,3,2,2,2,5,0,0,0,0,74
pq-code-package/mldsa-native,2026-05,25,11,13,9,2,3,3,7,0,0,0,0,73
pq-code-package/tsc,2024-05,0,5,2,0,3,0,0,0,0,0,0,0,10
pq-code-package/tsc,2024-06,0,1,0,0,1,1,0,0,0,0,0,0,3
pq-code-package/tsc,2024-07,0,0,0,0,1,0,0,0,0,0,0,0,1
pq-code-package/tsc,2024-09,0,1,0,0,2,1,0,0,0,0,0,0,4
pq-code-package/tsc,2024-10,0,2,0,0,6,1,0,0,0,0,0,0,9
pq-code-package/tsc,2024-11,0,2,0,0,3,0,0,0,0,0,0,0,5
pq-code-package/tsc,2025-01,0,1,0,0,1,0,0,0,0,0,0,0,2
pq-code-package/tsc,2025-02,0,4,3,0,3,0,0,0,0,0,0,0,10
