repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,CreateEvent,PullRequestReviewCommentEvent,IssueCommentEvent,IssuesEvent,WatchEvent,total
pq-code-package/mldsa-native,2025-05,11,5,2,3,2,1,0,0,24
pq-code-package/mldsa-native,2025-06,7,3,0,4,0,0,0,0,14
pq-code-package/mldsa-native,2025-07,22,5,3,3,3,0,0,0,36
pq-code-package/mldsa-native,2025-08,37,2,3,3,3,0,2,0,50
pq-code-package/mldsa-native,2025-09,41,7,11,4,10,0,0,0,73
pq-code-package/mldsa-native,2025-10,40,6,1,5,2,1,0,0,55
pq-code-package/mldsa-native,2025-11,75,8,7,13,4,1,2,0,110
pq-code-package/mldsa-native,2025-12,41,8,8,8,10,0,0,0,75
pq-code-package/mldsa-native,2026-01,61,16,5,9,3,1,1,0,96
pq-code-package/mldsa-native,2026-02,37,4,10,3,9,0,0,0,63
pq-code-package/mldsa-native,2026-03,4,1,0,2,0,0,0,0,7
pq-code-package/mldsa-native,2026-04,5,0,0,1,0,0,0,0,6
pq-code-package/mldsa-native,2026-05,1,0,0,0,0,0,0,0,1
pq-code-package/mlkem-native,2025-05,3,1,0,0,0,0,0,0,4
pq-code-package/mlkem-native,2025-06,11,1,2,2,2,1,0,0,19
pq-code-package/mlkem-native,2025-07,26,1,7,0,9,0,0,1,44
pq-code-package/mlkem-native,2025-08,6,1,2,2,2,0,0,0,13
pq-code-package/mlkem-native,2025-09,27,3,7,3,7,1,0,0,48
pq-code-package/mlkem-native,2025-10,4,3,0,3,0,0,0,0,10
pq-code-package/mlkem-native,2025-11,0,0,0,1,0,0,0,0,1
pq-code-package/mlkem-native,2025-12,31,6,8,6,5,0,0,0,56
pq-code-package/mlkem-native,2026-01,13,5,2,1,2,1,0,0,24
pq-code-package/mlkem-native,2026-02,4,1,0,0,0,0,0,0,5
pq-code-package/mlkem-native,2026-03,11,0,1,0,2,1,0,0,15
pq-code-package/mlkem-native,2026-04,5,2,0,0,0,0,0,0,7
pq-code-package/mlkem-native,2026-05,1,0,0,0,0,0,0,0,1
pq-code-package/slhdsa-c,2025-09,0,0,0,0,0,0,0,1,1
pq-code-package/slhdsa-c,2025-10,0,0,0,1,0,0,0,0,1
