repo,month,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PushEvent,IssuesEvent,DeleteEvent,PullRequestReviewCommentEvent,CreateEvent,ReleaseEvent,ForkEvent,CommitCommentEvent,MemberEvent,total
hyperledger/aries-cloudagent-python,2024-01,63,17,9,12,20,1,1,1,1,0,0,0,125
hyperledger/aries-cloudagent-python,2024-02,55,34,9,21,17,4,0,4,1,1,0,0,146
hyperledger/aries-cloudagent-python,2024-03,24,22,12,19,7,6,0,5,1,1,0,0,97
hyperledger/aries-cloudagent-python,2024-04,24,19,8,18,12,6,3,7,4,0,0,0,101
hyperledger/aries-cloudagent-python,2024-05,31,11,6,10,3,3,0,3,2,0,0,0,69
hyperledger/aries-cloudagent-python,2024-06,12,2,6,3,2,1,3,0,0,0,0,0,29
hyperledger/aries-cloudagent-python,2024-07,39,30,37,27,5,10,17,5,4,3,0,0,177
hyperledger/aries-cloudagent-python,2024-08,59,29,9,20,115,15,0,10,4,0,0,0,261
hyperledger/aries-cloudagent-python,2024-09,20,4,7,7,8,2,0,1,1,0,0,0,50
hyperledger/aries-cloudagent-python,2024-10,4,4,3,2,0,2,1,3,2,0,0,0,21
openwallet-foundation/acapy,2024-10,5,11,7,8,1,2,3,5,3,1,0,0,46
openwallet-foundation/acapy,2024-11,7,4,8,4,0,1,2,0,0,0,0,0,26
openwallet-foundation/acapy,2024-12,29,22,33,22,4,7,13,4,4,1,0,0,139
openwallet-foundation/acapy,2025-01,12,17,12,11,0,19,3,12,4,2,0,0,92
openwallet-foundation/acapy,2025-02,11,5,9,4,0,2,0,1,1,0,0,0,33
openwallet-foundation/acapy,2025-03,28,20,14,14,8,5,0,9,5,0,0,0,103
openwallet-foundation/acapy,2025-04,16,21,28,20,2,4,0,3,2,0,0,0,96
openwallet-foundation/acapy,2025-05,18,14,8,12,9,6,3,3,1,1,0,0,75
openwallet-foundation/acapy,2025-06,13,6,2,6,2,0,0,3,2,0,0,0,34
openwallet-foundation/acapy,2025-07,9,10,5,7,1,0,0,4,4,2,0,0,42
openwallet-foundation/acapy,2025-08,2,8,3,4,0,1,0,3,0,0,0,0,21
openwallet-foundation/acapy,2025-09,2,1,1,0,0,0,0,0,0,0,0,0,4
openwallet-foundation/acapy,2025-10,6,2,2,1,0,0,0,0,1,0,0,0,12
openwallet-foundation/acapy,2025-11,3,1,2,3,0,1,0,1,1,0,0,0,12
openwallet-foundation/acapy,2025-12,1,0,1,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy,2026-01,2,3,5,12,1,3,1,0,1,0,0,0,28
openwallet-foundation/acapy,2026-02,5,1,6,8,0,1,2,0,3,0,0,0,26
openwallet-foundation/acapy,2026-03,4,4,1,10,2,3,1,0,0,0,0,0,25
openwallet-foundation/acapy,2026-04,1,0,1,9,0,4,0,4,0,0,0,0,19
openwallet-foundation/acapy,2026-05,0,0,0,5,0,5,0,0,0,0,0,0,10
hyperledger/aries-agent-test-harness,2024-01,1,5,6,8,1,3,1,0,0,0,0,0,25
hyperledger/aries-agent-test-harness,2024-02,11,3,6,3,0,2,0,0,0,0,0,0,25
hyperledger/aries-agent-test-harness,2024-03,2,5,6,6,1,4,0,0,0,0,0,0,24
hyperledger/aries-agent-test-harness,2024-04,2,7,7,8,2,3,0,0,0,0,0,0,29
hyperledger/aries-agent-test-harness,2024-05,2,8,9,9,0,3,0,0,0,0,0,0,31
hyperledger/aries-agent-test-harness,2024-06,4,4,7,3,2,3,1,2,0,0,0,0,26
hyperledger/aries-agent-test-harness,2024-07,4,8,9,9,0,7,0,0,0,0,0,0,37
hyperledger/aries-agent-test-harness,2024-08,12,18,4,9,0,2,1,2,0,0,0,0,48
hyperledger/aries-agent-test-harness,2024-09,5,6,8,5,2,2,0,1,0,0,0,0,29
hyperledger/aries-acapy-docs,2024-01,0,3,0,2,1,0,0,2,0,0,0,0,8
hyperledger/aries-acapy-docs,2024-02,0,2,0,1,0,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-docs,2024-03,1,6,0,3,1,3,0,3,2,0,0,0,19
hyperledger/aries-acapy-docs,2024-04,1,23,0,13,1,8,0,11,7,0,0,0,64
hyperledger/aries-acapy-docs,2024-05,0,15,2,7,0,2,0,2,2,3,0,0,33
hyperledger/aries-acapy-docs,2024-07,0,20,0,16,0,3,0,9,8,0,0,0,56
hyperledger/aries-acapy-docs,2024-08,0,4,0,2,0,0,0,1,1,1,0,0,9
hyperledger/aries-acapy-docs,2025-01,0,2,0,1,0,1,0,1,0,0,0,0,5
hyperledger/toc,2024-01,2,3,1,1,0,0,0,0,0,0,0,0,7
hyperledger/toc,2024-02,4,1,27,0,0,0,22,0,0,0,0,0,54
hyperledger/toc,2024-03,2,1,2,0,0,0,2,0,0,0,0,0,7
hyperledger/toc,2024-04,0,0,3,0,0,0,0,0,0,0,0,0,3
hyperledger/toc,2024-05,2,3,6,0,0,0,2,0,0,0,0,0,13
hyperledger/toc,2024-06,0,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/toc,2024-07,1,3,10,0,0,0,2,0,0,0,0,0,16
hyperledger/toc,2024-08,2,3,20,0,0,0,18,0,0,0,0,0,43
hyperledger/toc,2024-09,0,0,3,0,0,0,2,0,0,0,0,0,5
hyperledger/toc,2024-10,0,0,3,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/acapy-plugins,2024-10,1,2,3,2,1,0,1,0,0,0,0,0,10
openwallet-foundation/acapy-plugins,2024-11,0,0,1,0,0,0,0,0,0,1,0,0,2
openwallet-foundation/acapy-plugins,2024-12,1,1,4,3,1,0,0,0,0,0,0,0,10
openwallet-foundation/acapy-plugins,2025-01,9,7,11,6,2,0,2,0,0,0,0,0,37
openwallet-foundation/acapy-plugins,2025-02,0,4,11,4,0,0,0,0,0,0,0,0,19
openwallet-foundation/acapy-plugins,2025-03,1,4,3,4,0,0,0,0,0,0,0,0,12
openwallet-foundation/acapy-plugins,2025-04,4,1,4,1,2,0,1,0,0,0,0,0,13
openwallet-foundation/acapy-plugins,2025-05,1,2,5,1,0,0,3,0,0,0,0,0,12
openwallet-foundation/acapy-plugins,2025-06,0,1,1,1,0,0,0,0,0,0,0,0,3
openwallet-foundation/acapy-plugins,2025-07,0,0,5,0,0,0,0,0,0,0,0,0,5
openwallet-foundation/acapy-plugins,2025-08,0,1,6,0,0,0,0,0,0,0,0,0,7
openwallet-foundation/acapy-plugins,2025-09,0,0,2,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy-plugins,2025-12,0,0,2,2,0,0,0,0,0,0,0,0,4
openwallet-foundation/acapy-plugins,2026-01,0,0,1,1,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy-plugins,2026-02,1,0,1,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy-plugins,2026-04,1,0,1,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy-plugins,2026-05,0,1,0,2,0,0,0,0,0,0,0,0,3
hyperledger/aries-rfcs,2024-01,2,2,3,2,0,0,1,0,0,0,0,0,10
hyperledger/aries-rfcs,2024-02,1,4,3,1,0,0,2,0,0,0,0,0,11
hyperledger/aries-rfcs,2024-03,9,20,0,10,0,0,0,0,0,1,0,0,40
