repo,month,PullRequestEvent,IssueCommentEvent,PushEvent,IssuesEvent,PullRequestReviewEvent,CreateEvent,ForkEvent,ReleaseEvent,total
trustoverip/tswg-acdc-specification,2022-02,4,0,1,0,0,3,0,0,8
trustoverip/tswg-acdc-specification,2022-03,2,20,0,0,0,1,1,0,24
trustoverip/tswg-acdc-specification,2022-04,93,15,45,3,0,2,0,2,160
trustoverip/tswg-acdc-specification,2022-05,4,1,2,0,0,1,0,1,9
trustoverip/tswg-acdc-specification,2022-06,1,0,1,0,0,0,0,0,2
trustoverip/tswg-acdc-specification,2022-09,9,1,4,0,0,0,0,0,14
trustoverip/tswg-acdc-specification,2022-11,2,0,1,0,0,0,0,0,3
trustoverip/tswg-acdc-specification,2022-12,0,3,0,6,0,0,0,0,9
trustoverip/tswg-acdc-specification,2023-02,0,1,0,0,0,0,0,0,1
trustoverip/tswg-acdc-specification,2023-03,2,0,0,0,0,0,0,0,2
trustoverip/tswg-acdc-specification,2023-05,0,0,0,1,0,0,0,0,1
trustoverip/tswg-acdc-specification,2023-07,0,13,0,1,0,0,0,0,14
trustoverip/tswg-acdc-specification,2023-10,0,0,0,0,1,0,0,0,1
trustoverip/tswg-acdc-specification,2023-11,0,0,0,0,1,0,0,0,1
trustoverip/tswg-acdc-specification,2024-01,30,7,16,5,0,0,0,0,58
trustoverip/tswg-acdc-specification,2024-02,10,0,5,1,0,0,0,0,16
trustoverip/tswg-acdc-specification,2024-03,4,2,2,0,0,0,0,0,8
trustoverip/tswg-acdc-specification,2024-04,0,1,0,0,0,0,0,0,1
trustoverip/tswg-acdc-specification,2024-06,2,0,1,0,0,0,0,0,3
trustoverip/tswg-acdc-specification,2025-05,0,0,1,0,0,0,0,0,1
trustoverip/tswg-acdc-specification,2025-07,1,0,1,0,0,0,0,0,2
trustoverip/tswg-acdc-specification,2025-08,1,0,0,0,0,0,0,0,1
trustoverip/tswg-acdc-specification,2025-09,22,1,11,0,0,1,1,0,36
trustoverip/tswg-acdc-specification,2025-10,3,0,3,0,0,0,0,0,6
trustoverip/tswg-keri-specification,2023-09,0,0,0,1,10,0,0,0,11
trustoverip/tswg-keri-specification,2024-01,42,12,22,20,2,0,1,0,99
trustoverip/tswg-keri-specification,2024-02,21,1,10,1,0,0,0,0,33
trustoverip/tswg-keri-specification,2024-04,2,3,1,1,0,0,0,0,7
trustoverip/tswg-keri-specification,2024-06,4,0,2,0,0,0,0,0,6
trustoverip/tswg-keri-specification,2024-07,6,6,3,0,0,0,0,0,15
trustoverip/tswg-keri-specification,2024-08,0,14,0,0,0,0,0,0,14
trustoverip/tswg-keri-specification,2024-10,0,1,0,0,0,0,0,0,1
trustoverip/tswg-keri-specification,2024-12,0,1,0,0,0,0,0,0,1
trustoverip/tswg-keri-specification,2025-02,0,7,0,0,0,0,0,0,7
trustoverip/tswg-keri-specification,2025-08,3,0,2,0,0,0,0,0,5
trustoverip/tswg-keri-specification,2025-09,2,5,1,0,0,0,0,0,8
trustoverip/tswg-keri-specification,2025-10,2,13,2,8,0,0,0,0,25
trustoverip/tswg-cesr-specification,2024-01,9,2,5,3,0,0,1,0,20
trustoverip/tswg-cesr-specification,2024-02,9,10,5,5,3,0,0,0,32
trustoverip/tswg-cesr-specification,2024-03,8,2,4,1,0,0,0,0,15
trustoverip/tswg-cesr-specification,2024-04,3,5,2,0,0,0,0,0,10
trustoverip/tswg-cesr-specification,2024-05,0,0,0,0,1,0,0,0,1
trustoverip/tswg-cesr-specification,2024-06,2,0,1,0,0,0,0,0,3
trustoverip/tswg-cesr-specification,2024-07,2,1,1,0,0,0,0,0,4
trustoverip/tswg-cesr-specification,2024-08,0,1,0,0,0,0,0,0,1
trustoverip/tswg-cesr-specification,2025-04,0,1,0,0,0,0,0,0,1
trustoverip/tswg-cesr-specification,2025-05,5,0,2,0,0,0,0,0,7
trustoverip/tswg-cesr-specification,2025-08,3,6,1,0,0,0,0,0,10
trustoverip/tswg-cesr-specification,2025-09,1,0,2,0,0,0,0,0,3
trustoverip/tswg-cesr-specification,2025-10,2,6,3,4,0,0,0,0,15
hyperledger/aries-cloudagent-python,2019-07,1,20,0,4,0,0,1,0,26
hyperledger/aries-cloudagent-python,2019-08,4,12,0,10,0,0,0,0,26
hyperledger/aries-cloudagent-python,2019-09,0,5,0,3,0,0,0,0,8
trustoverip/TSS0033-technology-stack-acdc,2021-02,0,1,2,0,0,0,0,0,3
trustoverip/TSS0033-technology-stack-acdc,2021-04,0,0,0,0,0,0,1,0,1
trustoverip/TSS0033-technology-stack-acdc,2021-06,1,12,9,1,0,0,0,0,23
trustoverip/TSS0033-technology-stack-acdc,2021-07,1,0,7,0,0,0,0,0,8
trustoverip/TSS0033-technology-stack-acdc,2021-11,0,0,1,0,0,0,0,0,1
trustoverip/TSS0033-technology-stack-acdc,2021-12,0,0,2,0,0,0,0,0,2
trustoverip/TSS0033-technology-stack-acdc,2022-01,0,0,3,0,0,0,0,0,3
trustoverip/TSS0033-technology-stack-acdc,2023-05,1,0,1,0,0,1,0,0,3
hyperledger/aries-rfcs,2019-07,0,2,0,2,0,0,1,0,5
hyperledger/aries-rfcs,2019-08,0,8,0,0,0,0,0,0,8
hyperledger/aries-rfcs,2019-09,0,2,0,0,0,0,0,0,2
hyperledger/aries-rfcs,2019-12,0,1,0,0,0,0,0,0,1
hyperledger/aries-rfcs,2020-08,0,5,0,0,0,0,0,0,5
trustoverip/TechArch,2022-11,0,10,0,0,1,0,0,0,11
trustoverip/tswg-tsp-specification,2024-11,0,0,0,2,0,0,0,0,2
trustoverip/tswg-tsp-specification,2025-02,0,6,0,1,0,0,0,0,7
trustoverip/kswg-cesr-specification,2025-10,0,0,2,1,0,0,0,0,3
trustoverip/kswg-cesr-specification,2025-11,0,0,3,0,0,0,0,0,3
trustoverip/tswg-did-method-webs-specification,2023-09,0,3,0,1,0,0,0,0,4
trustoverip/tswg-did-method-webs-specification,2023-10,0,1,0,1,0,0,0,0,2
hyperledger/anoncreds-spec,2022-12,0,3,0,1,0,0,0,0,4
trustoverip/kswg-acdc-specification,2025-10,1,0,0,1,0,0,0,0,2
trustoverip/kswg-acdc-specification,2025-11,0,0,1,0,0,0,0,0,1
trustoverip/kswg-acdc-specification,2026-02,0,0,0,1,0,0,0,0,1
trustoverip/tswg-ptel-specification,2023-08,0,4,0,0,0,0,0,0,4
trustoverip/keri,2021-06,0,0,0,0,0,3,0,0,3
trustoverip/kswg-keri-specification,2025-10,0,0,2,0,0,0,0,0,2
trustoverip/kswg-keri-specification,2025-11,0,0,1,0,0,0,0,0,1
trustoverip/EasyCLA,2024-01,1,0,0,0,0,0,1,0,2
hyperledger/aries-staticagent-python,2019-07,0,0,0,0,0,0,1,0,1
hyperledger/indy-sdk,2019-07,0,0,0,0,0,0,1,0,1
trustoverip/spec-up-t,2025-09,0,1,0,0,0,0,0,0,1
trustoverip/trust-spanning-protocol,2023-03,0,0,1,0,0,0,0,0,1
