repo,month,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,ForkEvent,IssuesEvent,WatchEvent,CreateEvent,total
trustoverip/TechArch,2022-10,11,4,7,0,5,1,2,0,0,30
trustoverip/TechArch,2022-11,5,3,2,2,2,0,0,0,0,14
trustoverip/TechArch,2023-04,0,0,0,0,0,0,0,1,0,1
trustoverip/tswg-trust-registry-service-profile,2023-09,2,2,0,3,0,0,0,0,0,7
trustoverip/tswg-trust-registry-service-profile,2023-10,3,0,0,0,0,0,0,0,0,3
trustoverip/tswg-trust-registry-service-profile,2023-11,0,0,0,1,0,0,0,0,0,1
trustoverip/tswg-trust-registry-service-profile,2023-12,0,2,0,2,0,0,0,0,0,4
trustoverip/tswg-trust-registry-protocol,2024-04,1,1,0,0,0,1,0,0,0,3
trustoverip/tswg-trust-registry-protocol,2024-06,0,0,0,0,0,0,1,0,0,1
trustoverip/tswg-trust-registry-protocol,2024-12,0,1,0,1,0,0,0,0,0,2
trustoverip/tswg-trust-registry-tf,2023-01,0,0,0,0,0,0,1,0,0,1
trustoverip/tswg-trust-registry-tf,2023-03,0,0,0,0,0,0,0,0,1,1
trustoverip/tswg-trust-registry-tf,2023-04,0,0,0,0,0,0,0,1,0,1
trustoverip/tswg-trust-registry-tf,2023-10,0,0,1,0,1,0,0,0,0,2
trustoverip/tswg-trust-registry-tf,2024-10,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2023-01,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-plenum,2017-11,0,0,0,0,0,1,0,0,0,1
hyperledger/indy-sdk,2017-11,0,0,0,0,0,1,0,0,0,1
trustoverip/EasyCLA,2024-03,0,0,0,0,0,1,0,0,0,1
trustoverip/trust-spanning-protocol,2023-04,0,0,0,0,0,0,0,1,0,1
