repo,month,IssueCommentEvent,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,PushEvent,ForkEvent,IssuesEvent,total
hyperledger/aries-cloudagent-python,2024-03,0,7,0,5,0,0,0,12
trustoverip/kswg-dossier-specification,2025-09,0,0,0,0,0,1,0,1
trustoverip/kswg-dossier-specification,2025-11,0,0,0,0,1,0,0,1
trustoverip/kswg-dossier-specification,2026-01,0,0,3,0,1,0,0,4
trustoverip/kswg-dossier-specification,2026-03,0,0,0,0,2,0,0,2
trustoverip/tswg-keri-specification,2024-04,0,0,1,0,0,0,1,2
trustoverip/tswg-keri-specification,2024-08,4,0,1,0,0,0,1,6
trustoverip/tswg-did-method-webs-specification,2024-01,4,0,1,0,0,0,0,5
trustoverip/tswg-did-method-webs-specification,2024-02,1,0,0,0,0,0,0,1
trustoverip/kswg-cesr-specification,2026-03,1,0,0,0,1,0,0,2
trustoverip/kswg-keri-specification,2026-02,1,0,0,0,0,0,0,1
trustoverip/spec-up-t,2026-01,0,0,0,0,0,0,1,1
trustoverip/tswg-acdc-specification,2024-04,0,0,0,0,0,1,0,1
trustoverip/tswg-cesr-specification,2024-04,0,0,0,0,0,1,0,1
