repo,month,GollumEvent,IssuesEvent,IssueCommentEvent,PushEvent,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,ForkEvent,CreateEvent,DeleteEvent,total
trustoverip/acdc,2022-07,115,0,0,0,0,0,0,1,0,0,116
trustoverip/acdc,2022-08,453,2,1,0,0,0,0,0,0,0,456
trustoverip/acdc,2022-09,117,0,0,0,0,0,0,0,0,0,117
trustoverip/acdc,2022-10,80,0,0,0,0,0,0,0,0,0,80
trustoverip/acdc,2022-11,6,0,0,0,0,0,0,0,0,0,6
trustoverip/acdc,2022-12,14,0,0,0,0,0,0,0,0,0,14
trustoverip/acdc,2023-01,6,0,0,0,0,0,0,0,0,0,6
trustoverip/acdc,2023-02,48,0,0,0,2,0,0,0,0,0,50
trustoverip/acdc,2023-03,17,0,0,0,0,0,0,0,0,0,17
trustoverip/acdc,2023-04,1,0,0,0,0,0,0,0,0,0,1
trustoverip/acdc,2023-05,36,0,1,0,0,0,0,0,0,0,37
trustoverip/acdc,2023-06,40,0,1,0,0,0,0,0,0,0,41
trustoverip/acdc,2023-07,8,0,2,0,0,0,0,0,0,0,10
trustoverip/spec-up-t,2024-10,0,1,0,0,0,0,0,0,0,0,1
trustoverip/spec-up-t,2024-12,0,1,0,0,0,0,0,0,0,0,1
trustoverip/spec-up-t,2025-01,0,1,1,0,0,0,0,0,0,0,2
trustoverip/spec-up-t,2025-04,0,11,11,0,0,0,0,0,0,0,22
trustoverip/spec-up-t,2025-05,0,0,0,0,2,0,0,0,0,0,2
trustoverip/spec-up-t,2025-09,0,8,5,1,2,0,0,0,0,0,16
trustoverip/spec-up-t,2025-10,0,13,12,0,0,0,0,0,1,0,26
trustoverip/spec-up-t,2025-11,0,13,7,0,0,0,0,0,0,0,20
trustoverip/spec-up-t,2025-12,0,0,3,1,2,0,0,0,1,0,7
trustoverip/spec-up-t,2026-01,0,2,4,0,0,0,0,0,0,0,6
trustoverip/spec-up-t,2026-03,0,3,1,0,0,0,0,0,0,0,4
trustoverip/tswg-did-method-webs-specification,2023-10,0,0,4,0,7,21,20,1,0,0,53
trustoverip/tswg-did-method-webs-specification,2024-03,0,0,2,0,0,0,0,0,0,0,2
trustoverip/tswg-did-method-webs-specification,2025-09,0,1,1,0,0,0,0,0,0,0,2
trustoverip/tswg-did-method-webs-specification,2025-11,0,0,5,0,1,0,0,0,0,0,6
trustoverip/tswg-keri-specification,2024-01,0,0,0,0,0,0,0,1,0,0,1
trustoverip/tswg-keri-specification,2024-02,0,3,4,0,2,0,0,0,0,0,9
trustoverip/tswg-keri-specification,2024-05,0,0,0,0,2,0,0,0,0,0,2
trustoverip/tswg-keri-specification,2025-01,0,0,0,0,1,0,0,0,0,0,1
trustoverip/tswg-keri-specification,2025-09,0,8,1,1,1,0,0,0,0,0,11
trustoverip/tswg-keri-specification,2025-10,0,17,12,0,0,0,0,0,0,0,29
trustoverip/ctwg-terminology-governance-guide,2024-02,0,0,0,5,0,0,0,1,1,0,7
trustoverip/ctwg-terminology-governance-guide,2024-03,0,0,0,10,0,0,0,0,0,0,10
trustoverip/ctwg-terminology-governance-guide,2024-04,0,0,0,7,0,0,0,0,0,0,7
trustoverip/ctwg-terminology-governance-guide,2024-06,0,0,0,2,2,0,0,0,0,0,4
trustoverip/ctwg-terminology-governance-guide,2024-07,0,0,0,1,0,0,0,0,0,0,1
trustoverip/ctwg-terminology-governance-guide,2024-08,0,0,0,1,0,0,0,0,0,0,1
trustoverip/ctwg-terminology-governance-guide,2024-11,0,0,0,2,0,0,0,0,0,0,2
trustoverip/ctwg-terminology-governance-guide,2025-07,0,0,0,1,0,0,0,0,0,0,1
trustoverip/ctwg-terminology-governance-guide,2025-08,0,0,0,1,0,0,0,0,0,0,1
trustoverip/ctwg-terminology-governance-guide,2025-10,0,0,0,2,0,0,0,0,0,0,2
