repo,month,IssueCommentEvent,IssuesEvent,PullRequestEvent,ForkEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,total
trustoverip/tswg-did-method-webs-specification,2025-02,0,0,0,1,0,0,0,1
trustoverip/tswg-did-method-webs-specification,2025-03,0,0,2,0,0,0,0,2
trustoverip/tswg-did-method-webs-specification,2025-04,2,3,0,0,0,0,0,5
trustoverip/tswg-did-method-webs-specification,2025-06,3,0,0,0,0,0,0,3
trustoverip/tswg-did-method-webs-specification,2025-07,2,1,0,0,0,0,0,3
trustoverip/tswg-did-method-webs-specification,2026-01,0,1,0,0,1,1,0,3
trustoverip/tswg-did-method-webs-specification,2026-02,0,0,0,0,2,1,0,3
trustoverip/tswg-did-method-webs-specification,2026-03,1,1,0,0,1,0,1,4
hyperledger-labs/did-webs-resolver,2024-10,5,0,2,0,0,0,0,7
trustoverip/kswg-did-method-webs-specification,2026-03,0,0,0,0,0,0,1,1
trustoverip/kswg-did-method-webs-specification,2026-04,0,1,1,0,1,1,0,4
trustoverip/kswg-said-urn-charter,2025-08,1,0,1,1,0,0,0,3
openwallet-foundation/credo-ts-docs,2025-07,0,0,0,0,1,1,0,2
openwallet-foundation-labs/tsp,2025-01,0,0,0,1,0,0,0,1
openwallet-foundation/askar,2025-01,0,0,0,1,0,0,0,1
openwallet-foundation/credo-ts,2025-07,0,0,0,1,0,0,0,1
trustoverip/kswg-acdc-specification,2026-03,0,0,0,1,0,0,0,1
trustoverip/spec-up-t,2026-01,0,0,1,0,0,0,0,1
