repo,month,IssueCommentEvent,IssuesEvent,GollumEvent,PullRequestEvent,WatchEvent,ForkEvent,PushEvent,DeleteEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,total
trustoverip/tswg-did-method-webs-specification,2024-06,0,0,0,0,1,0,0,0,0,0,1
trustoverip/tswg-did-method-webs-specification,2024-07,0,0,0,1,0,1,0,0,0,0,2
trustoverip/tswg-did-method-webs-specification,2025-06,0,1,0,0,0,0,0,0,0,0,1
trustoverip/tswg-did-method-webs-specification,2025-11,3,0,0,2,0,0,2,0,1,0,8
trustoverip/tswg-did-method-webs-specification,2026-01,2,3,0,0,0,0,1,0,0,1,7
trustoverip/tswg-did-method-webs-specification,2026-02,5,1,0,1,0,0,1,0,0,0,8
trustoverip/tswg-did-method-webs-specification,2026-03,0,0,0,3,0,0,0,0,0,0,3
trustoverip/acdc,2022-08,0,0,0,0,1,0,0,0,0,0,1
trustoverip/acdc,2022-10,0,0,4,0,0,0,0,0,0,0,4
trustoverip/acdc,2022-11,0,0,4,0,0,0,0,0,0,0,4
trustoverip/acdc,2023-01,0,0,8,0,0,0,0,0,0,0,8
trustoverip/acdc,2023-03,0,0,3,0,0,0,0,0,0,0,3
hyperledger-labs/did-webs-resolver,2024-02,0,0,0,0,0,1,0,0,0,0,1
hyperledger-labs/did-webs-resolver,2024-07,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/did-webs-resolver,2025-07,1,1,0,0,0,0,0,0,0,0,2
hyperledger-labs/did-webs-resolver,2025-08,0,4,0,1,0,0,0,0,0,0,5
hyperledger-labs/did-webs-resolver,2025-09,6,1,0,0,0,0,0,0,0,0,7
hyperledger-labs/did-webs-resolver,2026-01,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2022-05,6,5,0,0,0,0,0,0,0,0,11
hyperledger/aries-cloudagent-python,2022-06,1,0,0,0,0,0,0,0,0,0,1
trustoverip/kswg-did-method-webs-specification,2026-03,0,0,0,0,0,0,1,0,0,0,1
trustoverip/kswg-did-method-webs-specification,2026-04,0,0,0,2,0,0,3,1,0,0,6
hyperledger/fabric-ca,2022-10,1,1,0,1,0,1,0,0,0,0,4
hyperledger/fabric-ca,2022-12,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-sdk-go,2022-04,1,2,0,0,0,1,0,0,0,0,4
trustoverip/tswg-cesr-specification,2023-10,0,0,0,1,0,1,0,0,0,0,2
trustoverip/tswg-cesr-specification,2024-06,0,0,0,0,1,0,0,0,0,0,1
trustoverip/tswg-cesr-specification,2024-09,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric-samples,2022-04,0,0,0,1,0,1,0,0,0,0,2
hyperledger/fabric-samples,2023-02,0,0,0,0,1,0,0,0,0,0,1
trustoverip/kswg-dossier-specification,2025-11,1,2,0,0,0,0,0,0,0,0,3
trustoverip/tswg-acdc-specification,2022-09,0,0,0,1,0,1,0,0,0,0,2
trustoverip/tswg-acdc-specification,2024-06,0,0,0,0,1,0,0,0,0,0,1
openwallet-foundation-labs/tsp,2024-07,0,0,0,0,1,1,0,0,0,0,2
hyperledger-archives/burrow,2023-05,0,0,0,0,1,0,0,0,0,0,1
hyperledger-labs/hyperledger-labs.github.io,2022-05,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-gateway-java,2022-04,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-sdk-java,2022-04,0,0,0,0,1,0,0,0,0,0,1
trustoverip/tswg-keri-specification,2023-09,0,0,0,0,1,0,0,0,0,0,1
trustoverip/tswg-trust-registry-protocol,2024-04,0,1,0,0,0,0,0,0,0,0,1
