repo,month,PushEvent,IssuesEvent,IssueCommentEvent,CreateEvent,PullRequestEvent,ForkEvent,DeleteEvent,ReleaseEvent,total
trustoverip/spec-up-t,2024-09,3,3,2,3,0,1,0,0,12
trustoverip/spec-up-t,2024-10,2,8,5,4,0,0,0,0,19
trustoverip/spec-up-t,2024-11,18,25,17,19,0,0,0,0,79
trustoverip/spec-up-t,2024-12,11,8,6,12,0,0,0,0,37
trustoverip/spec-up-t,2025-01,1,12,7,1,0,0,0,0,21
trustoverip/spec-up-t,2025-02,33,18,14,19,0,0,0,0,84
trustoverip/spec-up-t,2025-03,3,16,14,2,0,0,0,0,35
trustoverip/spec-up-t,2025-04,0,0,1,0,0,0,0,0,1
trustoverip/spec-up-t,2025-09,0,2,7,0,0,0,2,0,11
trustoverip/spec-up-t,2025-10,10,14,25,3,15,0,0,0,67
trustoverip/spec-up-t,2025-11,3,0,2,1,0,0,0,0,6
trustoverip/spec-up-t,2026-01,4,10,16,3,1,0,3,0,37
trustoverip/spec-up-t,2026-02,1,0,0,1,0,0,0,0,2
trustoverip/spec-up-t,2026-03,3,10,4,1,5,0,0,0,23
trustoverip/spec-up-t,2026-04,1,2,2,0,0,0,0,0,5
trustoverip/spec-up-t-website,2024-09,10,0,0,0,1,0,0,0,11
trustoverip/spec-up-t-website,2024-10,5,2,3,0,3,0,0,0,13
trustoverip/spec-up-t-website,2024-11,11,2,0,0,0,0,0,0,13
trustoverip/spec-up-t-website,2024-12,9,0,0,0,0,0,0,0,9
trustoverip/spec-up-t-website,2025-01,31,6,7,0,0,0,0,0,44
trustoverip/spec-up-t-website,2025-02,15,1,1,1,0,0,0,0,18
trustoverip/spec-up-t-website,2025-03,11,0,0,0,0,0,0,0,11
trustoverip/spec-up-t-website,2025-09,6,0,0,0,2,0,0,0,8
trustoverip/spec-up-t-website,2025-11,1,0,0,0,0,0,0,0,1
trustoverip/spec-up-t-website,2026-01,2,0,0,0,0,0,0,0,2
trustoverip/spec-up-t-website,2026-02,1,2,1,0,0,0,0,0,4
trustoverip/spec-up-t-website,2026-03,4,0,0,0,0,0,0,0,4
trustoverip/spec-up-t-website,2026-04,3,0,0,0,0,0,0,0,3
trustoverip/spec-up-t-starter-pack,2024-10,5,0,0,5,0,0,0,0,10
trustoverip/spec-up-t-starter-pack,2024-11,16,0,0,13,0,0,0,0,29
trustoverip/spec-up-t-starter-pack,2024-12,16,0,0,13,0,0,0,0,29
trustoverip/spec-up-t-starter-pack,2025-01,0,0,0,1,0,0,0,0,1
trustoverip/spec-up-t-starter-pack,2025-02,9,0,0,10,0,0,0,0,19
trustoverip/spec-up-t-starter-pack,2025-08,0,0,0,1,0,0,0,0,1
trustoverip/spec-up-t-starter-pack,2026-01,2,0,0,0,0,0,0,0,2
trustoverip/ctwg-main-glossary,2024-04,0,0,0,0,0,1,0,0,1
trustoverip/ctwg-main-glossary,2024-05,0,0,1,0,1,1,0,0,3
trustoverip/ctwg-main-glossary,2024-06,1,0,0,0,5,0,0,0,6
trustoverip/ctwg-main-glossary,2024-09,1,0,0,0,4,0,0,0,5
trustoverip/ctwg-main-glossary,2024-10,1,0,0,0,1,0,0,0,2
trustoverip/ctwg-main-glossary,2024-11,3,2,1,1,9,0,0,0,16
trustoverip/ctwg-main-glossary,2025-04,4,0,0,0,8,0,0,0,12
trustoverip/ctwg-main-glossary,2025-09,0,0,0,0,0,0,1,0,1
trustoverip/spec-up-t-demo-on-documentation-website,2024-10,3,0,0,0,0,0,0,0,3
trustoverip/spec-up-t-demo-on-documentation-website,2024-11,8,3,0,0,0,0,0,0,11
