repo,month,PullRequestEvent,IssuesEvent,PushEvent,CreateEvent,PullRequestReviewEvent,IssueCommentEvent,ForkEvent,PullRequestReviewCommentEvent,ReleaseEvent,DeleteEvent,MemberEvent,WatchEvent,total
trustoverip/tswg-keri-specification,2023-07,1,1,1,4,0,0,1,0,0,0,0,0,8
trustoverip/tswg-keri-specification,2023-08,3,2,1,0,0,0,0,0,0,0,0,0,6
trustoverip/tswg-keri-specification,2023-09,11,7,2,1,0,0,0,0,0,0,0,0,21
trustoverip/tswg-keri-specification,2023-10,11,0,11,0,0,0,0,0,0,0,0,0,22
trustoverip/tswg-keri-specification,2023-11,4,0,5,0,0,0,0,0,0,0,0,0,9
trustoverip/tswg-keri-specification,2023-12,0,0,1,0,0,0,0,0,0,0,0,0,1
trustoverip/tswg-keri-specification,2024-01,39,60,27,0,4,10,0,0,0,0,0,0,140
trustoverip/tswg-keri-specification,2024-02,22,41,12,0,3,7,0,1,0,0,0,0,86
trustoverip/tswg-keri-specification,2024-04,4,1,1,1,1,0,0,0,0,0,0,0,8
trustoverip/tswg-keri-specification,2024-05,1,0,1,0,0,0,0,0,0,0,0,0,2
trustoverip/tswg-keri-specification,2024-08,1,0,1,0,2,0,0,0,0,0,0,0,4
trustoverip/tswg-keri-specification,2024-09,4,0,3,0,0,0,0,0,0,0,0,0,7
trustoverip/tswg-keri-specification,2024-10,1,1,1,0,0,0,0,0,0,0,0,0,3
trustoverip/tswg-keri-specification,2024-11,0,0,0,1,0,0,0,0,1,0,0,0,2
trustoverip/tswg-keri-specification,2024-12,1,0,0,1,0,0,0,0,0,0,0,0,2
trustoverip/tswg-keri-specification,2025-07,0,0,0,0,1,0,0,0,0,0,0,0,1
trustoverip/tswg-keri-specification,2025-08,0,0,0,1,0,0,0,0,0,0,0,0,1
trustoverip/tswg-acdc-specification,2022-02,0,0,2,1,0,0,0,0,0,0,1,0,4
trustoverip/tswg-acdc-specification,2023-02,0,1,0,0,0,0,1,0,0,0,0,0,2
trustoverip/tswg-acdc-specification,2023-05,0,2,0,0,0,0,0,0,0,0,0,0,2
trustoverip/tswg-acdc-specification,2023-07,4,1,1,4,0,0,1,0,4,2,0,0,17
trustoverip/tswg-acdc-specification,2023-10,2,0,0,0,0,0,0,0,0,0,0,0,2
trustoverip/tswg-acdc-specification,2023-11,1,0,1,0,0,0,0,0,0,0,0,0,2
trustoverip/tswg-acdc-specification,2023-12,0,0,1,1,0,0,0,0,0,0,0,0,2
trustoverip/tswg-acdc-specification,2024-01,10,41,9,0,0,4,0,0,0,0,0,0,64
trustoverip/tswg-acdc-specification,2024-02,15,27,5,0,0,3,0,0,0,0,0,0,50
trustoverip/tswg-acdc-specification,2024-03,1,0,1,1,0,0,0,0,0,0,0,0,3
trustoverip/tswg-acdc-specification,2024-04,8,6,8,3,1,1,0,0,0,1,0,0,28
trustoverip/tswg-acdc-specification,2024-11,0,0,1,1,0,0,0,0,1,0,0,0,3
trustoverip/tswg-acdc-specification,2024-12,0,0,0,1,0,0,0,0,0,0,0,0,1
trustoverip/tswg-acdc-specification,2025-08,0,0,0,1,0,0,0,0,0,0,0,0,1
trustoverip/tswg-cesr-specification,2023-07,1,0,1,5,0,0,1,0,2,0,0,0,10
trustoverip/tswg-cesr-specification,2023-08,1,3,1,0,0,0,0,0,0,0,0,0,5
trustoverip/tswg-cesr-specification,2023-11,2,0,2,0,0,0,0,0,0,0,0,0,4
trustoverip/tswg-cesr-specification,2023-12,0,0,0,1,0,0,0,0,0,0,0,0,1
trustoverip/tswg-cesr-specification,2024-01,11,19,9,0,5,4,0,0,0,0,0,0,48
trustoverip/tswg-cesr-specification,2024-02,21,17,13,0,4,2,0,1,0,0,0,0,58
trustoverip/tswg-cesr-specification,2024-03,1,0,1,0,2,0,0,2,0,0,0,0,6
trustoverip/tswg-cesr-specification,2024-04,3,1,5,1,1,1,0,0,0,0,0,0,12
trustoverip/tswg-cesr-specification,2024-05,2,0,3,0,0,0,0,0,0,0,0,0,5
trustoverip/tswg-cesr-specification,2024-11,2,0,1,1,0,0,0,0,1,0,0,0,5
trustoverip/tswg-cesr-specification,2024-12,1,0,0,1,0,0,0,0,0,0,0,0,2
