repo,month,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,CreateEvent,IssuesEvent,ForkEvent,WatchEvent,DeleteEvent,total
trustoverip/tswg-did-method-webs-specification,2023-09,16,11,18,15,13,7,0,0,0,1,81
trustoverip/tswg-did-method-webs-specification,2023-10,2,0,6,1,0,0,0,0,0,0,9
trustoverip/tswg-did-method-webs-specification,2023-12,0,0,2,4,0,0,0,0,0,0,6
trustoverip/tswg-did-method-webs-specification,2025-03,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2017-05,3,0,0,0,0,0,1,0,1,0,5
hyperledger/indy-sdk,2017-06,3,3,0,0,0,0,2,1,0,0,9
hyperledger/indy-sdk,2017-07,0,10,0,6,7,0,0,0,0,0,23
hyperledger/indy-sdk,2017-08,0,5,0,2,0,1,0,0,0,0,8
hyperledger/indy-sdk,2018-04,0,3,0,0,0,1,0,0,0,1,5
hyperledger/indy-sdk,2018-05,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/did-webs-resolver,2023-10,5,10,2,1,4,1,2,1,0,1,27
hyperledger-labs/did-webs-resolver,2025-03,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-rfcs,2019-05,1,0,0,0,0,0,0,0,1,0,2
hyperledger/aries-rfcs,2019-06,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-rfcs,2019-07,10,2,0,2,0,0,0,1,0,0,15
hyperledger/aries-rfcs,2019-08,7,0,0,0,0,0,0,0,0,0,7
hyperledger/aries-rfcs,2019-10,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-rfcs,2019-11,2,0,0,0,0,0,0,0,0,0,2
trustoverip/tswg-trust-registry-protocol,2024-10,0,0,4,0,0,0,2,0,0,0,6
trustoverip/tswg-trust-registry-protocol,2024-11,1,0,1,0,0,0,0,0,0,0,2
trustoverip/tswg-trust-registry-protocol,2024-12,2,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-did-method,2022-01,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-did-method,2022-10,0,0,0,0,0,0,1,0,0,0,1
hyperledger/indy-did-method,2023-03,2,0,0,0,0,0,0,1,0,0,3
hyperledger/indy-did-method,2023-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-did-method,2023-06,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-hipe,2018-08,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-hipe,2018-09,0,1,0,0,0,0,0,1,0,0,2
hyperledger/indy-hipe,2019-02,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-agent,2018-10,0,0,0,0,0,0,0,1,0,0,1
hyperledger/indy-agent,2018-11,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-did-networks,2023-03,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-did-networks,2023-12,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries,2019-05,0,0,0,0,0,0,0,0,1,0,1
hyperledger/aries-agent,2019-05,0,0,0,0,0,0,0,0,1,0,1
hyperledger/aries-cloudagent-python,2021-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-framework-go,2019-08,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-node,2019-02,0,0,0,0,0,0,0,1,0,0,1
openwallet-foundation/tac,2023-09,1,0,0,0,0,0,0,0,0,0,1
trustoverip/dtgwg-cred-tf,2025-11,0,0,0,0,0,0,1,0,0,0,1
