repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,IssuesEvent,PushEvent,ForkEvent,DeleteEvent,CreateEvent,ReleaseEvent,total
hyperledger/ursa-wrapper-go,2020-10,13,10,0,0,0,0,0,0,0,0,23
hyperledger/ursa-wrapper-go,2020-11,18,14,0,0,0,0,0,0,0,0,32
hyperledger/ursa-wrapper-go,2020-12,1,0,8,1,7,4,1,0,1,1,24
hyperledger/ursa-wrapper-go,2021-01,4,18,1,0,3,1,0,0,0,0,27
hyperledger/ursa-wrapper-go,2021-02,1,0,1,0,1,1,0,0,0,0,4
hyperledger/aries-framework-go-ext,2020-10,2,2,2,1,0,0,1,0,0,0,8
hyperledger/aries-framework-go-ext,2020-11,10,10,2,0,0,0,0,0,0,0,22
hyperledger/aries-framework-go-ext,2020-12,6,6,0,0,0,0,0,0,0,0,12
hyperledger/aries-framework-go-ext,2021-01,0,0,1,0,0,0,0,0,0,0,1
trustoverip/tswg-cesr-specification,2024-02,0,0,2,0,0,1,1,0,0,0,4
trustoverip/tswg-cesr-specification,2024-03,0,0,0,2,2,0,0,0,0,0,4
trustoverip/tswg-cesr-specification,2024-04,5,0,0,0,0,2,0,1,0,0,8
trustoverip/tswg-cesr-specification,2024-05,0,0,1,1,0,0,0,0,0,0,2
trustoverip/tswg-cesr-specification,2024-12,1,0,1,0,0,1,0,1,0,0,4
trustoverip/tswg-cesr-specification,2025-05,0,0,2,0,0,2,0,0,0,0,4
trustoverip/tswg-keri-specification,2024-02,0,0,2,0,0,1,1,0,0,0,4
trustoverip/tswg-keri-specification,2024-03,0,0,0,1,2,0,0,0,0,0,3
trustoverip/tswg-keri-specification,2024-04,3,2,0,1,2,0,0,0,0,0,8
trustoverip/tswg-keri-specification,2024-12,1,0,1,0,0,1,0,1,0,0,4
trustoverip/tswg-acdc-specification,2022-04,0,0,0,1,0,0,1,0,0,0,2
trustoverip/tswg-acdc-specification,2024-02,0,0,2,0,0,1,1,0,0,0,4
trustoverip/tswg-acdc-specification,2024-03,0,0,0,3,1,0,0,0,0,0,4
trustoverip/tswg-acdc-specification,2024-04,2,0,0,2,0,0,0,0,0,0,4
trustoverip/tswg-acdc-specification,2024-05,0,0,0,0,1,0,0,0,0,0,1
trustoverip/tswg-acdc-specification,2024-12,0,0,0,0,0,1,0,1,0,0,2
trustoverip/tswg-did-method-webs-specification,2023-09,3,3,0,1,1,0,0,0,0,0,8
trustoverip/tswg-did-method-webs-specification,2024-01,0,0,0,3,0,0,0,0,0,0,3
hyperledger/aries-framework-go,2020-03,0,0,1,0,1,0,0,0,0,0,2
hyperledger/aries-framework-go,2020-06,0,0,0,0,0,0,1,0,0,0,1
hyperledger/aries-framework-go,2020-07,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-framework-go,2020-10,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-framework-go,2020-11,0,0,1,3,0,0,0,0,0,0,4
hyperledger/aries-framework-go,2020-12,0,0,0,1,0,0,0,0,0,0,1
trustoverip/tswg-ptel-specification,2023-08,0,0,0,4,1,0,0,0,0,0,5
hyperledger/indy-vdr,2020-07,0,0,1,0,0,0,1,0,0,0,2
hyperledger/indy-vdr,2020-08,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-vdr,2020-10,0,0,1,0,0,0,0,0,0,0,1
trustoverip/EasyCLA,2024-01,0,0,2,1,0,0,1,0,0,0,4
hyperledger/indy-sdk,2020-01,0,0,0,0,0,0,1,0,0,0,1
